Date,Home,Team,Opp,Win,Points Scored,Opp Points Scored,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opp FG,Opp FGA,Opp FG%,Opp 3P,Opp 3PA,Opp 3P%,Opp FT,Opp FTA,Opp FT%,Opp ORB,Opp TRB,Opp AST,Opp STL,Opp BLK,Opp TOV,Opp PF,Win Percentage,Season
2024-10-23,1,ATL,BRK,1,120,116,39,80,0.488,9,28,0.321,33,46,0.717,12,45,25,12,9,16,20,40,91,0.44,17,43,0.395,19,25,0.76,12,43,21,8,6,19,32,0.0,2025
2024-10-25,1,ATL,CHO,1,125,120,39,81,0.481,14,38,0.368,33,38,0.868,7,39,25,11,9,14,28,37,96,0.385,21,51,0.412,25,31,0.806,22,53,22,7,4,18,28,1.0,2025
2024-10-27,0,ATL,OKC,0,104,128,36,91,0.396,10,31,0.323,22,29,0.759,17,49,24,7,4,20,23,44,89,0.494,16,40,0.4,24,32,0.75,11,45,26,13,12,10,23,1.0,2025
2024-10-28,1,ATL,WAS,0,119,121,39,81,0.481,15,40,0.375,26,36,0.722,6,39,32,12,7,16,22,41,91,0.451,21,44,0.477,18,22,0.818,9,43,24,7,3,18,25,0.6666666666666666,2025
2024-10-30,0,ATL,WAS,0,120,133,45,95,0.474,12,39,0.308,18,21,0.857,12,41,28,10,3,17,19,47,89,0.528,16,38,0.421,23,25,0.92,6,37,32,10,5,16,21,0.5,2025
2024-11-01,1,ATL,SAC,0,115,123,41,92,0.446,19,50,0.38,14,18,0.778,8,40,30,8,4,13,22,43,89,0.483,11,33,0.333,26,30,0.867,10,51,28,9,4,14,21,0.4,2025
2024-11-03,0,ATL,NOP,1,126,111,50,88,0.568,15,36,0.417,11,12,0.917,10,41,29,10,3,16,17,39,90,0.433,16,38,0.421,17,20,0.85,18,43,22,6,3,18,16,0.3333333333333333,2025
2024-11-04,1,ATL,BOS,0,93,123,37,89,0.416,6,31,0.194,13,16,0.813,8,43,23,9,3,20,13,48,99,0.485,18,55,0.327,9,13,0.692,11,50,27,15,7,13,14,0.4285714285714285,2025
2024-11-06,1,ATL,NYK,1,121,116,45,100,0.45,15,38,0.395,16,22,0.727,16,48,31,12,4,8,14,41,84,0.488,22,47,0.468,12,15,0.8,7,41,29,5,5,16,18,0.375,2025
2024-11-08,0,ATL,DET,0,121,122,44,97,0.454,15,36,0.417,18,23,0.783,15,44,30,12,7,18,21,44,86,0.512,13,33,0.394,21,31,0.677,11,45,27,7,8,21,18,0.4444444444444444,2025
2024-11-09,1,ATL,CHI,0,113,125,41,89,0.461,9,29,0.31,22,30,0.733,10,39,31,8,5,14,19,46,92,0.5,13,39,0.333,20,23,0.87,13,47,30,12,6,18,18,0.4,2025
2024-11-12,0,ATL,BOS,1,117,116,50,99,0.505,10,32,0.313,7,13,0.538,19,44,35,16,2,16,17,38,75,0.507,18,45,0.4,22,27,0.815,6,34,28,7,5,20,12,0.3636363636363636,2025
2024-11-15,1,ATL,WAS,1,129,117,46,98,0.469,12,37,0.324,25,30,0.833,15,55,28,10,10,16,17,43,106,0.406,15,43,0.349,16,21,0.762,13,52,28,11,5,16,23,0.4166666666666667,2025
