Date,Home,Team,Opp,Win,Win Percentage,Rolling Points Scored Average,Rolling FG Average,Rolling FGA Average,Rolling FG% Average,Rolling 3P Average,Rolling 3PA Average,Rolling 3P% Average,Rolling FT Average,Rolling FTA Average,Rolling FT% Average,Rolling ORB Average,Rolling TRB Average,Rolling AST Average,Rolling STL Average,Rolling BLK Average,Rolling TOV Average,Rolling PF Average,Rolling Opp Points Scored Average,Rolling Opp FG Average,Rolling Opp FGA Average,Rolling Opp FG% Average,Rolling Opp 3P Average,Rolling Opp 3PA Average,Rolling Opp 3P% Average,Rolling Opp FT Average,Rolling Opp FTA Average,Rolling Opp FT% Average,Rolling Opp ORB Average,Rolling Opp TRB Average,Rolling Opp AST Average,Rolling Opp STL Average,Rolling Opp BLK Average,Rolling Opp TOV Average,Rolling Opp PF Average,Opp Win Percentage
2023-10-26,1,LAL,PHO,1,0.0,107.0,41.0,90.0,0.456,10.0,29.0,0.345,15.0,20.0,0.75,13.0,44.0,23.0,5.0,4.0,12.0,18.0,108.0,42.0,95.0,0.442,11.0,33.0,0.333,13.0,17.0,0.765,17.0,60.0,23.0,5.0,7.0,19.0,22.0,1.0
2023-10-27,0,GSW,SAC,1,0.0,104.0,36.0,101.0,0.356,10.0,43.0,0.233,22.0,28.0,0.786,18.0,49.0,19.0,11.0,6.0,11.0,23.0,130.0,47.0,102.0,0.461,19.0,51.0,0.373,17.0,20.0,0.85,15.0,45.0,29.0,6.0,8.0,12.0,25.0,1.0
2023-10-27,0,LAC,UTA,0,1.0,123.0,47.0,90.0,0.522,16.0,34.0,0.471,13.0,16.0,0.813,14.0,45.0,36.0,11.0,7.0,18.0,20.0,114.0,41.0,91.0,0.451,9.0,28.0,0.321,23.0,31.0,0.742,16.0,54.0,22.0,6.0,2.0,14.0,20.0,0.0
2023-10-27,0,HOU,SAS,0,0.0,86.0,32.0,79.0,0.405,12.0,34.0,0.353,10.0,16.0,0.625,7.0,31.0,19.0,6.0,3.0,19.0,24.0,119.0,46.0,89.0,0.517,11.0,35.0,0.314,16.0,22.0,0.727,9.0,45.0,33.0,8.0,5.0,19.0,23.0,0.0
2023-10-27,1,ATL,NYK,0,0.0,110.0,39.0,93.0,0.419,5.0,29.0,0.172,27.0,33.0,0.818,12.0,42.0,24.0,12.0,1.0,12.0,19.0,104.0,36.0,97.0,0.371,18.0,41.0,0.439,14.0,26.0,0.538,17.0,47.0,24.0,9.0,0.0,11.0,22.0,0.0
2023-10-27,0,BRK,DAL,0,0.0,113.0,42.0,84.0,0.5,9.0,27.0,0.333,20.0,26.0,0.769,13.0,50.0,30.0,6.0,6.0,18.0,16.0,126.0,47.0,99.0,0.475,15.0,47.0,0.319,17.0,23.0,0.739,13.0,48.0,24.0,6.0,3.0,12.0,20.0,1.0
2023-10-27,0,ORL,POR,1,1.0,116.0,42.0,87.0,0.483,9.0,34.0,0.265,23.0,26.0,0.885,17.0,57.0,19.0,8.0,6.0,16.0,20.0,111.0,44.0,93.0,0.473,10.0,32.0,0.313,13.0,17.0,0.765,15.0,40.0,20.0,10.0,4.0,18.0,20.0,0.0
2023-10-27,1,BOS,MIA,1,1.0,108.0,37.0,77.0,0.481,12.0,39.0,0.308,22.0,26.0,0.846,7.0,46.0,18.0,6.0,11.0,13.0,22.0,103.0,37.0,92.0,0.402,8.0,22.0,0.364,21.0,26.0,0.808,16.0,48.0,22.0,11.0,3.0,7.0,18.0,1.0
2023-10-27,1,CHO,DET,0,1.0,116.0,43.0,86.0,0.5,11.0,37.0,0.297,19.0,26.0,0.731,12.0,51.0,34.0,5.0,3.0,19.0,21.0,102.0,41.0,92.0,0.446,11.0,32.0,0.344,9.0,15.0,0.6,17.0,56.0,28.0,3.0,13.0,17.0,23.0,0.0
2023-10-27,1,CHI,TOR,1,0.0,104.0,39.0,94.0,0.415,12.0,42.0,0.286,14.0,18.0,0.778,13.0,42.0,26.0,10.0,3.0,13.0,16.0,97.0,36.0,90.0,0.4,14.0,35.0,0.4,11.0,16.0,0.688,8.0,47.0,27.0,9.0,11.0,14.0,18.0,1.0
2023-10-27,0,DEN,MEM,1,1.0,119.0,48.0,91.0,0.527,14.0,34.0,0.412,9.0,12.0,0.75,9.0,42.0,29.0,9.0,6.0,12.0,15.0,104.0,38.0,91.0,0.418,12.0,43.0,0.279,16.0,20.0,0.8,8.0,37.0,23.0,8.0,7.0,13.0,19.0,0.0
2023-10-27,1,CLE,OKC,0,1.0,114.0,44.0,94.0,0.468,17.0,43.0,0.395,9.0,10.0,0.9,9.0,38.0,25.0,10.0,6.0,10.0,23.0,124.0,45.0,82.0,0.549,19.0,39.0,0.487,15.0,18.0,0.833,5.0,43.0,30.0,6.0,4.0,16.0,19.0,1.0
2023-10-28,0,PHI,TOR,1,0.0,117.0,41.0,80.0,0.513,16.0,35.0,0.457,19.0,28.0,0.679,4.0,39.0,25.0,8.0,4.0,15.0,28.0,100.0,37.5,87.0,0.43200000000000005,11.5,35.5,0.325,13.5,20.5,0.6639999999999999,8.0,50.0,26.0,7.0,6.5,18.5,23.5,0.5
2023-10-28,1,NOP,NYK,1,1.0,111.0,40.0,85.0,0.471,14.0,32.0,0.438,17.0,22.0,0.773,11.0,52.0,22.0,8.0,5.0,21.0,21.0,115.0,39.5,93.5,0.4245,19.0,42.5,0.447,17.0,27.0,0.626,14.5,46.0,27.0,9.0,3.0,13.5,21.5,0.5
2023-10-28,0,CHI,DET,0,0.5,104.0,38.0,96.5,0.39449999999999996,10.0,40.5,0.2455,18.0,23.0,0.782,14.0,47.0,22.0,10.0,4.0,15.0,19.0,106.5,40.5,90.0,0.4505,10.5,31.0,0.3385,15.0,20.0,0.72,14.5,54.5,28.0,5.0,9.5,20.5,26.0,0.5
2023-10-28,0,MIA,MIN,0,0.5,107.0,37.5,90.5,0.4145,12.0,27.5,0.4245,20.0,24.5,0.817,13.5,46.5,23.0,9.5,4.5,9.5,17.0,94.0,34.0,100.0,0.34,8.0,31.0,0.258,18.0,22.0,0.818,16.0,62.0,20.0,8.0,9.0,14.0,14.0,0.0
2023-10-28,1,CLE,IND,0,0.5,109.5,41.0,93.0,0.4405,14.5,44.0,0.331,13.0,16.5,0.8195,8.5,43.0,22.5,10.0,7.0,12.0,19.5,143.0,56.0,107.0,0.523,20.0,43.0,0.465,11.0,12.0,0.917,10.0,51.0,38.0,10.0,8.0,12.0,23.0,1.0
2023-10-28,1,PHO,UTA,1,0.5,101.5,38.0,88.0,0.431,10.0,32.0,0.3115,15.5,20.0,0.774,13.5,54.5,19.5,6.0,5.0,21.5,21.5,117.0,41.5,93.5,0.4445,12.5,34.5,0.35550000000000004,21.5,26.5,0.8255,16.5,49.5,24.5,6.5,3.0,14.0,22.0,0.5
2023-10-28,0,MEM,WAS,0,0.0,104.0,37.5,88.0,0.4265,11.0,38.0,0.29100000000000004,18.0,22.0,0.8165,10.5,42.5,22.5,10.5,7.0,17.0,21.0,120.0,44.0,96.0,0.458,9.0,24.0,0.375,23.0,29.0,0.793,11.0,45.0,28.0,6.0,9.0,14.0,11.0,0.0
