Date,Home,Team,Opp,Win,Points Scored,Opp Points Scored,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opp FG,Opp FGA,Opp FG%,Opp 3P,Opp 3PA,Opp 3P%,Opp FT,Opp FTA,Opp FT%,Opp ORB,Opp TRB,Opp AST,Opp STL,Opp BLK,Opp TOV,Opp PF,Win Percentage
2022-10-19,1,ATL,HOU,1,117,107,45,90,0.5,7,25,0.28,20,24,0.833,4,38,30,12,5,9,18,42,98,0.429,9,35,0.257,14,15,0.933,15,54,25,4,3,16,20,0.0
2022-10-21,1,ATL,ORL,1,108,98,40,89,0.449,13,31,0.419,15,16,0.938,9,46,26,10,2,17,22,33,80,0.413,8,34,0.235,24,30,0.8,10,44,16,9,7,19,19,1.0
2022-10-23,1,ATL,CHO,0,109,126,39,95,0.411,8,35,0.229,23,28,0.821,16,45,23,8,9,12,21,47,90,0.522,11,26,0.423,21,30,0.7,14,52,28,7,6,14,24,1.0
2022-10-26,0,ATL,DET,1,118,113,45,91,0.495,8,22,0.364,20,25,0.8,10,46,22,6,12,12,20,42,91,0.462,14,32,0.438,15,22,0.682,10,40,23,4,6,14,25,0.6666666666666666
2022-10-28,0,ATL,DET,1,136,112,55,97,0.567,12,29,0.414,14,18,0.778,10,45,31,5,8,7,26,37,86,0.43,7,32,0.219,31,38,0.816,14,42,18,2,4,11,22,0.75
2022-10-29,0,ATL,MIL,0,115,123,45,94,0.479,13,29,0.448,12,15,0.8,12,42,19,5,2,13,23,45,92,0.489,14,36,0.389,19,29,0.655,14,49,24,8,5,12,18,0.8
2022-10-31,0,ATL,TOR,0,109,139,39,84,0.464,11,29,0.379,20,25,0.8,7,37,28,1,4,18,27,46,92,0.5,14,34,0.412,33,40,0.825,12,44,25,13,9,7,22,0.6666666666666666
2022-11-02,0,ATL,NYK,1,112,99,44,107,0.411,12,34,0.353,12,16,0.75,17,51,28,11,4,9,18,37,90,0.411,10,36,0.278,15,20,0.75,12,52,23,3,9,17,19,0.5714285714285714
2022-11-05,1,ATL,NOP,1,124,121,47,103,0.456,9,36,0.25,21,25,0.84,12,50,28,12,8,13,23,47,108,0.435,7,23,0.304,20,28,0.714,19,59,23,8,6,16,24,0.625
2022-11-07,1,ATL,MIL,1,117,98,46,99,0.465,11,29,0.379,14,17,0.824,12,48,23,11,3,12,18,36,87,0.414,13,40,0.325,13,16,0.813,6,41,21,5,9,19,18,0.6666666666666666
2022-11-09,1,ATL,UTA,0,119,125,51,109,0.468,8,28,0.286,9,11,0.818,17,54,24,5,5,11,16,44,94,0.468,17,39,0.436,20,24,0.833,13,47,27,5,6,13,20,0.7
2022-11-10,1,ATL,PHI,1,104,95,39,88,0.443,6,26,0.231,20,23,0.87,11,54,19,8,2,18,22,32,83,0.386,6,30,0.2,25,30,0.833,9,45,15,10,5,17,22,0.6363636363636364
2022-11-12,0,ATL,PHI,0,109,121,40,89,0.449,6,24,0.25,23,27,0.852,12,43,20,4,2,19,19,44,80,0.55,8,24,0.333,25,31,0.806,2,31,24,10,5,12,26,0.6666666666666666
2022-11-14,0,ATL,MIL,1,121,106,44,92,0.478,7,20,0.35,26,30,0.867,13,45,23,4,4,9,23,34,82,0.415,6,29,0.207,32,41,0.78,11,46,21,4,3,17,26,0.6153846153846154
2022-11-16,1,ATL,BOS,0,101,126,42,101,0.416,7,32,0.219,10,13,0.769,14,45,21,5,5,9,11,48,88,0.545,21,46,0.457,9,10,0.9,6,49,29,4,8,15,20,0.6428571428571429
2022-11-19,1,ATL,TOR,1,124,122,46,92,0.5,7,25,0.28,25,32,0.781,11,50,23,5,5,15,20,48,108,0.444,8,37,0.216,18,22,0.818,17,51,27,11,6,14,25,0.6
2022-11-21,0,ATL,CLE,0,102,114,38,87,0.437,11,34,0.324,15,17,0.882,10,35,24,11,3,17,21,42,70,0.6,10,19,0.526,20,23,0.87,3,37,24,8,3,20,17,0.625
2022-11-23,1,ATL,SAC,1,115,106,41,92,0.446,11,30,0.367,22,23,0.957,10,47,23,9,6,13,20,41,89,0.461,9,31,0.29,15,21,0.714,10,48,27,6,2,19,23,0.5882352941176471
2022-11-25,0,ATL,HOU,0,122,128,39,82,0.476,15,39,0.385,29,36,0.806,6,28,14,9,6,14,26,41,87,0.471,12,35,0.343,34,41,0.829,22,59,25,9,4,22,29,0.6111111111111112
2022-11-27,1,ATL,MIA,0,98,106,35,88,0.398,10,36,0.278,18,19,0.947,8,42,24,6,3,12,12,40,82,0.488,9,33,0.273,17,19,0.895,6,46,28,8,5,14,16,0.5789473684210527
2022-11-28,0,ATL,PHI,0,101,104,37,74,0.5,12,27,0.444,15,22,0.682,8,42,26,7,6,20,21,39,86,0.453,10,28,0.357,16,18,0.889,10,37,23,10,3,12,19,0.55
2022-11-30,0,ATL,ORL,1,125,108,51,94,0.543,8,32,0.25,15,19,0.789,14,49,25,8,3,12,17,39,79,0.494,8,27,0.296,22,25,0.88,6,33,26,5,3,18,21,0.5238095238095238
2022-12-02,1,ATL,DEN,1,117,109,49,88,0.557,10,28,0.357,9,14,0.643,12,43,24,7,3,12,14,45,85,0.529,12,32,0.375,7,13,0.538,9,33,31,8,0,16,12,0.5454545454545454
2022-12-05,1,ATL,OKC,0,114,121,44,102,0.431,13,38,0.342,13,17,0.765,17,54,24,7,4,18,24,43,95,0.453,12,34,0.353,23,24,0.958,14,49,25,8,4,16,19,0.5652173913043478
