Date,Home,Team,Opp,Win,Points Scored,Opp Points Scored,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opp FG,Opp FGA,Opp FG%,Opp 3P,Opp 3PA,Opp 3P%,Opp FT,Opp FTA,Opp FT%,Opp ORB,Opp TRB,Opp AST,Opp STL,Opp BLK,Opp TOV,Opp PF,Win Percentage
2022-10-19,0,CHI,MIA,1,116,108,41,93,0.441,13,36,0.361,21,28,0.75,12,46,23,12,6,15,26,37,80,0.463,12,28,0.429,22,28,0.786,8,46,21,6,2,19,24,0.0
2022-10-21,0,CHI,WAS,0,100,102,33,79,0.418,7,27,0.259,27,33,0.818,10,38,19,8,3,13,15,41,80,0.513,10,26,0.385,10,11,0.909,5,39,26,8,8,17,22,1.0
2022-10-22,1,CHI,CLE,0,96,128,34,84,0.405,7,29,0.241,21,25,0.84,10,35,19,12,7,10,19,48,85,0.565,16,27,0.593,16,18,0.889,8,48,32,4,5,18,17,0.5
2022-10-24,1,CHI,BOS,1,120,102,42,87,0.483,10,21,0.476,26,29,0.897,14,60,29,4,6,14,18,37,100,0.37,18,48,0.375,10,12,0.833,14,45,26,5,7,11,24,0.3333333333333333
2022-10-26,1,CHI,IND,1,124,109,43,87,0.494,16,30,0.533,22,24,0.917,9,44,34,10,5,18,25,37,86,0.43,16,40,0.4,19,24,0.792,6,38,31,5,12,20,18,0.5
2022-10-28,0,CHI,SAS,0,124,129,47,99,0.475,9,27,0.333,21,26,0.808,15,42,20,13,3,13,19,46,86,0.535,16,38,0.421,21,26,0.808,8,42,37,7,3,21,17,0.6
2022-10-29,1,CHI,PHI,0,109,114,36,80,0.45,11,31,0.355,26,29,0.897,9,40,22,7,3,18,20,39,79,0.494,14,29,0.483,22,27,0.815,8,41,28,8,6,19,22,0.5
2022-11-01,0,CHI,BRK,1,108,99,39,89,0.438,12,30,0.4,18,21,0.857,11,44,20,8,4,10,13,36,74,0.486,12,32,0.375,15,19,0.789,4,38,27,4,7,18,20,0.42857142857142855
2022-11-02,1,CHI,CHO,1,106,88,38,88,0.432,14,31,0.452,16,18,0.889,11,51,28,6,9,20,18,36,92,0.391,7,32,0.219,9,16,0.563,13,47,22,12,12,17,14,0.5
2022-11-04,0,CHI,BOS,0,119,123,43,83,0.518,11,28,0.393,22,25,0.88,4,37,21,8,5,17,28,41,83,0.494,9,31,0.29,32,39,0.821,7,39,24,5,7,14,23,0.5555555555555556
