Date,Home,Team,Opp,Win,Points Scored,Opp Points Scored,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opp FG,Opp FGA,Opp FG%,Opp 3P,Opp 3PA,Opp 3P%,Opp FT,Opp FTA,Opp FT%,Opp ORB,Opp TRB,Opp AST,Opp STL,Opp BLK,Opp TOV,Opp PF,Win Percentage
2022-10-19,0,CLE,TOR,0,105,108,38,77,0.494,10,28,0.357,19,23,0.826,6,38,25,5,5,17,21,36,86,0.419,13,30,0.433,23,32,0.719,12,41,19,15,4,13,23,0.0
2022-10-22,0,CLE,CHI,1,128,96,48,85,0.565,16,27,0.593,16,18,0.889,8,48,32,4,5,18,17,34,84,0.405,7,29,0.241,21,25,0.84,10,35,19,12,7,10,19,0.0
2022-10-23,1,CLE,WAS,1,117,107,41,96,0.427,13,33,0.394,22,25,0.88,16,48,19,10,5,13,20,43,87,0.494,12,28,0.429,9,15,0.6,4,35,25,9,4,20,24,0.5
2022-10-26,1,CLE,ORL,1,103,92,36,87,0.414,10,33,0.303,21,30,0.7,12,43,25,6,3,13,22,35,81,0.432,6,24,0.25,16,21,0.762,10,43,19,6,6,17,29,0.6666666666666666
2022-10-28,0,CLE,BOS,1,132,123,45,87,0.517,16,35,0.457,26,34,0.765,9,42,18,5,2,16,28,42,82,0.512,13,33,0.394,26,32,0.813,5,34,28,9,2,19,27,0.75
2022-10-30,1,CLE,NYK,1,121,108,41,89,0.461,23,50,0.46,16,19,0.842,10,43,33,3,5,14,22,45,92,0.489,10,27,0.37,8,16,0.5,12,45,26,9,2,14,25,0.8
2022-11-02,1,CLE,BOS,1,114,113,42,100,0.42,11,39,0.282,19,24,0.792,9,51,24,6,4,11,23,38,93,0.409,11,41,0.268,26,27,0.963,8,52,26,5,9,14,24,0.8333333333333334
2022-11-04,0,CLE,DET,1,112,88,44,81,0.543,11,26,0.423,13,16,0.813,10,47,30,5,13,19,15,31,83,0.373,13,37,0.351,13,15,0.867,9,34,16,10,6,19,22,0.8571428571428571
2022-11-06,0,CLE,LAL,1,114,100,37,84,0.44,8,32,0.25,32,36,0.889,9,48,19,7,6,14,20,40,87,0.46,8,27,0.296,12,21,0.571,10,43,24,4,4,17,26,0.875
2022-11-07,0,CLE,LAC,0,117,119,43,83,0.518,16,33,0.485,15,21,0.714,10,48,29,6,2,17,21,40,79,0.506,17,38,0.447,22,28,0.786,4,31,19,8,2,9,19,0.8888888888888888
