Date,Home,Team,Opp,Win,Points Scored,Opp Points Scored,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opp FG,Opp FGA,Opp FG%,Opp 3P,Opp 3PA,Opp 3P%,Opp FT,Opp FTA,Opp FT%,Opp ORB,Opp TRB,Opp AST,Opp STL,Opp BLK,Opp TOV,Opp PF,Win Percentage
2022-10-19,0,DAL,PHO,0,105,107,35,75,0.467,14,35,0.4,21,34,0.618,5,40,17,6,4,12,22,40,85,0.471,8,22,0.364,19,22,0.864,8,40,25,4,5,12,29,0.0
2022-10-22,1,DAL,MEM,1,137,96,45,90,0.5,17,39,0.436,30,36,0.833,15,52,23,7,7,15,24,34,79,0.43,9,33,0.273,19,24,0.792,6,29,20,4,8,18,29,0.0
2022-10-25,0,DAL,NOP,0,111,113,41,82,0.5,12,39,0.308,17,24,0.708,11,37,18,8,5,12,16,44,76,0.579,12,27,0.444,13,18,0.722,4,26,25,7,3,14,21,0.5
2022-10-27,0,DAL,BRK,1,129,125,41,81,0.506,20,40,0.5,27,35,0.771,7,37,25,8,4,18,23,43,93,0.462,12,35,0.343,27,30,0.9,13,45,20,10,6,15,28,0.3333333333333333
2022-10-29,1,DAL,OKC,0,111,117,38,95,0.4,8,40,0.2,27,34,0.794,12,49,17,8,5,16,30,44,89,0.494,5,25,0.2,24,31,0.774,9,47,25,9,6,15,29,0.5
2022-10-30,1,DAL,ORL,1,114,105,41,83,0.494,11,35,0.314,21,28,0.75,5,37,15,10,1,4,22,37,81,0.457,11,29,0.379,20,27,0.741,11,47,20,2,5,12,23,0.4
2022-11-02,1,DAL,UTA,1,103,100,42,84,0.5,11,38,0.289,8,15,0.533,7,37,20,9,4,12,14,39,84,0.464,10,30,0.333,12,14,0.857,12,40,28,6,1,17,17,0.5
2022-11-04,1,DAL,TOR,1,111,110,39,77,0.506,12,34,0.353,21,25,0.84,6,31,23,12,3,19,21,39,88,0.443,11,34,0.324,21,25,0.84,18,44,20,10,4,19,22,0.5714285714285714
2022-11-07,1,DAL,BRK,1,96,94,32,72,0.444,12,28,0.429,20,24,0.833,12,41,18,7,3,22,20,35,80,0.438,10,29,0.345,14,19,0.737,14,34,22,13,5,14,26,0.625
2022-11-09,0,DAL,ORL,0,87,94,32,85,0.376,11,42,0.262,12,19,0.632,4,29,17,14,4,6,19,36,73,0.493,8,21,0.381,14,21,0.667,4,49,20,1,6,19,20,0.6666666666666666
2022-11-10,0,DAL,WAS,0,105,113,37,86,0.43,18,47,0.383,13,21,0.619,7,41,19,9,1,13,13,41,84,0.488,12,30,0.4,19,20,0.95,8,52,25,5,5,17,21,0.6
2022-11-12,1,DAL,POR,1,117,112,41,81,0.506,14,43,0.326,21,26,0.808,7,40,26,8,2,11,27,36,80,0.45,13,31,0.419,27,35,0.771,12,44,20,6,2,12,21,0.5454545454545454
2022-11-15,1,DAL,LAC,1,103,101,35,80,0.438,17,43,0.395,16,24,0.667,8,34,20,12,1,12,20,34,64,0.531,12,28,0.429,21,26,0.808,3,40,23,8,2,21,27,0.5833333333333334
2022-11-16,1,DAL,HOU,0,92,101,31,102,0.304,12,55,0.218,18,19,0.947,13,38,21,9,2,6,19,35,75,0.467,10,22,0.455,21,24,0.875,9,56,21,1,19,23,19,0.6153846153846154
2022-11-18,1,DAL,DEN,1,127,99,46,77,0.597,13,32,0.406,22,28,0.786,6,44,29,5,3,10,19,38,90,0.422,10,30,0.333,13,18,0.722,13,36,24,4,1,13,20,0.5714285714285714
2022-11-20,1,DAL,DEN,0,97,98,35,78,0.449,15,42,0.357,12,21,0.571,6,36,24,5,3,13,18,37,78,0.474,9,27,0.333,15,19,0.789,4,44,22,10,5,16,20,0.6
2022-11-23,0,DAL,BOS,0,112,125,44,82,0.537,11,31,0.355,13,21,0.619,5,35,20,4,3,14,23,45,84,0.536,17,34,0.5,18,21,0.857,6,38,29,4,4,12,22,0.5625
2022-11-26,0,DAL,TOR,0,100,105,35,73,0.479,11,39,0.282,19,24,0.792,4,34,28,7,5,16,26,38,88,0.432,8,26,0.308,21,26,0.808,17,48,20,10,2,13,21,0.5294117647058824
2022-11-27,0,DAL,MIL,0,115,124,41,80,0.513,17,41,0.415,16,25,0.64,6,32,23,6,2,13,17,48,86,0.558,17,37,0.459,11,15,0.733,8,40,28,8,5,14,24,0.5
2022-11-29,1,DAL,GSW,1,116,113,42,91,0.462,15,44,0.341,17,27,0.63,8,39,21,7,4,14,21,42,88,0.477,11,43,0.256,18,23,0.783,10,50,27,6,3,18,23,0.47368421052631576
2022-12-01,0,DAL,DET,0,125,131,46,86,0.535,19,46,0.413,14,29,0.483,4,30,25,8,7,13,24,51,94,0.543,15,35,0.429,14,24,0.583,13,52,29,9,0,13,26,0.5
2022-12-03,0,DAL,NYK,1,121,100,43,100,0.43,24,61,0.393,11,14,0.786,14,50,27,7,5,11,20,35,77,0.455,10,31,0.323,20,28,0.714,7,45,18,7,1,20,17,0.47619047619047616
2022-12-05,1,DAL,PHO,1,130,111,44,84,0.524,20,41,0.488,22,26,0.846,10,41,23,7,6,13,23,40,91,0.44,13,37,0.351,18,26,0.692,13,41,28,5,5,13,16,0.5
2022-12-06,0,DAL,DEN,1,116,115,36,72,0.5,17,36,0.472,27,31,0.871,4,35,27,10,4,17,32,40,78,0.513,13,32,0.406,22,28,0.786,8,36,30,8,4,17,28,0.5217391304347826
2022-12-09,1,DAL,MIL,0,105,106,41,88,0.466,13,40,0.325,10,24,0.417,12,43,21,8,6,11,21,38,87,0.437,11,32,0.344,19,23,0.826,13,51,27,5,4,17,21,0.5416666666666666
2022-12-10,0,DAL,CHI,0,115,144,41,90,0.456,11,44,0.25,22,26,0.846,8,37,24,5,4,8,17,54,85,0.635,19,34,0.559,17,24,0.708,4,44,33,8,5,10,17,0.52
2022-12-12,1,DAL,OKC,1,121,114,39,93,0.419,22,54,0.407,21,25,0.84,16,50,24,4,3,14,19,42,88,0.477,10,31,0.323,20,21,0.952,10,42,21,4,1,13,22,0.5
2022-12-14,1,DAL,CLE,0,90,105,29,74,0.392,13,38,0.342,19,26,0.731,6,33,17,2,3,13,15,41,78,0.526,8,24,0.333,15,19,0.789,5,43,26,5,2,9,20,0.5185185185185185
2022-12-16,1,DAL,POR,1,130,110,45,81,0.556,18,43,0.419,22,26,0.846,3,40,25,4,5,13,19,39,89,0.438,13,37,0.351,19,25,0.76,10,42,21,4,2,12,22,0.5
2022-12-17,0,DAL,CLE,0,99,100,36,88,0.409,15,49,0.306,12,19,0.632,5,45,19,5,6,12,20,40,94,0.426,7,36,0.194,13,22,0.591,9,51,23,6,5,13,24,0.5172413793103449
2022-12-19,0,DAL,MIN,0,106,116,31,76,0.408,19,45,0.422,25,31,0.806,8,42,23,5,5,16,23,42,89,0.472,12,31,0.387,20,24,0.833,9,44,19,5,4,11,24,0.5
2022-12-21,0,DAL,MIN,1,104,99,34,75,0.453,13,39,0.333,23,27,0.852,7,39,17,6,3,13,12,42,85,0.494,8,30,0.267,7,10,0.7,8,39,23,7,4,13,24,0.4838709677419355
2022-12-23,0,DAL,HOU,1,112,106,36,80,0.45,16,44,0.364,24,27,0.889,7,34,20,10,7,14,21,37,81,0.457,8,26,0.308,24,28,0.857,12,45,26,9,3,15,21,0.5
2022-12-25,1,DAL,LAL,1,124,115,44,84,0.524,18,44,0.409,18,25,0.72,11,38,31,6,3,11,26,39,80,0.488,9,28,0.321,28,32,0.875,6,35,18,5,2,10,23,0.5151515151515151
2022-12-27,1,DAL,NYK,1,126,121,44,90,0.489,13,46,0.283,25,33,0.758,7,47,20,4,5,9,25,45,103,0.437,16,50,0.32,15,24,0.625,17,55,27,5,0,10,23,0.5294117647058824
2022-12-29,1,DAL,HOU,1,129,114,47,91,0.516,18,45,0.4,17,25,0.68,6,44,30,7,8,9,26,38,86,0.442,12,34,0.353,26,37,0.703,12,48,21,5,0,13,23,0.5428571428571428
2022-12-31,0,DAL,SAS,1,126,125,50,86,0.581,14,34,0.412,12,21,0.571,6,26,21,5,3,5,24,47,85,0.553,8,19,0.421,23,32,0.719,15,48,28,1,0,13,21,0.5555555555555556
2023-01-02,0,DAL,HOU,1,111,106,34,81,0.42,13,43,0.302,30,34,0.882,8,41,19,8,6,8,19,38,82,0.463,9,29,0.31,21,29,0.724,8,46,21,4,4,10,28,0.5675675675675675
2023-01-05,1,DAL,BOS,0,95,124,34,90,0.378,7,32,0.219,20,25,0.8,11,42,15,4,3,11,19,41,84,0.488,16,43,0.372,26,31,0.839,10,52,29,6,8,11,22,0.5789473684210527
2023-01-07,1,DAL,NOP,1,127,117,42,74,0.568,13,29,0.448,30,38,0.789,5,39,23,5,7,17,24,45,94,0.479,5,29,0.172,22,35,0.629,15,44,26,14,4,13,25,0.5641025641025641
2023-01-08,0,DAL,OKC,0,109,120,31,73,0.425,14,39,0.359,33,42,0.786,8,39,21,3,1,13,19,46,95,0.484,12,28,0.429,16,20,0.8,13,48,27,5,8,8,26,0.575
2023-01-10,0,DAL,LAC,0,101,113,30,69,0.435,12,38,0.316,29,36,0.806,3,32,15,5,6,12,17,39,86,0.453,12,31,0.387,23,30,0.767,12,46,20,7,4,10,23,0.5609756097560976
2023-01-12,0,DAL,LAL,1,119,115,48,96,0.5,14,42,0.333,9,17,0.529,3,54,25,4,9,19,26,44,112,0.393,10,41,0.244,17,27,0.63,14,56,24,7,4,10,18,0.5476190476190477
2023-01-14,0,DAL,POR,0,119,136,43,82,0.524,22,46,0.478,11,19,0.579,2,25,28,4,3,11,18,49,88,0.557,17,41,0.415,21,22,0.955,10,47,34,7,4,12,20,0.5581395348837209
2023-01-15,0,DAL,POR,0,123,140,41,89,0.461,14,42,0.333,27,33,0.818,13,39,31,3,2,9,29,43,85,0.506,17,44,0.386,37,42,0.881,8,41,28,3,6,8,29,0.5454545454545454
2023-01-18,1,DAL,ATL,0,122,130,44,84,0.524,16,42,0.381,18,24,0.75,10,31,26,5,3,16,19,49,86,0.57,13,26,0.5,19,20,0.95,7,35,28,7,4,12,23,0.5333333333333333
2023-01-20,1,DAL,MIA,1,115,90,37,80,0.463,18,38,0.474,23,28,0.821,10,37,21,7,1,10,22,33,69,0.478,4,20,0.2,20,27,0.741,5,39,15,3,1,16,22,0.5217391304347826
2023-01-22,1,DAL,LAC,0,98,112,35,80,0.438,13,35,0.371,15,26,0.577,12,38,15,3,3,10,21,35,77,0.455,12,28,0.429,30,31,0.968,9,46,20,6,3,11,23,0.5319148936170213
2023-01-24,1,DAL,WAS,0,126,127,47,89,0.528,10,30,0.333,22,26,0.846,8,38,24,6,2,9,25,42,83,0.506,11,30,0.367,32,41,0.78,6,41,28,7,3,11,22,0.5208333333333334
2023-01-26,0,DAL,PHO,1,99,95,33,77,0.429,13,34,0.382,20,28,0.714,7,43,20,3,3,9,10,35,86,0.407,13,32,0.406,12,16,0.75,13,50,24,4,6,9,21,0.5102040816326531
2023-01-28,0,DAL,UTA,0,100,108,35,80,0.438,18,46,0.391,12,17,0.706,7,31,26,7,3,14,18,39,82,0.476,13,36,0.361,17,24,0.708,13,49,26,9,6,17,23,0.52
2023-01-30,1,DAL,DET,1,111,105,39,79,0.494,10,34,0.294,23,33,0.697,9,40,17,6,1,11,18,36,79,0.456,14,39,0.359,19,27,0.704,9,40,18,9,6,14,31,0.5098039215686274
2023-02-02,1,DAL,NOP,1,111,106,37,85,0.435,14,41,0.341,23,29,0.793,6,36,16,10,3,8,24,42,84,0.5,5,20,0.25,17,21,0.81,12,50,27,6,5,17,26,0.5192307692307693
2023-02-04,0,DAL,GSW,0,113,119,39,85,0.459,14,40,0.35,21,27,0.778,10,39,22,9,1,14,18,45,82,0.549,14,35,0.4,15,19,0.789,5,38,33,6,5,14,24,0.5283018867924528
2023-02-06,0,DAL,UTA,1,124,111,41,88,0.466,15,39,0.385,27,31,0.871,17,49,26,6,4,14,25,41,87,0.471,6,31,0.194,23,26,0.885,10,37,21,4,4,13,23,0.5185185185185185
2023-02-08,0,DAL,LAC,1,110,104,41,78,0.526,17,35,0.486,11,17,0.647,8,44,26,7,6,18,20,38,86,0.442,12,33,0.364,16,21,0.762,9,40,21,10,4,11,18,0.5272727272727272
2023-02-10,0,DAL,SAC,1,122,114,43,88,0.489,18,43,0.419,18,19,0.947,11,39,34,4,0,12,19,39,72,0.542,9,27,0.333,27,32,0.844,5,38,21,2,4,14,19,0.5357142857142857
2023-02-11,0,DAL,SAC,0,128,133,47,91,0.516,20,51,0.392,14,19,0.737,7,43,27,4,4,16,19,51,100,0.51,8,32,0.25,23,25,0.92,11,50,22,9,0,7,17,0.543859649122807
2023-02-13,1,DAL,MIN,0,121,124,43,84,0.512,13,39,0.333,22,29,0.759,9,33,21,5,1,11,21,48,83,0.578,9,29,0.31,19,26,0.731,10,39,28,8,2,12,26,0.5344827586206896
2023-02-15,0,DAL,DEN,0,109,118,39,84,0.464,14,39,0.359,17,20,0.85,6,31,25,8,3,12,13,48,84,0.571,11,31,0.355,11,15,0.733,6,43,34,7,5,13,14,0.5254237288135594
2023-02-23,1,DAL,SAS,1,142,116,46,82,0.561,22,42,0.524,28,36,0.778,3,36,27,10,5,7,18,45,86,0.523,10,25,0.4,16,23,0.696,10,45,30,4,1,17,25,0.5166666666666667
2023-02-26,1,DAL,LAL,0,108,111,39,93,0.419,20,49,0.408,10,14,0.714,11,48,21,5,5,17,24,42,97,0.433,6,34,0.176,21,28,0.75,17,56,25,9,4,11,17,0.5245901639344263
2023-02-28,1,DAL,IND,0,122,124,46,91,0.505,12,37,0.324,18,28,0.643,9,38,28,5,3,7,29,41,78,0.526,11,28,0.393,31,40,0.775,5,41,25,3,8,9,19,0.5161290322580645
2023-03-02,1,DAL,PHI,1,133,126,45,82,0.549,25,48,0.521,18,27,0.667,5,31,26,8,1,13,22,45,78,0.577,12,27,0.444,24,29,0.828,5,37,28,9,1,14,24,0.5079365079365079
2023-03-05,1,DAL,PHO,0,126,130,38,77,0.494,15,38,0.395,35,38,0.921,5,31,15,5,0,10,22,49,89,0.551,12,34,0.353,20,25,0.8,9,41,27,5,2,9,28,0.515625
2023-03-07,1,DAL,UTA,1,120,116,42,89,0.472,19,45,0.422,17,22,0.773,3,43,24,10,6,17,20,41,92,0.446,15,44,0.341,19,25,0.76,6,47,23,10,4,16,23,0.5076923076923077
2023-03-08,0,DAL,NOP,0,106,113,38,88,0.432,16,46,0.348,14,19,0.737,5,34,24,7,0,9,18,42,83,0.506,13,27,0.481,16,18,0.889,9,49,32,4,6,15,19,0.5151515151515151
2023-03-11,0,DAL,MEM,0,108,112,39,85,0.459,15,43,0.349,15,23,0.652,10,43,25,4,3,11,17,41,86,0.477,10,38,0.263,20,24,0.833,11,45,25,7,5,11,16,0.5074626865671642
2023-03-13,1,DAL,MEM,0,88,104,35,90,0.389,12,46,0.261,6,8,0.75,8,41,23,3,3,13,16,38,83,0.458,12,37,0.324,16,19,0.842,7,47,23,9,3,16,17,0.5
2023-03-15,0,DAL,SAS,1,137,128,44,86,0.512,17,33,0.515,32,37,0.865,10,52,23,4,4,19,25,49,107,0.458,15,34,0.441,15,26,0.577,16,47,26,7,4,10,30,0.4927536231884058
2023-03-17,0,DAL,LAL,1,111,110,40,79,0.506,16,34,0.471,15,19,0.789,7,35,27,8,4,15,26,43,84,0.512,5,20,0.25,19,31,0.613,13,42,23,8,3,12,18,0.5
2023-03-20,0,DAL,MEM,0,108,112,39,84,0.464,11,36,0.306,19,20,0.95,8,37,22,5,4,12,19,41,89,0.461,10,35,0.286,20,26,0.769,17,50,21,5,3,11,18,0.5070422535211268
2023-03-22,1,DAL,GSW,0,125,127,44,89,0.494,17,40,0.425,20,28,0.714,8,31,27,7,2,10,17,50,90,0.556,12,39,0.308,15,18,0.833,11,44,33,7,5,13,20,0.5
2023-03-24,1,DAL,CHO,0,109,117,41,84,0.488,9,36,0.25,18,24,0.75,7,45,25,3,4,11,19,43,89,0.483,11,28,0.393,20,27,0.741,6,43,32,7,4,8,17,0.4931506849315068
2023-03-26,0,DAL,CHO,0,104,110,32,84,0.381,19,49,0.388,21,22,0.955,3,37,18,8,7,8,24,39,88,0.443,12,29,0.414,20,24,0.833,14,58,27,6,2,14,18,0.4864864864864865
2023-03-27,0,DAL,IND,1,127,104,47,83,0.566,18,37,0.486,15,17,0.882,4,33,29,7,8,13,23,39,93,0.419,8,28,0.286,18,23,0.783,14,43,20,6,3,14,19,0.48
2023-03-29,0,DAL,PHI,0,108,116,38,83,0.458,18,46,0.391,14,18,0.778,8,40,24,3,3,14,22,37,80,0.463,17,36,0.472,25,30,0.833,11,43,26,9,4,11,19,0.4868421052631579
2023-04-01,0,DAL,MIA,0,122,129,47,77,0.61,14,34,0.412,14,16,0.875,1,31,32,3,2,14,23,45,86,0.523,13,37,0.351,26,29,0.897,10,36,27,6,0,11,16,0.4805194805194805
2023-04-02,0,DAL,ATL,0,130,132,49,95,0.516,10,38,0.263,22,32,0.688,10,47,24,4,3,14,15,51,108,0.472,12,35,0.343,18,22,0.818,16,53,28,10,3,11,22,0.47435897435897434
2023-04-05,1,DAL,SAC,1,123,119,44,89,0.494,20,44,0.455,15,18,0.833,7,39,24,4,7,10,18,46,106,0.434,12,37,0.324,15,19,0.789,22,57,31,7,1,9,19,0.46835443037974683
2023-04-07,1,DAL,CHI,0,112,115,42,93,0.452,18,55,0.327,10,13,0.769,7,43,23,7,3,10,15,46,88,0.523,11,31,0.355,12,18,0.667,8,50,24,6,4,12,15,0.475
2023-04-09,1,DAL,SAS,0,117,138,46,108,0.426,17,53,0.321,8,16,0.5,8,46,28,4,3,4,21,51,104,0.49,15,38,0.395,21,30,0.7,13,69,31,2,3,12,13,0.4691358024691358
