Date,Home,Team,Opp,Win,Points Scored,Opp Points Scored,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opp FG,Opp FGA,Opp FG%,Opp 3P,Opp 3PA,Opp 3P%,Opp FT,Opp FTA,Opp FT%,Opp ORB,Opp TRB,Opp AST,Opp STL,Opp BLK,Opp TOV,Opp PF,Win Percentage
2022-10-19,1,DET,ORL,1,113,109,40,94,0.426,14,38,0.368,19,24,0.792,12,41,31,11,4,13,21,42,86,0.488,11,30,0.367,14,19,0.737,10,48,21,5,5,18,24,0.0
2022-10-21,0,DET,NYK,0,106,130,39,90,0.433,9,36,0.25,19,32,0.594,13,49,26,6,2,15,21,50,95,0.526,16,38,0.421,14,22,0.636,11,50,29,4,6,12,26,1.0
2022-10-22,0,DET,IND,0,115,124,37,95,0.389,18,42,0.429,23,30,0.767,17,53,26,5,3,14,20,45,103,0.437,16,42,0.381,18,24,0.75,20,59,28,7,15,11,21,0.5
2022-10-25,0,DET,WAS,0,99,120,36,88,0.409,8,28,0.286,19,25,0.76,11,41,12,6,1,13,26,44,85,0.518,10,33,0.303,22,26,0.846,9,47,26,7,7,12,21,0.3333333333333333
2022-10-26,1,DET,ATL,0,113,118,42,91,0.462,14,32,0.438,15,22,0.682,10,40,23,4,6,14,25,45,91,0.495,8,22,0.364,20,25,0.8,10,46,22,6,12,12,20,0.25
2022-10-28,1,DET,ATL,0,112,136,37,86,0.43,7,32,0.219,31,38,0.816,14,42,18,2,4,11,22,55,97,0.567,12,29,0.414,14,18,0.778,10,45,31,5,8,7,26,0.2
2022-10-30,1,DET,GSW,1,128,114,40,83,0.482,14,33,0.424,34,38,0.895,12,47,24,4,3,16,25,39,92,0.424,12,39,0.308,24,25,0.96,13,42,23,8,4,15,24,0.16666666666666666
2022-10-31,0,DET,MIL,0,108,110,41,92,0.446,8,29,0.276,18,21,0.857,13,43,19,9,3,12,24,38,87,0.437,11,40,0.275,23,29,0.793,14,50,20,5,5,16,21,0.2857142857142857
2022-11-02,0,DET,MIL,0,91,116,33,79,0.418,11,31,0.355,14,15,0.933,2,35,18,7,3,21,22,43,92,0.467,10,38,0.263,20,24,0.833,15,52,24,17,5,16,16,0.25
2022-11-04,1,DET,CLE,0,88,112,31,83,0.373,13,37,0.351,13,15,0.867,9,34,16,10,6,19,22,44,81,0.543,11,26,0.423,13,16,0.813,10,47,30,5,13,19,15,0.2222222222222222
2022-11-07,1,DET,OKC,1,112,103,39,93,0.419,9,33,0.273,25,33,0.758,16,58,20,6,9,16,19,41,102,0.402,10,33,0.303,11,17,0.647,16,46,23,9,11,10,26,0.2
2022-11-09,0,DET,BOS,0,112,128,37,89,0.416,7,33,0.212,31,40,0.775,15,48,15,7,3,10,19,47,88,0.534,18,46,0.391,16,21,0.762,8,43,31,5,4,13,25,0.2727272727272727
2022-11-11,0,DET,NYK,0,112,121,37,80,0.463,7,31,0.226,31,41,0.756,12,43,22,6,6,15,23,42,94,0.447,10,40,0.25,27,29,0.931,16,47,23,7,3,11,31,0.25
2022-11-12,1,DET,BOS,0,108,117,37,89,0.416,16,38,0.421,18,21,0.857,11,50,23,4,3,14,23,39,91,0.429,18,48,0.375,21,24,0.875,9,42,27,6,4,7,17,0.23076923076923078
2022-11-14,1,DET,TOR,0,111,115,35,77,0.455,10,31,0.323,31,43,0.721,11,39,23,8,2,19,23,40,82,0.488,8,27,0.296,27,28,0.964,12,42,27,7,8,17,27,0.21428571428571427
2022-11-17,0,DET,LAC,0,91,96,33,88,0.375,6,31,0.194,19,24,0.792,10,43,15,9,7,13,26,33,81,0.407,11,30,0.367,19,24,0.792,10,51,17,1,1,18,21,0.2
2022-11-18,0,DET,LAL,0,121,128,43,92,0.467,11,34,0.324,24,32,0.75,10,37,27,9,4,11,30,43,78,0.551,7,20,0.35,35,40,0.875,7,44,29,2,7,16,24,0.1875
2022-11-20,0,DET,SAC,0,129,137,47,89,0.528,15,29,0.517,20,23,0.87,10,35,20,4,3,12,24,47,85,0.553,12,35,0.343,31,35,0.886,8,41,29,4,0,11,18,0.17647058823529413
2022-11-22,0,DET,DEN,1,110,108,45,88,0.511,8,28,0.286,12,14,0.857,12,40,27,7,5,16,24,43,86,0.5,5,19,0.263,17,26,0.654,15,42,28,7,8,18,21,0.16666666666666666
2022-11-23,0,DET,UTA,1,125,116,44,89,0.494,12,24,0.5,25,27,0.926,8,38,24,9,2,7,20,41,83,0.494,18,41,0.439,16,19,0.842,7,38,31,4,7,16,21,0.21052631578947367
2022-11-25,0,DET,PHO,0,102,108,39,92,0.424,9,26,0.346,15,16,0.938,19,49,21,6,3,19,22,42,87,0.483,7,29,0.241,17,26,0.654,11,43,25,7,7,13,18,0.25
2022-11-27,1,DET,CLE,0,94,102,36,79,0.456,8,28,0.286,14,26,0.538,7,36,14,9,6,16,26,33,77,0.429,8,28,0.286,28,33,0.848,10,41,14,3,4,14,20,0.23809523809523808
2022-11-29,1,DET,NYK,0,110,140,42,83,0.506,13,39,0.333,13,20,0.65,7,30,28,7,4,16,17,54,96,0.563,16,35,0.457,16,21,0.762,17,51,31,9,1,14,19,0.22727272727272727
2022-12-01,1,DET,DAL,1,131,125,51,94,0.543,15,35,0.429,14,24,0.583,13,52,29,9,0,13,26,46,86,0.535,19,46,0.413,14,29,0.483,4,30,25,8,7,13,24,0.21739130434782608
2022-12-04,1,DET,MEM,0,112,122,37,84,0.44,13,35,0.371,25,30,0.833,8,39,26,7,7,15,24,43,92,0.467,15,35,0.429,21,29,0.724,12,46,28,9,5,14,21,0.25
2022-12-06,0,DET,MIA,1,116,96,43,87,0.494,19,41,0.463,11,15,0.733,9,40,27,8,1,13,19,33,77,0.429,10,32,0.313,20,26,0.769,7,40,21,7,2,15,20,0.24
2022-12-07,0,DET,NOP,0,98,104,35,90,0.389,15,42,0.357,13,16,0.813,8,42,17,5,1,13,23,39,85,0.459,8,27,0.296,18,23,0.783,10,50,21,8,9,19,21,0.2692307692307692
2022-12-09,0,DET,MEM,0,103,114,36,90,0.4,11,35,0.314,20,27,0.741,13,47,23,6,7,19,29,44,91,0.484,9,32,0.281,17,32,0.531,12,48,30,11,8,14,19,0.25925925925925924
2022-12-11,1,DET,LAL,0,117,124,43,93,0.462,17,45,0.378,14,17,0.824,10,40,28,9,3,12,19,46,84,0.548,11,26,0.423,21,27,0.778,6,42,31,8,4,11,14,0.25
2022-12-14,0,DET,CHO,1,141,134,48,93,0.516,18,40,0.45,27,36,0.75,12,52,25,0,8,16,29,47,114,0.412,17,51,0.333,23,29,0.793,17,52,21,7,6,5,29,0.2413793103448276
2022-12-16,1,DET,SAC,0,113,122,39,85,0.459,10,29,0.345,25,31,0.806,14,46,22,7,1,17,26,43,82,0.524,12,31,0.387,24,29,0.828,4,33,30,8,1,14,25,0.26666666666666666
2022-12-18,1,DET,BRK,0,121,124,42,88,0.477,8,30,0.267,29,34,0.853,11,41,20,9,2,9,19,44,80,0.55,15,29,0.517,21,23,0.913,4,35,26,5,8,13,24,0.25806451612903225
2022-12-20,1,DET,UTA,0,111,126,41,81,0.506,9,25,0.36,20,27,0.741,9,43,22,6,1,14,19,47,93,0.505,20,46,0.435,12,19,0.632,12,43,27,7,5,12,22,0.25
2022-12-21,0,DET,PHI,0,93,113,31,79,0.392,6,23,0.261,25,34,0.735,11,46,15,6,1,22,15,41,93,0.441,11,37,0.297,20,22,0.909,13,49,27,8,7,12,23,0.24242424242424243
2022-12-23,0,DET,ATL,0,105,130,37,90,0.411,9,33,0.273,22,29,0.759,9,43,17,7,3,14,19,49,92,0.533,12,34,0.353,20,24,0.833,8,48,30,10,8,8,20,0.23529411764705882
2022-12-26,1,DET,LAC,0,131,142,44,100,0.44,16,34,0.471,27,34,0.794,16,45,32,10,4,18,23,49,91,0.538,19,44,0.432,25,29,0.862,10,48,25,13,3,19,24,0.22857142857142856
2022-12-28,1,DET,ORL,1,121,101,36,80,0.45,18,42,0.429,31,40,0.775,11,49,25,7,4,13,25,35,85,0.412,5,22,0.227,26,34,0.765,15,47,24,5,5,13,26,0.2222222222222222
2022-12-30,0,DET,CHI,0,118,132,41,86,0.477,17,39,0.436,19,24,0.792,13,35,28,8,1,16,16,53,92,0.576,12,27,0.444,14,15,0.933,12,38,21,10,4,14,20,0.24324324324324326
2022-12-31,0,DET,MIN,1,116,104,43,89,0.483,10,27,0.37,20,28,0.714,15,52,21,6,6,14,22,36,83,0.434,10,34,0.294,22,26,0.846,9,39,17,6,5,15,22,0.23684210526315788
2023-01-02,0,DET,POR,0,106,135,34,82,0.415,6,18,0.333,32,41,0.78,9,45,16,8,4,21,27,48,84,0.571,14,31,0.452,25,35,0.714,6,44,29,16,6,18,27,0.2564102564102564
2023-01-04,0,DET,GSW,1,122,119,45,92,0.489,16,36,0.444,16,23,0.696,11,41,29,9,1,10,11,45,87,0.517,15,40,0.375,14,15,0.933,9,40,31,3,4,14,20,0.25
2023-01-06,0,DET,SAS,0,109,121,44,93,0.473,11,31,0.355,10,17,0.588,15,37,23,11,0,16,22,45,81,0.556,9,24,0.375,22,26,0.846,7,44,27,8,4,18,16,0.2682926829268293
2023-01-08,1,DET,PHI,0,111,123,44,87,0.506,8,23,0.348,15,18,0.833,10,43,25,9,2,23,20,46,94,0.489,11,37,0.297,20,23,0.87,14,44,24,12,5,14,17,0.2619047619047619
2023-01-10,0,DET,PHI,0,116,147,36,89,0.404,14,39,0.359,30,36,0.833,3,26,23,9,5,11,22,54,89,0.607,11,31,0.355,28,30,0.933,10,55,36,7,8,19,29,0.2558139534883721
2023-01-11,1,DET,MIN,1,135,118,48,80,0.6,17,32,0.531,22,28,0.786,7,38,30,10,7,17,20,43,88,0.489,16,33,0.485,16,21,0.762,13,36,22,7,2,19,22,0.25
2023-01-13,1,DET,NOP,0,110,116,43,90,0.478,7,30,0.233,17,24,0.708,7,42,20,7,3,13,23,42,86,0.488,11,31,0.355,21,30,0.7,8,48,29,7,3,17,21,0.26666666666666666
2023-01-15,1,DET,NYK,0,104,117,37,83,0.446,18,44,0.409,12,15,0.8,9,38,23,4,4,12,22,40,88,0.455,12,30,0.4,25,31,0.806,18,52,17,3,6,8,12,0.2608695652173913
2023-01-19,1,DET,CHI,0,108,126,39,97,0.402,8,34,0.235,22,27,0.815,17,49,25,7,3,17,15,50,92,0.543,7,23,0.304,19,21,0.905,11,48,23,11,8,14,17,0.2553191489361702
2023-01-23,1,DET,MIL,0,130,150,43,87,0.494,13,32,0.406,31,40,0.775,11,41,26,10,3,20,21,55,98,0.561,23,52,0.442,17,24,0.708,13,50,38,11,6,19,27,0.25
2023-01-26,0,DET,BRK,1,130,122,48,95,0.505,11,27,0.407,23,26,0.885,15,48,27,12,5,11,22,43,94,0.457,13,38,0.342,23,27,0.852,15,40,24,5,6,16,23,0.24489795918367346
2023-01-28,1,DET,HOU,0,114,117,38,83,0.458,14,38,0.368,24,31,0.774,8,35,23,10,5,16,25,44,92,0.478,8,27,0.296,21,27,0.778,16,48,20,8,4,17,20,0.26
2023-01-30,0,DET,DAL,0,105,111,36,79,0.456,14,39,0.359,19,27,0.704,9,40,18,9,6,14,31,39,79,0.494,10,34,0.294,23,33,0.697,9,40,17,6,1,11,18,0.2549019607843137
2023-02-03,1,DET,CHO,1,118,112,44,86,0.512,14,32,0.438,16,23,0.696,12,51,27,7,3,23,22,40,90,0.444,9,34,0.265,23,30,0.767,8,37,22,16,2,14,20,0.25
2023-02-04,1,DET,PHO,0,100,116,35,81,0.432,16,42,0.381,14,22,0.636,9,30,23,8,2,16,27,42,75,0.56,11,23,0.478,21,31,0.677,10,46,34,10,2,17,23,0.2641509433962264
2023-02-06,1,DET,BOS,0,99,111,37,87,0.425,9,33,0.273,16,21,0.762,9,42,22,9,6,9,20,39,83,0.47,16,37,0.432,17,21,0.81,10,51,25,2,5,12,22,0.25925925925925924
2023-02-08,0,DET,CLE,0,85,113,30,81,0.37,8,32,0.25,17,18,0.944,9,32,19,8,6,14,21,43,87,0.494,6,26,0.231,21,25,0.84,13,50,30,8,4,13,16,0.2545454545454545
2023-02-10,1,DET,SAS,1,138,131,46,107,0.43,7,37,0.189,39,49,0.796,21,62,29,6,5,16,29,45,107,0.421,14,42,0.333,27,34,0.794,13,51,21,7,3,19,32,0.25
2023-02-12,0,DET,TOR,0,118,119,40,79,0.506,13,34,0.382,25,32,0.781,6,32,25,3,4,18,26,42,87,0.483,11,30,0.367,24,36,0.667,13,40,21,5,8,8,26,0.2631578947368421
