Date,Home,Team,Opp,Win,Points Scored,Opp Points Scored,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opp FG,Opp FGA,Opp FG%,Opp 3P,Opp 3PA,Opp 3P%,Opp FT,Opp FTA,Opp FT%,Opp ORB,Opp TRB,Opp AST,Opp STL,Opp BLK,Opp TOV,Opp PF,Win Percentage
2022-10-19,0,HOU,ATL,0,107,117,42,98,0.429,9,35,0.257,14,15,0.933,15,54,25,4,3,16,20,45,90,0.5,7,25,0.28,20,24,0.833,4,38,30,12,5,9,18,0.0
2022-10-21,1,HOU,MEM,0,122,129,44,93,0.473,16,35,0.457,18,30,0.6,13,45,18,4,6,14,22,45,98,0.459,19,42,0.452,20,29,0.69,17,50,26,8,10,12,21,0.0
2022-10-22,0,HOU,MIL,0,105,125,36,93,0.387,16,37,0.432,17,22,0.773,15,47,20,9,6,14,22,48,85,0.565,16,31,0.516,13,21,0.619,8,47,29,6,10,16,22,0.0
2022-10-24,1,HOU,UTA,1,114,108,38,90,0.422,11,35,0.314,27,32,0.844,17,47,17,7,7,16,20,44,93,0.473,11,32,0.344,9,16,0.563,18,49,23,8,10,20,27,0.0
2022-10-26,0,HOU,UTA,0,101,109,36,94,0.383,11,40,0.275,18,24,0.75,14,49,19,7,2,19,30,38,90,0.422,13,45,0.289,20,30,0.667,11,53,28,11,5,16,28,0.25
2022-10-28,0,HOU,POR,0,111,125,40,94,0.426,14,38,0.368,17,21,0.81,13,39,23,10,6,17,18,48,90,0.533,13,35,0.371,16,20,0.8,11,45,30,9,6,16,19,0.2
2022-10-30,0,HOU,PHO,0,109,124,38,87,0.437,11,34,0.324,22,26,0.846,17,49,18,7,1,15,25,45,84,0.536,12,40,0.3,22,30,0.733,10,36,29,9,8,12,22,0.16666666666666666
2022-10-31,0,HOU,LAC,0,93,95,34,88,0.386,8,28,0.286,17,23,0.739,7,44,17,9,8,15,16,37,87,0.425,9,36,0.25,12,17,0.706,8,46,23,7,10,14,18,0.14285714285714285
2022-11-02,1,HOU,LAC,0,101,109,37,88,0.42,11,38,0.289,16,21,0.762,16,50,17,9,5,19,22,41,84,0.488,12,33,0.364,15,19,0.789,9,43,20,10,6,15,20,0.125
2022-11-05,0,HOU,MIN,0,117,129,40,84,0.476,16,38,0.421,21,31,0.677,12,33,27,10,0,23,18,49,80,0.613,15,33,0.455,16,20,0.8,9,36,38,11,5,24,27,0.1111111111111111
2022-11-07,0,HOU,ORL,1,134,127,46,87,0.529,24,48,0.5,18,25,0.72,14,40,31,9,6,22,23,45,82,0.549,12,25,0.48,25,31,0.806,11,37,27,7,4,20,25,0.1
2022-11-09,0,HOU,TOR,0,109,116,37,84,0.44,9,35,0.257,26,31,0.839,16,49,29,9,7,16,18,42,102,0.412,15,44,0.341,17,20,0.85,22,50,19,12,9,13,26,0.18181818181818182
2022-11-12,0,HOU,NOP,0,106,119,40,79,0.506,12,36,0.333,14,18,0.778,10,43,24,7,4,26,23,42,86,0.488,8,29,0.276,27,31,0.871,12,36,28,13,1,12,23,0.16666666666666666
2022-11-14,1,HOU,LAC,0,106,122,39,86,0.453,9,30,0.3,19,31,0.613,10,40,20,11,3,14,22,41,81,0.506,14,38,0.368,26,33,0.788,9,44,25,6,4,17,23,0.15384615384615385
2022-11-16,0,HOU,DAL,1,101,92,35,75,0.467,10,22,0.455,21,24,0.875,9,56,21,1,19,23,19,31,102,0.304,12,55,0.218,18,19,0.947,13,38,21,9,2,6,19,0.14285714285714285
2022-11-18,1,HOU,IND,0,91,99,29,86,0.337,6,28,0.214,27,32,0.844,14,49,15,8,4,17,24,33,82,0.402,12,41,0.293,21,27,0.778,12,45,25,8,10,15,26,0.2
2022-11-20,1,HOU,GSW,0,120,127,41,90,0.456,15,45,0.333,23,27,0.852,12,45,24,13,1,14,12,46,86,0.535,24,47,0.511,11,15,0.733,8,40,38,8,5,17,22,0.1875
2022-11-25,1,HOU,ATL,1,128,122,41,87,0.471,12,35,0.343,34,41,0.829,22,59,25,9,4,22,29,39,82,0.476,15,39,0.385,29,36,0.806,6,28,14,9,6,14,26,0.17647058823529413
2022-11-26,1,HOU,OKC,1,118,105,45,86,0.523,18,36,0.5,10,14,0.714,11,53,25,9,3,25,19,38,97,0.392,10,44,0.227,19,23,0.826,16,41,19,12,3,15,15,0.2222222222222222
2022-11-28,0,HOU,DEN,0,113,129,39,85,0.459,16,44,0.364,19,25,0.76,12,37,25,4,2,17,20,50,88,0.568,12,30,0.4,17,20,0.85,13,43,31,8,4,14,22,0.2631578947368421
2022-11-30,0,HOU,DEN,0,100,120,37,88,0.42,12,41,0.293,14,18,0.778,10,39,18,5,6,14,20,44,83,0.53,17,32,0.531,15,20,0.75,8,42,30,6,8,12,21,0.25
2022-12-02,0,HOU,PHO,1,122,121,40,81,0.494,8,24,0.333,34,43,0.791,13,41,19,12,2,17,22,45,85,0.529,17,37,0.459,14,19,0.737,9,37,30,9,5,18,28,0.23809523809523808
2022-12-03,0,HOU,GSW,0,101,120,40,91,0.44,3,28,0.107,18,20,0.9,14,45,17,6,4,15,14,45,85,0.529,25,52,0.481,5,10,0.5,6,35,34,8,5,14,24,0.2727272727272727
2022-12-05,1,HOU,PHI,1,132,123,42,94,0.447,14,39,0.359,34,44,0.773,16,51,19,9,3,21,27,39,87,0.448,17,36,0.472,28,36,0.778,11,39,23,10,6,20,34,0.2608695652173913
2022-12-08,0,HOU,SAS,0,109,118,44,98,0.449,10,29,0.345,11,15,0.733,16,42,23,3,4,14,19,46,83,0.554,13,36,0.361,13,15,0.867,7,38,25,5,7,17,19,0.2916666666666667
2022-12-11,1,HOU,MIL,1,97,92,40,91,0.44,6,27,0.222,11,12,0.917,10,49,23,11,8,12,17,33,90,0.367,12,43,0.279,14,18,0.778,13,52,18,5,6,16,12,0.28
2022-12-13,1,HOU,PHO,1,111,97,34,81,0.42,12,35,0.343,31,34,0.912,17,67,16,6,9,23,21,33,103,0.32,13,51,0.255,18,19,0.947,18,44,22,13,7,10,24,0.3076923076923077
2022-12-15,1,HOU,MIA,0,108,111,44,94,0.468,9,33,0.273,11,17,0.647,18,51,22,10,4,15,19,39,88,0.443,16,47,0.34,17,23,0.739,14,40,21,10,6,14,19,0.3333333333333333
2022-12-17,1,HOU,POR,0,95,107,36,90,0.4,3,29,0.103,20,29,0.69,18,51,19,7,6,17,18,40,85,0.471,13,36,0.361,14,19,0.737,10,36,20,8,4,14,20,0.32142857142857145
2022-12-19,1,HOU,SAS,0,105,124,40,94,0.426,5,24,0.208,20,31,0.645,16,41,23,13,3,11,16,46,83,0.554,17,34,0.5,15,19,0.789,9,46,30,6,6,19,23,0.3103448275862069
2022-12-21,1,HOU,ORL,0,110,116,41,88,0.466,17,43,0.395,11,17,0.647,9,49,22,6,4,17,23,41,91,0.451,11,37,0.297,23,33,0.697,11,45,19,11,6,11,18,0.3
2022-12-23,1,HOU,DAL,0,106,112,37,81,0.457,8,26,0.308,24,28,0.857,12,45,26,9,3,15,21,36,80,0.45,16,44,0.364,24,27,0.889,7,34,20,10,7,14,21,0.2903225806451613
2022-12-26,0,HOU,CHI,1,133,118,50,90,0.556,17,44,0.386,16,22,0.727,8,45,28,7,5,13,15,45,92,0.489,13,35,0.371,15,21,0.714,8,35,27,6,2,8,19,0.28125
2022-12-27,0,HOU,BOS,0,102,126,38,95,0.4,14,45,0.311,12,14,0.857,13,49,24,5,2,15,16,43,91,0.473,20,56,0.357,20,23,0.87,9,49,32,8,5,11,14,0.30303030303030304
2022-12-29,0,HOU,DAL,0,114,129,38,86,0.442,12,34,0.353,26,37,0.703,12,48,21,5,0,13,23,47,91,0.516,18,45,0.4,17,25,0.68,6,44,30,7,8,9,26,0.29411764705882354
2022-12-31,1,HOU,NYK,0,88,108,29,77,0.377,14,46,0.304,16,23,0.696,12,52,20,4,6,25,24,35,90,0.389,15,51,0.294,23,32,0.719,16,46,20,10,5,10,20,0.2857142857142857
2023-01-02,1,HOU,DAL,0,106,111,38,82,0.463,9,29,0.31,21,29,0.724,8,46,21,4,4,10,28,34,81,0.42,13,43,0.302,30,34,0.882,8,41,19,8,6,8,19,0.2777777777777778
2023-01-04,0,HOU,NOP,0,108,119,39,88,0.443,12,38,0.316,18,27,0.667,12,43,25,10,4,13,22,41,89,0.461,14,38,0.368,23,26,0.885,15,51,25,6,6,15,19,0.2702702702702703
2023-01-05,1,HOU,UTA,0,114,131,38,92,0.413,15,42,0.357,23,26,0.885,14,49,19,4,3,15,21,46,93,0.495,19,48,0.396,20,21,0.952,9,42,33,10,5,8,20,0.2631578947368421
2023-01-08,1,HOU,MIN,0,96,104,38,89,0.427,11,36,0.306,9,15,0.6,12,41,26,8,7,20,19,38,80,0.475,10,28,0.357,18,22,0.818,9,44,23,8,4,19,18,0.2564102564102564
2023-01-11,0,HOU,SAC,0,115,135,44,96,0.458,16,41,0.39,11,17,0.647,8,48,30,7,3,14,23,45,94,0.479,19,48,0.396,26,31,0.839,9,45,28,4,4,9,19,0.25
2023-01-13,0,HOU,SAC,0,114,139,43,91,0.473,12,37,0.324,16,25,0.64,12,34,23,10,4,15,24,47,86,0.547,20,40,0.5,25,29,0.862,14,46,34,10,8,14,19,0.24390243902439024
2023-01-15,0,HOU,LAC,0,100,121,38,84,0.452,7,31,0.226,17,23,0.739,10,39,22,8,6,20,17,46,88,0.523,14,32,0.438,15,21,0.714,11,44,21,13,6,17,16,0.23809523809523808
2023-01-16,0,HOU,LAL,0,132,140,49,100,0.49,11,30,0.367,23,31,0.742,17,48,28,0,7,8,25,49,91,0.538,12,33,0.364,30,35,0.857,9,39,23,4,5,2,19,0.23255813953488372
2023-01-18,1,HOU,CHO,0,117,122,46,91,0.505,10,32,0.313,15,20,0.75,12,47,21,4,5,20,22,48,96,0.5,9,36,0.25,17,25,0.68,11,37,27,14,10,10,20,0.22727272727272727
2023-01-21,0,HOU,MIN,0,104,113,38,79,0.481,9,24,0.375,19,33,0.576,15,56,24,4,6,23,19,38,83,0.458,17,41,0.415,20,24,0.833,3,30,20,12,9,12,26,0.2222222222222222
2023-01-23,1,HOU,MIN,1,119,114,44,88,0.5,11,30,0.367,20,30,0.667,12,47,24,11,5,23,15,41,91,0.451,16,42,0.381,16,22,0.727,12,41,19,8,7,19,22,0.21739130434782608
2023-01-25,1,HOU,WAS,0,103,108,42,97,0.433,5,28,0.179,14,20,0.7,17,57,29,5,10,14,15,39,98,0.398,12,38,0.316,18,23,0.783,15,48,27,13,7,8,16,0.23404255319148937
2023-01-26,1,HOU,CLE,0,95,113,39,76,0.513,5,21,0.238,12,20,0.6,10,46,24,5,6,22,20,40,87,0.46,15,36,0.417,18,22,0.818,11,36,29,12,4,10,16,0.22916666666666666
2023-01-28,0,HOU,DET,1,117,114,44,92,0.478,8,27,0.296,21,27,0.778,16,48,20,8,4,17,20,38,83,0.458,14,38,0.368,24,31,0.774,8,35,23,10,5,16,25,0.22448979591836735
2023-02-01,1,HOU,OKC,1,112,106,41,94,0.436,7,23,0.304,23,31,0.742,24,65,20,6,12,18,20,38,103,0.369,12,43,0.279,18,22,0.818,24,52,22,11,6,10,23,0.24
