Date,Home,Team,Opp,Win,Points Scored,Opp Points Scored,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opp FG,Opp FGA,Opp FG%,Opp 3P,Opp 3PA,Opp 3P%,Opp FT,Opp FTA,Opp FT%,Opp ORB,Opp TRB,Opp AST,Opp STL,Opp BLK,Opp TOV,Opp PF,Win Percentage
2022-10-18,0,LAL,GSW,0,109,123,40,94,0.426,10,40,0.25,19,25,0.76,9,48,23,12,4,22,18,45,99,0.455,16,45,0.356,17,23,0.739,11,48,31,11,4,18,23,0.0
2022-10-20,1,LAL,LAC,0,97,103,33,94,0.351,9,45,0.2,22,26,0.846,8,38,23,13,5,10,24,37,80,0.463,9,29,0.31,20,31,0.645,10,58,18,7,7,23,24,0.0
2022-10-23,1,LAL,POR,0,104,106,41,92,0.446,6,33,0.182,16,20,0.8,10,40,26,9,9,13,24,37,84,0.44,10,27,0.37,22,27,0.815,13,52,19,6,5,19,20,0.0
2022-10-26,0,LAL,DEN,0,99,110,40,90,0.444,8,30,0.267,11,16,0.688,7,47,25,8,4,14,16,42,92,0.457,9,34,0.265,17,21,0.81,9,54,34,12,5,11,17,0.0
2022-10-28,0,LAL,MIN,0,102,111,37,89,0.416,9,29,0.31,19,27,0.704,12,55,20,8,5,22,21,41,99,0.414,13,40,0.325,16,24,0.667,14,49,27,13,8,10,21,0.0
2022-10-30,1,LAL,DEN,1,121,110,46,96,0.479,13,30,0.433,16,20,0.8,13,51,24,5,5,9,17,41,96,0.427,15,40,0.375,13,18,0.722,13,48,24,3,8,9,15,0.0
2022-11-02,1,LAL,NOP,1,120,117,45,98,0.459,10,36,0.278,20,23,0.87,11,56,30,6,8,18,17,47,102,0.461,8,25,0.32,15,21,0.714,11,51,35,10,5,14,20,0.16666666666666666
2022-11-04,1,LAL,UTA,0,116,130,40,83,0.482,11,26,0.423,25,28,0.893,9,40,22,6,6,11,17,52,103,0.505,17,40,0.425,9,10,0.9,15,48,31,8,3,8,22,0.2857142857142857
2022-11-06,1,LAL,CLE,0,100,114,40,87,0.46,8,27,0.296,12,21,0.571,10,43,24,4,4,17,26,37,84,0.44,8,32,0.25,32,36,0.889,9,48,19,7,6,14,20,0.25
2022-11-07,0,LAL,UTA,0,116,139,40,82,0.488,9,24,0.375,27,30,0.9,7,33,15,7,5,16,21,53,95,0.558,16,38,0.421,17,22,0.773,10,41,30,10,7,15,23,0.2222222222222222
