Date,Home,Team,Opp,Win,Points Scored,Opp Points Scored,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opp FG,Opp FGA,Opp FG%,Opp 3P,Opp 3PA,Opp 3P%,Opp FT,Opp FTA,Opp FT%,Opp ORB,Opp TRB,Opp AST,Opp STL,Opp BLK,Opp TOV,Opp PF,Win Percentage
2022-10-20,0,MIL,PHI,1,90,88,34,84,0.405,13,42,0.31,9,14,0.643,7,48,24,4,6,14,16,36,83,0.434,5,24,0.208,11,13,0.846,6,44,17,6,5,10,14,0.0
2022-10-22,1,MIL,HOU,1,125,105,48,85,0.565,16,31,0.516,13,21,0.619,8,47,29,6,10,16,22,36,93,0.387,16,37,0.432,17,22,0.773,15,47,20,9,6,14,22,1.0
2022-10-26,1,MIL,BRK,1,110,99,39,88,0.443,10,36,0.278,22,29,0.759,14,54,21,8,12,19,22,34,86,0.395,7,27,0.259,24,30,0.8,7,37,23,7,6,14,24,1.0
2022-10-28,1,MIL,NYK,1,119,108,42,109,0.385,13,45,0.289,22,27,0.815,19,60,23,8,8,7,23,37,93,0.398,12,35,0.343,22,32,0.688,13,54,19,6,5,13,19,1.0
2022-10-29,1,MIL,ATL,1,123,115,45,92,0.489,14,36,0.389,19,29,0.655,14,49,24,8,5,12,18,45,94,0.479,13,29,0.448,12,15,0.8,12,42,19,5,2,13,23,1.0
2022-10-31,1,MIL,DET,1,110,108,38,87,0.437,11,40,0.275,23,29,0.793,14,50,20,5,5,16,21,41,92,0.446,8,29,0.276,18,21,0.857,13,43,19,9,3,12,24,1.0
2022-11-02,1,MIL,DET,1,116,91,43,92,0.467,10,38,0.263,20,24,0.833,15,52,24,17,5,16,16,33,79,0.418,11,31,0.355,14,15,0.933,2,35,18,7,3,21,22,1.0
2022-11-04,0,MIL,MIN,1,115,102,41,85,0.482,17,38,0.447,16,28,0.571,7,51,29,7,2,13,22,39,92,0.424,11,41,0.268,13,17,0.765,10,47,22,2,4,16,25,1.0
2022-11-05,1,MIL,OKC,1,108,94,38,90,0.422,17,47,0.362,15,17,0.882,18,55,23,7,6,19,16,36,84,0.429,12,35,0.343,10,16,0.625,9,38,22,6,3,16,18,1.0
2022-11-07,0,MIL,ATL,0,98,117,36,87,0.414,13,40,0.325,13,16,0.813,6,41,21,5,9,19,18,46,99,0.465,11,29,0.379,14,17,0.824,12,48,23,11,3,12,18,1.0
2022-11-09,0,MIL,OKC,1,136,132,50,106,0.472,17,36,0.472,19,22,0.864,11,55,27,8,7,17,23,50,111,0.45,18,45,0.4,14,19,0.737,16,55,24,9,9,13,26,0.9
2022-11-11,0,MIL,SAS,0,93,111,32,98,0.327,12,43,0.279,17,23,0.739,21,48,22,7,5,17,14,43,85,0.506,12,31,0.387,13,15,0.867,9,50,22,3,13,19,22,0.9090909090909091
2022-11-14,1,MIL,ATL,0,106,121,34,82,0.415,6,29,0.207,32,41,0.78,11,46,21,4,3,17,26,44,92,0.478,7,20,0.35,26,30,0.867,13,45,23,4,4,9,23,0.8333333333333334
2022-11-16,1,MIL,CLE,1,113,98,41,86,0.477,16,39,0.41,15,27,0.556,13,52,26,5,6,14,16,36,84,0.429,12,28,0.429,14,17,0.824,6,34,22,7,7,8,18,0.7692307692307693
2022-11-18,0,MIL,PHI,0,102,110,41,90,0.456,12,36,0.333,8,21,0.381,8,42,22,8,7,13,18,40,78,0.513,13,28,0.464,17,26,0.654,6,41,28,5,5,18,18,0.7857142857142857
2022-11-21,1,MIL,POR,1,119,111,47,86,0.547,9,28,0.321,16,25,0.64,10,42,31,12,8,14,17,44,93,0.473,8,29,0.276,15,19,0.789,12,40,19,5,3,16,17,0.7333333333333333
2022-11-23,1,MIL,CHI,0,113,118,41,90,0.456,12,38,0.316,19,25,0.76,11,48,24,5,3,20,17,43,87,0.494,18,42,0.429,14,18,0.778,5,35,30,9,12,13,20,0.75
2022-11-25,1,MIL,CLE,1,117,102,42,83,0.506,15,32,0.469,18,25,0.72,8,43,27,4,9,13,22,34,87,0.391,12,33,0.364,22,26,0.846,10,41,12,9,2,9,17,0.7058823529411765
2022-11-27,1,MIL,DAL,1,124,115,48,86,0.558,17,37,0.459,11,15,0.733,8,40,28,8,5,14,24,41,80,0.513,17,41,0.415,16,25,0.64,6,32,23,6,2,13,17,0.7222222222222222
2022-11-30,0,MIL,NYK,1,109,103,39,90,0.433,10,35,0.286,21,26,0.808,14,52,23,3,6,6,15,42,100,0.42,6,30,0.2,13,20,0.65,19,55,18,2,3,8,20,0.7368421052631579
2022-12-02,1,MIL,LAL,0,129,133,50,94,0.532,17,43,0.395,12,15,0.8,10,42,29,2,5,10,18,52,96,0.542,11,26,0.423,18,24,0.75,12,44,32,6,4,4,16,0.75
2022-12-03,0,MIL,CHO,1,105,96,39,83,0.47,12,32,0.375,15,19,0.789,8,47,24,5,8,22,17,34,87,0.391,5,24,0.208,23,26,0.885,9,44,15,9,4,14,19,0.7142857142857143
2022-12-05,0,MIL,ORL,1,109,102,38,85,0.447,13,40,0.325,20,26,0.769,7,45,31,9,4,17,20,34,93,0.366,8,32,0.25,26,29,0.897,15,52,21,8,2,14,19,0.7272727272727273
2022-12-07,1,MIL,SAC,1,126,113,46,96,0.479,14,33,0.424,20,24,0.833,17,50,34,3,2,7,15,43,91,0.473,12,38,0.316,15,16,0.938,8,40,19,2,4,8,17,0.7391304347826086
2022-12-09,0,MIL,DAL,1,106,105,38,87,0.437,11,32,0.344,19,23,0.826,13,51,27,5,4,17,21,41,88,0.466,13,40,0.325,10,24,0.417,12,43,21,8,6,11,21,0.75
2022-12-11,0,MIL,HOU,0,92,97,33,90,0.367,12,43,0.279,14,18,0.778,13,52,18,5,6,16,12,40,91,0.44,6,27,0.222,11,12,0.917,10,49,23,11,8,12,17,0.76
2022-12-13,1,MIL,GSW,1,128,111,45,82,0.549,12,29,0.414,26,32,0.813,12,55,22,8,5,23,18,38,95,0.4,20,50,0.4,15,19,0.789,12,37,25,7,2,18,22,0.7307692307692307
2022-12-15,0,MIL,MEM,0,101,142,35,94,0.372,13,50,0.26,18,27,0.667,11,39,22,5,1,9,18,56,102,0.549,12,32,0.375,18,23,0.783,14,56,30,5,7,8,19,0.7407407407407407
2022-12-17,1,MIL,UTA,1,123,97,48,90,0.533,18,38,0.474,9,11,0.818,15,54,30,5,3,15,13,39,86,0.453,16,47,0.34,3,6,0.5,7,29,24,5,2,14,13,0.7142857142857143
2022-12-19,0,MIL,NOP,1,128,119,45,81,0.556,13,40,0.325,25,31,0.806,8,44,26,8,6,18,21,42,99,0.424,18,45,0.4,17,24,0.708,17,44,30,9,0,15,20,0.7241379310344828
2022-12-21,0,MIL,CLE,0,106,114,39,83,0.47,13,30,0.433,15,22,0.682,13,46,20,7,5,21,23,41,85,0.482,10,32,0.313,22,28,0.786,9,37,22,8,3,10,21,0.7333333333333333
2022-12-23,0,MIL,BRK,0,100,118,37,84,0.44,9,37,0.243,17,22,0.773,13,45,17,7,1,18,13,46,93,0.495,14,32,0.438,12,13,0.923,12,45,30,11,2,12,18,0.7096774193548387
2022-12-25,0,MIL,BOS,0,118,139,42,84,0.5,13,36,0.361,21,27,0.778,8,39,22,8,1,15,16,50,85,0.588,19,39,0.487,20,25,0.8,5,35,29,9,1,12,18,0.6875
2022-12-28,0,MIL,CHI,0,113,119,41,110,0.373,9,44,0.205,22,32,0.688,22,61,18,7,6,14,21,42,92,0.457,9,23,0.391,26,30,0.867,7,52,21,5,10,14,23,0.6666666666666666
2022-12-30,1,MIL,MIN,1,123,114,43,93,0.462,14,39,0.359,23,33,0.697,20,68,25,5,8,21,25,40,92,0.435,8,30,0.267,26,34,0.765,7,36,18,10,5,8,28,0.6470588235294118
2023-01-01,1,MIL,WAS,0,95,118,34,96,0.354,13,49,0.265,14,15,0.933,14,44,22,11,3,16,15,50,94,0.532,7,27,0.259,11,16,0.688,12,54,29,9,6,18,10,0.6571428571428571
2023-01-03,1,MIL,WAS,1,123,113,48,100,0.48,11,40,0.275,16,17,0.941,15,49,27,8,6,12,14,42,97,0.433,8,27,0.296,21,23,0.913,14,46,27,9,4,10,16,0.6388888888888888
2023-01-04,0,MIL,TOR,1,104,101,35,88,0.398,13,39,0.333,21,30,0.7,13,73,26,4,4,28,24,38,116,0.328,9,46,0.196,16,20,0.8,14,47,22,10,4,9,23,0.6486486486486487
2023-01-06,1,MIL,CHO,0,109,138,37,84,0.44,20,48,0.417,15,24,0.625,12,45,22,5,4,17,18,53,102,0.52,20,48,0.417,12,19,0.632,13,49,32,11,3,5,17,0.6578947368421053
2023-01-09,0,MIL,NYK,1,111,107,39,89,0.438,19,49,0.388,14,18,0.778,12,48,27,3,5,14,17,38,100,0.38,11,41,0.268,20,22,0.909,18,48,16,8,1,7,14,0.6410256410256411
2023-01-11,0,MIL,ATL,1,114,105,45,98,0.459,18,48,0.375,6,11,0.545,14,57,28,6,4,11,15,39,87,0.448,11,30,0.367,16,18,0.889,6,41,25,5,3,11,12,0.65
2023-01-12,0,MIL,MIA,0,102,108,35,87,0.402,22,57,0.386,10,15,0.667,8,39,20,10,2,11,12,42,95,0.442,9,34,0.265,15,16,0.938,18,61,22,8,1,13,8,0.6585365853658537
2023-01-14,0,MIL,MIA,0,95,111,34,84,0.405,19,48,0.396,8,12,0.667,7,32,26,7,2,10,13,45,87,0.517,11,22,0.5,10,12,0.833,13,51,17,9,3,11,14,0.6428571428571429
2023-01-16,1,MIL,IND,1,132,119,48,91,0.527,23,46,0.5,13,15,0.867,9,41,32,9,1,14,14,43,84,0.512,19,40,0.475,14,15,0.933,4,37,29,6,5,16,17,0.627906976744186
2023-01-17,1,MIL,TOR,1,130,122,46,86,0.535,19,39,0.487,19,21,0.905,6,42,24,5,5,12,19,46,101,0.455,13,35,0.371,17,27,0.63,20,50,20,7,5,9,14,0.6363636363636364
2023-01-21,0,MIL,CLE,0,102,114,39,86,0.453,14,39,0.359,10,11,0.909,7,36,24,3,6,16,17,48,86,0.558,7,22,0.318,11,17,0.647,9,41,33,9,3,9,13,0.6444444444444445
