Date,Home,Team,Opp,Win,Points Scored,Opp Points Scored,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opp FG,Opp FGA,Opp FG%,Opp 3P,Opp 3PA,Opp 3P%,Opp FT,Opp FTA,Opp FT%,Opp ORB,Opp TRB,Opp AST,Opp STL,Opp BLK,Opp TOV,Opp PF,Win Percentage
2022-10-19,0,NOP,BRK,1,130,108,50,102,0.49,12,26,0.462,18,25,0.72,21,61,31,9,4,13,21,40,89,0.449,10,33,0.303,18,24,0.75,9,39,22,10,10,16,25,0.0
2022-10-21,0,NOP,CHO,1,124,112,42,89,0.472,8,22,0.364,32,37,0.865,15,53,23,9,7,16,14,44,97,0.454,13,34,0.382,11,14,0.786,11,37,30,9,4,14,24,1.0
2022-10-23,1,NOP,UTA,0,121,122,48,102,0.471,8,27,0.296,17,22,0.773,14,45,30,8,6,17,22,43,98,0.439,13,38,0.342,23,28,0.821,15,44,29,13,6,17,20,1.0
2022-10-25,1,NOP,DAL,1,113,111,44,76,0.579,12,27,0.444,13,18,0.722,4,26,25,7,3,14,21,41,82,0.5,12,39,0.308,17,24,0.708,11,37,18,8,5,12,16,0.6666666666666666
2022-10-28,0,NOP,PHO,0,111,124,38,86,0.442,15,37,0.405,20,22,0.909,9,33,25,10,1,14,21,48,92,0.522,10,33,0.303,18,20,0.9,14,47,33,7,7,12,18,0.75
2022-10-30,0,NOP,LAC,1,112,91,46,93,0.495,15,36,0.417,5,8,0.625,12,50,32,9,1,13,15,36,86,0.419,11,39,0.282,8,13,0.615,8,39,24,3,6,15,15,0.6
2022-11-02,0,NOP,LAL,0,117,120,47,102,0.461,8,25,0.32,15,21,0.714,11,51,35,10,5,14,20,45,98,0.459,10,36,0.278,20,23,0.87,11,56,30,6,8,18,17,0.6666666666666666
2022-11-04,1,NOP,GSW,1,114,105,41,81,0.506,12,29,0.414,20,29,0.69,9,37,24,10,2,16,21,35,71,0.493,12,32,0.375,23,25,0.92,3,29,23,7,1,23,25,0.5714285714285714
2022-11-05,0,NOP,ATL,0,121,124,47,108,0.435,7,23,0.304,20,28,0.714,19,59,23,8,6,16,24,47,103,0.456,9,36,0.25,21,25,0.84,12,50,28,12,8,13,23,0.625
2022-11-07,0,NOP,IND,0,122,129,48,97,0.495,14,34,0.412,12,17,0.706,13,43,32,7,4,10,20,43,86,0.5,22,48,0.458,21,23,0.913,10,45,33,6,8,17,19,0.5555555555555556
2022-11-09,0,NOP,CHI,1,115,111,42,84,0.5,3,19,0.158,28,36,0.778,13,50,20,8,5,16,18,44,87,0.506,7,27,0.259,16,18,0.889,6,35,23,5,8,15,23,0.5
2022-11-10,1,NOP,POR,0,95,106,33,79,0.418,10,28,0.357,19,24,0.792,9,45,19,3,5,17,21,37,85,0.435,12,34,0.353,20,26,0.769,11,46,25,8,2,9,14,0.5454545454545454
2022-11-12,1,NOP,HOU,1,119,106,42,86,0.488,8,29,0.276,27,31,0.871,12,36,28,13,1,12,23,40,79,0.506,12,36,0.333,14,18,0.778,10,43,24,7,4,26,23,0.5
2022-11-15,1,NOP,MEM,1,113,102,43,91,0.473,18,38,0.474,9,12,0.75,7,43,31,2,8,10,20,38,92,0.413,9,35,0.257,17,25,0.68,14,51,16,6,8,11,17,0.5384615384615384
2022-11-16,1,NOP,CHI,1,124,110,43,85,0.506,17,33,0.515,21,24,0.875,12,46,30,4,6,15,18,44,89,0.494,11,32,0.344,11,17,0.647,7,37,25,2,1,12,18,0.5714285714285714
2022-11-18,1,NOP,BOS,0,109,117,43,87,0.494,13,35,0.371,10,13,0.769,7,37,24,13,3,13,18,41,85,0.482,20,46,0.435,15,17,0.882,11,46,28,6,3,17,13,0.6
2022-11-21,1,NOP,GSW,1,128,83,49,91,0.538,15,42,0.357,15,21,0.714,11,50,30,15,5,14,16,28,74,0.378,10,43,0.233,17,19,0.895,4,34,17,9,5,27,20,0.5625
2022-11-23,0,NOP,SAS,1,129,110,47,82,0.573,14,33,0.424,21,30,0.7,8,42,33,8,5,21,22,41,85,0.482,10,34,0.294,18,28,0.643,8,37,31,11,1,20,23,0.5882352941176471
2022-11-25,0,NOP,MEM,0,111,132,37,86,0.43,10,31,0.323,27,31,0.871,11,41,26,9,4,13,22,47,91,0.516,18,38,0.474,20,27,0.741,13,46,26,4,4,14,20,0.6111111111111112
2022-11-28,1,NOP,OKC,1,105,101,39,87,0.448,9,32,0.281,18,20,0.9,14,49,21,12,8,22,18,34,92,0.37,12,38,0.316,21,23,0.913,18,47,16,11,4,19,22,0.5789473684210527
2022-11-30,1,NOP,TOR,1,126,108,45,86,0.523,14,33,0.424,22,26,0.846,12,52,28,10,4,20,16,42,88,0.477,11,38,0.289,13,19,0.684,3,30,29,12,7,16,21,0.6
2022-12-02,0,NOP,SAS,1,117,99,40,92,0.435,12,42,0.286,25,26,0.962,10,53,25,9,5,9,18,38,98,0.388,11,39,0.282,12,16,0.75,10,49,26,4,4,12,23,0.6190476190476191
2022-12-04,1,NOP,DEN,1,121,106,41,81,0.506,11,26,0.423,28,36,0.778,6,36,29,10,5,11,22,41,81,0.506,8,31,0.258,16,24,0.667,9,43,24,5,5,19,22,0.6363636363636364
2022-12-07,1,NOP,DET,1,104,98,39,85,0.459,8,27,0.296,18,23,0.783,10,50,21,8,9,19,21,35,90,0.389,15,42,0.357,13,16,0.813,8,42,17,5,1,13,23,0.6521739130434783
2022-12-09,1,NOP,PHO,1,128,117,46,90,0.511,8,27,0.296,28,35,0.8,13,44,27,10,1,11,15,43,86,0.5,22,44,0.5,9,13,0.692,8,37,30,6,3,17,25,0.6666666666666666
2022-12-11,1,NOP,PHO,1,129,124,50,86,0.581,8,25,0.32,21,28,0.75,7,43,31,10,3,17,26,49,105,0.467,13,38,0.342,13,17,0.765,19,42,34,7,5,15,24,0.68
2022-12-13,0,NOP,UTA,0,100,121,37,93,0.398,4,27,0.148,22,33,0.667,15,43,25,12,3,17,17,49,103,0.476,15,47,0.319,8,12,0.667,19,59,31,4,10,22,23,0.6923076923076923
2022-12-15,0,NOP,UTA,0,129,132,47,99,0.475,12,30,0.4,23,28,0.821,19,49,24,8,6,18,30,42,92,0.457,18,47,0.383,30,37,0.811,11,44,24,8,6,16,25,0.6666666666666666
2022-12-17,0,NOP,PHO,0,114,118,45,77,0.584,14,30,0.467,10,13,0.769,4,36,27,2,5,17,27,39,83,0.47,15,41,0.366,25,35,0.714,10,35,23,6,3,8,13,0.6428571428571429
2022-12-19,1,NOP,MIL,0,119,128,42,99,0.424,18,45,0.4,17,24,0.708,17,44,30,9,0,15,20,45,81,0.556,13,40,0.325,25,31,0.806,8,44,26,8,6,18,21,0.6206896551724138
2022-12-22,1,NOP,SAS,1,126,117,44,91,0.484,13,34,0.382,25,27,0.926,16,46,25,10,6,17,24,43,90,0.478,9,28,0.321,22,27,0.815,14,44,23,8,2,17,24,0.6
2022-12-23,0,NOP,OKC,1,128,125,41,94,0.436,13,37,0.351,33,40,0.825,13,55,30,10,4,21,21,47,102,0.461,13,35,0.371,18,25,0.72,10,47,27,9,5,18,26,0.6129032258064516
2022-12-26,1,NOP,IND,1,113,93,41,90,0.456,12,40,0.3,19,24,0.792,16,54,30,10,6,16,19,35,83,0.422,9,35,0.257,14,20,0.7,6,36,23,9,5,13,18,0.625
2022-12-28,1,NOP,MIN,1,119,118,39,81,0.481,11,23,0.478,30,43,0.698,9,43,22,6,4,15,24,42,83,0.506,10,29,0.345,24,32,0.75,5,35,18,6,8,11,28,0.6363636363636364
2022-12-30,1,NOP,PHI,1,127,116,43,80,0.538,15,31,0.484,26,36,0.722,7,36,19,14,3,14,20,42,75,0.56,14,34,0.412,18,22,0.818,3,29,28,5,7,19,22,0.6470588235294118
2022-12-31,0,NOP,MEM,0,101,116,32,91,0.352,8,30,0.267,29,36,0.806,15,46,16,6,4,20,21,47,92,0.511,5,29,0.172,17,22,0.773,13,52,26,14,11,19,27,0.6571428571428571
2023-01-02,0,NOP,PHI,0,111,120,42,84,0.5,11,29,0.379,16,20,0.8,10,49,26,3,6,17,22,41,86,0.477,15,35,0.429,23,28,0.821,7,35,26,9,6,10,22,0.6388888888888888
2023-01-04,1,NOP,HOU,1,119,108,41,89,0.461,14,38,0.368,23,26,0.885,15,51,25,6,6,15,19,39,88,0.443,12,38,0.316,18,27,0.667,12,43,25,10,4,13,22,0.6216216216216216
2023-01-06,1,NOP,BRK,0,102,108,35,88,0.398,12,29,0.414,20,25,0.8,14,51,16,7,4,16,20,37,85,0.435,15,33,0.455,19,20,0.95,10,43,26,8,12,13,23,0.631578947368421
2023-01-07,0,NOP,DAL,0,117,127,45,94,0.479,5,29,0.172,22,35,0.629,15,44,26,14,4,13,25,42,74,0.568,13,29,0.448,30,38,0.789,5,39,23,5,7,17,24,0.6153846153846154
2023-01-09,0,NOP,WAS,1,132,112,49,93,0.527,10,26,0.385,24,31,0.774,12,44,24,9,5,10,21,42,82,0.512,14,34,0.412,14,18,0.778,7,37,26,5,1,20,25,0.6
2023-01-11,0,NOP,BOS,0,114,125,45,87,0.517,11,30,0.367,13,17,0.765,4,33,22,5,4,9,17,44,91,0.484,15,44,0.341,22,25,0.88,11,50,24,7,5,9,16,0.6097560975609756
2023-01-13,0,NOP,DET,1,116,110,42,86,0.488,11,31,0.355,21,30,0.7,8,48,29,7,3,17,21,43,90,0.478,7,30,0.233,17,24,0.708,7,42,20,7,3,13,23,0.5952380952380952
2023-01-16,0,NOP,CLE,0,103,113,38,75,0.507,10,27,0.37,17,22,0.773,3,28,26,9,1,17,23,39,80,0.488,9,28,0.321,26,33,0.788,13,43,22,5,4,15,19,0.6046511627906976
2023-01-18,1,NOP,MIA,0,98,124,37,80,0.463,13,30,0.433,11,18,0.611,9,38,27,5,3,18,17,50,94,0.532,12,35,0.343,12,16,0.75,10,43,37,11,2,11,17,0.5909090909090909
2023-01-20,0,NOP,ORL,0,110,123,41,91,0.451,10,35,0.286,18,24,0.75,11,39,29,9,5,11,21,39,75,0.52,15,30,0.5,30,34,0.882,5,42,28,2,5,15,18,0.5777777777777777
2023-01-22,0,NOP,MIA,0,96,100,37,78,0.474,8,30,0.267,14,18,0.778,8,41,24,17,4,25,22,35,80,0.438,8,34,0.235,22,27,0.815,12,42,17,16,1,22,14,0.5652173913043478
2023-01-24,1,NOP,DEN,0,98,99,38,85,0.447,5,26,0.192,17,20,0.85,14,43,18,5,3,16,14,39,80,0.488,11,33,0.333,10,13,0.769,7,34,27,8,5,12,20,0.5531914893617021
2023-01-25,1,NOP,MIN,0,102,111,37,85,0.435,12,38,0.316,16,21,0.762,8,42,25,4,7,15,21,40,82,0.488,11,29,0.379,20,28,0.714,4,36,23,8,5,9,18,0.5416666666666666
2023-01-28,1,NOP,WAS,0,103,113,39,92,0.424,8,29,0.276,17,19,0.895,8,42,21,9,8,10,26,40,88,0.455,11,36,0.306,22,29,0.759,13,53,18,5,8,18,17,0.5306122448979592
2023-01-29,0,NOP,MIL,0,110,135,41,93,0.441,13,34,0.382,15,21,0.714,8,38,25,7,3,12,20,53,96,0.552,17,43,0.395,12,20,0.6,12,57,27,7,4,12,18,0.52
2023-01-31,0,NOP,DEN,0,113,122,42,85,0.494,8,27,0.296,21,25,0.84,8,36,28,13,2,15,24,43,87,0.494,16,36,0.444,20,24,0.833,10,44,33,7,3,18,21,0.5098039215686274
2023-02-02,0,NOP,DAL,0,106,111,42,84,0.5,5,20,0.25,17,21,0.81,12,50,27,6,5,17,26,37,85,0.435,14,41,0.341,23,29,0.793,6,36,16,10,3,8,24,0.5
2023-02-04,1,NOP,LAL,1,131,126,52,100,0.52,9,30,0.3,18,20,0.9,14,48,28,6,0,11,22,45,94,0.479,11,32,0.344,25,33,0.758,13,44,30,4,3,9,20,0.49056603773584906
2023-02-05,1,NOP,SAC,1,136,104,48,85,0.565,14,26,0.538,26,34,0.765,12,48,26,11,3,11,23,35,82,0.427,11,42,0.262,23,27,0.852,11,38,23,5,5,15,22,0.5
2023-02-07,1,NOP,ATL,1,116,107,45,91,0.495,12,32,0.375,14,21,0.667,13,47,28,8,2,10,19,38,85,0.447,12,36,0.333,19,25,0.76,10,41,30,4,6,12,21,0.509090909090909
2023-02-10,1,NOP,CLE,0,107,118,39,82,0.476,9,24,0.375,20,25,0.8,11,34,25,8,3,14,18,48,85,0.565,10,28,0.357,12,15,0.8,12,41,28,9,5,14,22,0.5178571428571429
2023-02-13,0,NOP,OKC,1,103,100,39,74,0.527,9,30,0.3,16,18,0.889,4,33,19,13,8,19,21,38,90,0.422,9,33,0.273,15,18,0.833,14,43,20,8,3,17,17,0.5087719298245614
2023-02-15,0,NOP,LAL,0,102,120,39,89,0.438,7,25,0.28,17,24,0.708,13,50,24,5,3,15,28,44,83,0.53,10,37,0.27,22,36,0.611,6,43,32,5,8,11,23,0.5172413793103449
2023-02-23,0,NOP,TOR,0,110,115,39,84,0.464,13,30,0.433,19,25,0.76,6,43,23,6,2,13,19,43,92,0.467,9,31,0.29,20,25,0.8,11,48,17,10,5,12,20,0.5084745762711864
2023-02-25,0,NOP,NYK,0,106,128,40,102,0.392,8,38,0.211,18,21,0.857,13,39,25,11,0,7,15,45,88,0.511,19,48,0.396,19,23,0.826,11,54,24,1,7,19,22,0.5
2023-02-27,1,NOP,ORL,0,93,101,34,76,0.447,6,27,0.222,19,23,0.826,9,38,23,9,2,17,26,36,79,0.456,9,34,0.265,20,26,0.769,11,43,21,9,1,17,20,0.4918032786885246
2023-03-01,0,NOP,POR,1,121,110,46,89,0.517,9,25,0.36,20,23,0.87,11,41,23,9,4,6,20,36,81,0.444,11,38,0.289,27,29,0.931,12,41,18,5,8,14,18,0.4838709677419355
2023-03-03,0,NOP,GSW,0,99,108,34,77,0.442,10,29,0.345,21,27,0.778,7,29,20,9,4,13,22,40,78,0.513,10,31,0.323,18,20,0.9,9,43,28,7,4,18,22,0.49206349206349204
2023-03-06,0,NOP,SAC,0,108,123,43,80,0.538,11,29,0.379,11,14,0.786,7,40,29,6,4,16,19,47,83,0.566,16,38,0.421,13,20,0.65,6,33,39,7,3,11,12,0.484375
2023-03-08,1,NOP,DAL,1,113,106,42,83,0.506,13,27,0.481,16,18,0.889,9,49,32,4,6,15,19,38,88,0.432,16,46,0.348,14,19,0.737,5,34,24,7,0,9,18,0.47692307692307695
2023-03-11,1,NOP,OKC,0,96,110,34,81,0.42,12,34,0.353,16,19,0.842,8,43,23,3,4,22,25,37,80,0.463,9,28,0.321,27,32,0.844,4,38,17,11,2,12,17,0.48484848484848486
2023-03-12,1,NOP,POR,1,127,110,43,86,0.5,19,40,0.475,22,29,0.759,8,43,35,11,7,15,19,43,88,0.489,10,33,0.303,14,20,0.7,10,46,26,10,2,19,21,0.47761194029850745
2023-03-14,1,NOP,LAL,0,108,123,42,98,0.429,11,43,0.256,13,20,0.65,15,41,23,9,3,12,24,40,82,0.488,18,39,0.462,25,28,0.893,15,52,24,8,2,18,16,0.4852941176470588
2023-03-17,0,NOP,HOU,0,112,114,39,82,0.476,12,28,0.429,22,25,0.88,8,35,22,8,5,9,17,43,88,0.489,11,32,0.344,17,24,0.708,15,52,20,9,3,13,19,0.4782608695652174
2023-03-19,0,NOP,HOU,1,117,107,42,85,0.494,13,31,0.419,20,24,0.833,10,39,28,7,4,10,23,31,76,0.408,9,33,0.273,36,38,0.947,8,36,15,4,2,13,22,0.4714285714285714
