Date,Home,Team,Opp,Win,Points Scored,Opp Points Scored,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opp FG,Opp FGA,Opp FG%,Opp 3P,Opp 3PA,Opp 3P%,Opp FT,Opp FTA,Opp FT%,Opp ORB,Opp TRB,Opp AST,Opp STL,Opp BLK,Opp TOV,Opp PF,Win Percentage
2022-10-19,0,OKC,MIN,0,108,115,38,99,0.384,14,45,0.311,18,22,0.818,16,57,22,6,6,14,26,39,94,0.415,10,38,0.263,27,33,0.818,14,55,25,6,5,14,21,0.0
2022-10-22,0,OKC,DEN,0,117,122,42,94,0.447,15,38,0.395,18,23,0.783,10,47,29,10,5,13,27,42,85,0.494,20,38,0.526,18,31,0.581,9,46,33,5,6,18,21,0.0
2022-10-23,1,OKC,MIN,0,106,116,41,94,0.436,9,41,0.22,15,21,0.714,11,42,24,7,4,11,15,46,88,0.523,10,34,0.294,14,22,0.636,12,54,24,9,3,15,17,0.0
2022-10-25,1,OKC,LAC,1,108,94,42,110,0.382,4,30,0.133,20,25,0.8,21,60,19,12,8,6,13,35,83,0.422,10,31,0.323,14,18,0.778,7,47,21,5,14,19,18,0.0
2022-10-27,1,OKC,LAC,1,118,110,47,95,0.495,17,38,0.447,7,8,0.875,13,36,27,10,4,12,21,44,82,0.537,9,28,0.321,13,18,0.722,10,44,21,6,5,20,17,0.25
2022-10-29,0,OKC,DAL,1,117,111,44,89,0.494,5,25,0.2,24,31,0.774,9,47,25,9,6,15,29,38,95,0.4,8,40,0.2,27,34,0.794,12,49,17,8,5,16,30,0.4
2022-11-01,1,OKC,ORL,1,116,108,45,95,0.474,10,34,0.294,16,20,0.8,8,36,28,13,9,17,17,39,87,0.448,10,29,0.345,20,20,1.0,12,49,20,7,10,25,14,0.5
2022-11-03,1,OKC,DEN,0,110,122,45,93,0.484,6,29,0.207,14,19,0.737,10,40,19,9,5,10,19,45,84,0.536,18,31,0.581,14,16,0.875,8,47,32,5,2,20,15,0.5714285714285714
2022-11-05,0,OKC,MIL,0,94,108,36,84,0.429,12,35,0.343,10,16,0.625,9,38,22,6,3,16,18,38,90,0.422,17,47,0.362,15,17,0.882,18,55,23,7,6,19,16,0.5
2022-11-07,0,OKC,DET,0,103,112,41,102,0.402,10,33,0.303,11,17,0.647,16,46,23,9,11,10,26,39,93,0.419,9,33,0.273,25,33,0.758,16,58,20,6,9,16,19,0.4444444444444444
2022-11-09,1,OKC,MIL,0,132,136,50,111,0.45,18,45,0.4,14,19,0.737,16,55,24,9,9,13,26,50,106,0.472,17,36,0.472,19,22,0.864,11,55,27,8,7,17,23,0.4
2022-11-11,1,OKC,TOR,1,132,113,52,93,0.559,15,36,0.417,13,17,0.765,15,44,31,10,6,19,27,38,88,0.432,11,30,0.367,26,36,0.722,14,39,20,13,4,16,16,0.36363636363636365
