Date,Home,Team,Opp,Win,Points Scored,Opp Points Scored,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opp FG,Opp FGA,Opp FG%,Opp 3P,Opp 3PA,Opp 3P%,Opp FT,Opp FTA,Opp FT%,Opp ORB,Opp TRB,Opp AST,Opp STL,Opp BLK,Opp TOV,Opp PF,Win Percentage
2022-10-18,0,PHI,BOS,0,117,126,40,80,0.5,13,34,0.382,24,28,0.857,4,31,16,8,3,14,25,46,82,0.561,12,35,0.343,22,28,0.786,6,36,24,8,3,11,24,0.0
2022-10-20,1,PHI,MIL,0,88,90,36,83,0.434,5,24,0.208,11,13,0.846,6,44,17,6,5,10,14,34,84,0.405,13,42,0.31,9,14,0.643,7,48,24,4,6,14,16,0.0
2022-10-22,1,PHI,SAS,0,105,114,37,84,0.44,10,31,0.323,21,28,0.75,12,40,26,6,5,12,15,43,89,0.483,16,38,0.421,12,15,0.8,12,43,27,5,7,14,20,0.0
2022-10-24,1,PHI,IND,1,120,106,38,80,0.475,19,43,0.442,25,28,0.893,7,39,25,8,7,8,20,38,90,0.422,12,44,0.273,18,23,0.783,14,47,27,3,4,13,23,0.0
2022-10-26,0,PHI,TOR,0,109,119,40,79,0.506,16,36,0.444,13,19,0.684,4,34,29,6,2,13,12,46,84,0.548,16,37,0.432,11,14,0.786,6,39,32,9,5,9,21,0.25
2022-10-28,0,PHI,TOR,1,112,90,43,82,0.524,16,38,0.421,10,11,0.909,7,41,25,11,6,15,20,33,86,0.384,9,39,0.231,15,24,0.625,15,45,20,9,5,17,15,0.2
2022-10-29,0,PHI,CHI,1,114,109,39,79,0.494,14,29,0.483,22,27,0.815,8,41,28,8,6,19,22,36,80,0.45,11,31,0.355,26,29,0.897,9,40,22,7,3,18,20,0.3333333333333333
2022-10-31,0,PHI,WAS,1,118,111,46,83,0.554,12,30,0.4,14,20,0.7,4,37,26,14,3,14,20,38,81,0.469,10,25,0.4,25,26,0.962,9,41,22,8,4,16,18,0.42857142857142855
2022-11-02,1,PHI,WAS,0,111,121,39,84,0.464,19,36,0.528,14,20,0.7,6,32,25,3,1,8,25,45,78,0.577,5,21,0.238,26,32,0.813,7,43,27,4,9,8,18,0.5
2022-11-04,1,PHI,NYK,0,104,106,37,98,0.378,13,47,0.277,17,21,0.81,13,44,27,12,8,15,25,37,80,0.463,9,33,0.273,23,27,0.852,10,50,24,5,8,22,21,0.4444444444444444
2022-11-07,1,PHI,PHO,1,100,88,31,80,0.388,12,32,0.375,26,31,0.839,15,48,22,5,6,16,17,32,73,0.438,6,19,0.316,18,22,0.818,6,37,19,8,5,15,24,0.4
2022-11-10,0,PHI,ATL,0,95,104,32,83,0.386,6,30,0.2,25,30,0.833,9,45,15,10,5,17,22,39,88,0.443,6,26,0.231,20,23,0.87,11,54,19,8,2,18,22,0.45454545454545453
2022-11-12,1,PHI,ATL,1,121,109,44,80,0.55,8,24,0.333,25,31,0.806,2,31,24,10,5,12,26,40,89,0.449,6,24,0.25,23,27,0.852,12,43,20,4,2,19,19,0.4166666666666667
2022-11-13,1,PHI,UTA,1,105,98,40,83,0.482,4,23,0.174,21,26,0.808,8,39,21,12,14,12,19,37,94,0.394,11,37,0.297,13,23,0.565,18,50,23,3,4,18,17,0.46153846153846156
2022-11-18,1,PHI,MIL,1,110,102,40,78,0.513,13,28,0.464,17,26,0.654,6,41,28,5,5,18,18,41,90,0.456,12,36,0.333,8,21,0.381,8,42,22,8,7,13,18,0.5
2022-11-19,1,PHI,MIN,0,109,112,34,71,0.479,14,32,0.438,27,32,0.844,4,39,21,10,1,22,24,40,85,0.471,12,36,0.333,20,24,0.833,8,43,28,9,2,20,25,0.5333333333333333
2022-11-22,1,PHI,BRK,1,115,106,43,99,0.434,16,32,0.5,13,16,0.813,20,49,19,9,4,10,12,44,80,0.55,9,28,0.321,9,13,0.692,4,35,31,5,13,15,15,0.5
2022-11-23,0,PHI,CHO,0,101,107,38,86,0.442,9,38,0.237,16,18,0.889,8,45,20,9,3,19,23,44,92,0.478,6,23,0.261,13,21,0.619,11,44,25,8,1,16,15,0.5294117647058824
2022-11-25,0,PHI,ORL,1,107,99,39,82,0.476,14,36,0.389,15,18,0.833,13,47,25,7,1,16,19,34,80,0.425,9,35,0.257,22,27,0.815,9,35,20,7,6,14,15,0.5
2022-11-27,0,PHI,ORL,1,133,103,50,77,0.649,11,27,0.407,22,27,0.815,6,43,32,10,8,16,19,36,79,0.456,12,40,0.3,19,25,0.76,7,26,21,9,4,16,20,0.5263157894736842
2022-11-28,1,PHI,ATL,1,104,101,39,86,0.453,10,28,0.357,16,18,0.889,10,37,23,10,3,12,19,37,74,0.5,12,27,0.444,15,22,0.682,8,42,26,7,6,20,21,0.55
2022-11-30,0,PHI,CLE,0,85,113,32,77,0.416,6,26,0.231,15,18,0.833,7,30,19,7,1,16,11,45,74,0.608,15,29,0.517,8,10,0.8,6,40,28,10,3,19,13,0.5714285714285714
2022-12-02,0,PHI,MEM,0,109,117,40,91,0.44,14,33,0.424,15,17,0.882,10,42,23,7,5,13,21,42,97,0.433,11,30,0.367,22,28,0.786,19,57,22,8,11,12,18,0.5454545454545454
2022-12-05,0,PHI,HOU,0,123,132,39,87,0.448,17,36,0.472,28,36,0.778,11,39,23,10,6,20,34,42,94,0.447,14,39,0.359,34,44,0.773,16,51,19,9,3,21,27,0.5217391304347826
2022-12-09,1,PHI,LAL,1,133,122,48,90,0.533,18,40,0.45,19,22,0.864,7,42,30,14,2,23,30,44,88,0.5,11,31,0.355,23,30,0.767,7,37,29,12,4,21,23,0.5
2022-12-11,1,PHI,CHO,1,131,113,46,83,0.554,13,27,0.481,26,32,0.813,9,41,31,6,6,16,24,38,93,0.409,11,30,0.367,26,30,0.867,15,45,21,12,3,16,24,0.52
2022-12-13,1,PHI,SAC,1,123,103,43,84,0.512,16,35,0.457,21,27,0.778,4,42,34,10,4,12,21,38,92,0.413,10,42,0.238,17,20,0.85,13,48,21,5,4,17,22,0.5384615384615384
2022-12-16,1,PHI,GSW,1,118,106,39,85,0.459,15,38,0.395,25,31,0.806,11,49,23,11,5,15,13,39,94,0.415,17,43,0.395,11,13,0.846,13,48,31,8,6,17,21,0.5555555555555556
2022-12-19,1,PHI,TOR,1,104,101,32,80,0.4,15,42,0.357,25,27,0.926,4,41,22,8,1,16,21,37,88,0.42,11,40,0.275,16,20,0.8,9,50,24,6,3,16,20,0.5714285714285714
2022-12-21,1,PHI,DET,1,113,93,41,93,0.441,11,37,0.297,20,22,0.909,13,49,27,8,7,12,23,31,79,0.392,6,23,0.261,25,34,0.735,11,46,15,6,1,22,15,0.5862068965517241
2022-12-23,1,PHI,LAC,1,119,114,47,88,0.534,12,29,0.414,13,14,0.929,6,39,31,7,3,9,20,41,81,0.506,14,38,0.368,18,23,0.783,6,33,25,5,9,11,16,0.6
2022-12-25,0,PHI,NYK,1,119,112,39,77,0.506,18,39,0.462,23,29,0.793,5,32,22,5,2,8,19,43,90,0.478,12,32,0.375,14,17,0.824,12,46,30,4,6,8,19,0.6129032258064516
2022-12-27,0,PHI,WAS,0,111,116,39,84,0.464,6,31,0.194,27,31,0.871,10,39,21,8,10,16,24,39,85,0.459,11,33,0.333,27,31,0.871,14,39,18,7,8,18,23,0.625
2022-12-30,0,PHI,NOP,0,116,127,42,75,0.56,14,34,0.412,18,22,0.818,3,29,28,5,7,19,22,43,80,0.538,15,31,0.484,26,36,0.722,7,36,19,14,3,14,20,0.6060606060606061
2022-12-31,0,PHI,OKC,1,115,96,46,99,0.465,11,34,0.324,12,17,0.706,14,56,29,7,9,13,24,35,92,0.38,12,36,0.333,14,22,0.636,15,50,16,7,6,16,21,0.5882352941176471
2023-01-02,1,PHI,NOP,1,120,111,41,86,0.477,15,35,0.429,23,28,0.821,7,35,26,9,6,10,22,42,84,0.5,11,29,0.379,16,20,0.8,10,49,26,3,6,17,22,0.6
2023-01-04,1,PHI,IND,1,129,126,48,98,0.49,14,36,0.389,19,22,0.864,14,46,24,4,7,11,19,45,95,0.474,13,36,0.361,23,26,0.885,13,45,31,7,8,13,18,0.6111111111111112
2023-01-06,1,PHI,CHI,0,112,126,40,92,0.435,18,41,0.439,14,18,0.778,12,38,28,6,3,7,15,48,84,0.571,20,34,0.588,10,17,0.588,8,45,33,3,4,12,14,0.6216216216216216
2023-01-08,0,PHI,DET,1,123,111,46,94,0.489,11,37,0.297,20,23,0.87,14,44,24,12,5,14,17,44,87,0.506,8,23,0.348,15,18,0.833,10,43,25,9,2,23,20,0.6052631578947368
2023-01-10,1,PHI,DET,1,147,116,54,89,0.607,11,31,0.355,28,30,0.933,10,55,36,7,8,19,29,36,89,0.404,14,39,0.359,30,36,0.833,3,26,23,9,5,11,22,0.6153846153846154
2023-01-12,1,PHI,OKC,0,114,133,39,88,0.443,11,36,0.306,25,27,0.926,9,39,30,4,3,17,29,44,86,0.512,14,33,0.424,31,33,0.939,5,39,28,7,6,11,22,0.625
2023-01-14,0,PHI,UTA,1,118,117,40,89,0.449,17,39,0.436,21,26,0.808,9,37,23,5,5,8,17,43,90,0.478,12,40,0.3,19,23,0.826,10,48,20,5,6,12,24,0.6097560975609756
2023-01-15,0,PHI,LAL,1,113,112,43,85,0.506,12,34,0.353,15,19,0.789,5,38,29,3,7,10,16,48,87,0.552,6,20,0.3,10,13,0.769,4,38,28,4,6,11,19,0.6190476190476191
2023-01-17,0,PHI,LAC,1,120,110,39,73,0.534,13,31,0.419,29,34,0.853,8,33,25,12,4,15,17,41,82,0.5,12,34,0.353,16,20,0.8,8,33,20,4,5,19,23,0.627906976744186
2023-01-19,0,PHI,POR,1,105,95,41,81,0.506,8,26,0.308,15,19,0.789,5,43,24,8,8,15,23,32,85,0.376,9,37,0.243,22,29,0.759,13,44,19,4,3,16,15,0.6363636363636364
