Date,Home,Team,Opp,Win,Points Scored,Opp Points Scored,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opp FG,Opp FGA,Opp FG%,Opp 3P,Opp 3PA,Opp 3P%,Opp FT,Opp FTA,Opp FT%,Opp ORB,Opp TRB,Opp AST,Opp STL,Opp BLK,Opp TOV,Opp PF,Win Percentage
2022-10-19,1,SAC,POR,0,108,115,39,85,0.459,17,44,0.386,13,19,0.684,4,41,27,8,5,16,25,39,88,0.443,11,28,0.393,26,33,0.788,11,44,20,11,2,11,17,0.0
2022-10-22,1,SAC,LAC,0,109,111,40,85,0.471,14,35,0.4,15,26,0.577,9,39,24,5,5,12,21,41,81,0.506,9,22,0.409,20,22,0.909,5,40,24,8,3,13,21,0.0
2022-10-23,0,SAC,GSW,0,125,130,47,100,0.47,11,43,0.256,20,25,0.8,13,51,31,10,2,16,29,45,87,0.517,14,33,0.424,26,36,0.722,6,37,24,7,5,13,21,0.0
2022-10-27,1,SAC,MEM,0,110,125,40,83,0.482,12,38,0.316,18,22,0.818,9,40,28,5,2,13,20,49,92,0.533,14,33,0.424,13,18,0.722,11,43,27,5,3,14,18,0.0
2022-10-29,1,SAC,MIA,1,119,113,42,76,0.553,14,31,0.452,21,29,0.724,6,43,27,1,6,21,29,38,89,0.427,11,28,0.393,26,31,0.839,9,34,18,7,3,9,25,0.0
2022-10-31,0,SAC,CHO,1,115,108,37,85,0.435,17,44,0.386,24,28,0.857,10,42,26,8,4,19,19,43,84,0.512,14,29,0.483,8,14,0.571,6,38,31,11,6,21,26,0.2
2022-11-02,0,SAC,MIA,0,107,110,41,86,0.477,13,36,0.361,12,14,0.857,4,39,29,4,3,12,18,44,89,0.494,11,34,0.324,11,13,0.846,9,46,27,5,5,11,20,0.3333333333333333
2022-11-05,0,SAC,ORL,1,126,123,47,93,0.505,15,40,0.375,17,26,0.654,6,36,24,5,4,14,20,50,92,0.543,4,23,0.174,19,20,0.95,7,48,27,8,4,18,26,0.2857142857142857
2022-11-07,0,SAC,GSW,0,113,116,37,91,0.407,14,40,0.35,25,29,0.862,9,43,24,9,0,11,20,44,88,0.5,14,38,0.368,14,21,0.667,8,48,28,5,4,15,21,0.375
2022-11-09,1,SAC,CLE,1,127,120,40,76,0.526,17,39,0.436,30,35,0.857,2,24,30,12,4,9,20,46,86,0.535,11,26,0.423,17,20,0.85,12,42,24,4,1,18,23,0.3333333333333333
