Date,Home,Team,Opp,Win,Points Scored,Opp Points Scored,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opp FG,Opp FGA,Opp FG%,Opp 3P,Opp 3PA,Opp 3P%,Opp FT,Opp FTA,Opp FT%,Opp ORB,Opp TRB,Opp AST,Opp STL,Opp BLK,Opp TOV,Opp PF,Win Percentage
2022-10-19,0,WAS,IND,1,114,107,42,92,0.457,11,31,0.355,19,24,0.792,14,53,21,5,10,17,19,39,97,0.402,15,42,0.357,14,21,0.667,12,42,21,7,5,15,20,0.0
2022-10-21,1,WAS,CHI,1,102,100,41,80,0.513,10,26,0.385,10,11,0.909,5,39,26,8,8,17,22,33,79,0.418,7,27,0.259,27,33,0.818,10,38,19,8,3,13,15,1.0
2022-10-23,0,WAS,CLE,0,107,117,43,87,0.494,12,28,0.429,9,15,0.6,4,35,25,9,4,20,24,41,96,0.427,13,33,0.394,22,25,0.88,16,48,19,10,5,13,20,1.0
2022-10-25,1,WAS,DET,1,120,99,44,85,0.518,10,33,0.303,22,26,0.846,9,47,26,7,7,12,21,36,88,0.409,8,28,0.286,19,25,0.76,11,41,12,6,1,13,26,0.6666666666666666
2022-10-28,1,WAS,IND,0,117,127,41,86,0.477,12,30,0.4,23,28,0.821,9,38,25,5,3,13,23,41,81,0.506,15,29,0.517,30,33,0.909,5,41,30,4,7,14,19,0.75
2022-10-30,0,WAS,BOS,0,94,112,38,98,0.388,7,32,0.219,11,16,0.688,15,51,22,5,6,10,20,36,79,0.456,21,47,0.447,19,20,0.95,4,47,29,4,5,14,15,0.6
2022-10-31,1,WAS,PHI,0,111,118,38,81,0.469,10,25,0.4,25,26,0.962,9,41,22,8,4,16,18,46,83,0.554,12,30,0.4,14,20,0.7,4,37,26,14,3,14,20,0.5
2022-11-02,0,WAS,PHI,1,121,111,45,78,0.577,5,21,0.238,26,32,0.813,7,43,27,4,9,8,18,39,84,0.464,19,36,0.528,14,20,0.7,6,32,25,3,1,8,25,0.42857142857142855
2022-11-04,1,WAS,BRK,0,86,128,30,83,0.361,8,34,0.235,18,22,0.818,7,39,18,4,3,13,15,50,90,0.556,14,28,0.5,14,14,1.0,7,48,32,8,7,9,19,0.5
2022-11-06,0,WAS,MEM,0,97,103,41,96,0.427,8,41,0.195,7,10,0.7,15,49,25,5,5,10,21,39,91,0.429,9,29,0.31,16,20,0.8,12,50,20,8,2,11,17,0.4444444444444444
2022-11-07,0,WAS,CHO,1,108,100,42,80,0.525,5,19,0.263,19,30,0.633,10,47,21,2,6,15,18,42,101,0.416,5,32,0.156,11,16,0.688,17,45,27,8,7,11,23,0.4
2022-11-10,1,WAS,DAL,1,113,105,41,84,0.488,12,30,0.4,19,20,0.95,8,52,25,5,5,17,21,37,86,0.43,18,47,0.383,13,21,0.619,7,41,19,9,1,13,13,0.45454545454545453
2022-11-12,1,WAS,UTA,1,121,112,44,88,0.5,16,36,0.444,17,20,0.85,6,46,27,6,8,9,14,44,94,0.468,14,40,0.35,10,11,0.909,7,42,33,4,3,12,17,0.5
