Date,Home,Team,Opp,Win,Points Scored,Opp Points Scored,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opp FG,Opp FGA,Opp FG%,Opp 3P,Opp 3PA,Opp 3P%,Opp FT,Opp FTA,Opp FT%,Opp ORB,Opp TRB,Opp AST,Opp STL,Opp BLK,Opp TOV,Opp PF,Win Percentage
2023-10-25,1,BRK,CLE,0,113,114,42,84,0.5,9,27,0.333,20,26,0.769,13,50,30,6,6,18,16,44,94,0.468,17,43,0.395,9,10,0.9,9,38,25,10,6,10,23,0.0
2023-10-27,0,BRK,DAL,0,120,125,45,92,0.489,21,43,0.488,9,10,0.9,10,47,30,5,4,16,28,44,91,0.484,15,36,0.417,22,28,0.786,8,40,20,5,2,9,15,0.0
2023-10-30,0,BRK,CHO,1,133,121,49,87,0.563,12,33,0.364,23,32,0.719,10,46,25,4,8,14,19,47,96,0.49,8,31,0.258,19,20,0.95,8,39,33,8,5,10,23,0.0
2023-11-01,0,BRK,MIA,1,109,105,37,82,0.451,16,36,0.444,19,26,0.731,7,47,27,11,4,18,18,39,91,0.429,13,38,0.342,14,18,0.778,11,46,22,10,5,18,20,0.3333333333333333
2023-11-03,0,BRK,CHI,1,109,107,44,96,0.458,18,45,0.4,3,5,0.6,8,39,32,4,4,11,12,43,89,0.483,11,28,0.393,10,14,0.714,9,42,21,4,4,10,13,0.5
2023-11-04,1,BRK,BOS,0,114,124,43,100,0.43,17,52,0.327,11,17,0.647,10,42,22,4,5,6,21,43,90,0.478,15,45,0.333,23,27,0.852,10,50,22,4,6,11,17,0.6
2023-11-06,1,BRK,MIL,0,125,129,49,101,0.485,16,45,0.356,11,13,0.846,11,46,22,2,4,8,16,46,96,0.479,16,48,0.333,21,24,0.875,12,48,26,6,2,10,13,0.5
2023-11-08,1,BRK,LAC,1,100,93,37,92,0.402,15,41,0.366,11,13,0.846,14,49,22,10,10,14,14,36,91,0.396,8,36,0.222,13,13,1.0,11,51,22,10,8,16,15,0.42857142857142855
2023-11-10,0,BRK,BOS,0,107,121,38,85,0.447,15,37,0.405,16,18,0.889,9,46,26,0,3,12,25,41,94,0.436,19,52,0.365,20,28,0.714,17,52,29,5,3,8,13,0.5
2023-11-12,1,BRK,WAS,1,102,94,37,98,0.378,12,49,0.245,16,20,0.8,20,66,22,6,6,19,18,33,88,0.375,10,41,0.244,18,25,0.72,7,42,20,14,3,12,15,0.4444444444444444
2023-11-14,1,BRK,ORL,1,124,104,46,85,0.541,19,39,0.487,13,20,0.65,13,44,22,13,3,16,24,36,82,0.439,16,46,0.348,16,21,0.762,9,37,23,9,4,16,16,0.5
2023-11-16,0,BRK,MIA,0,115,122,40,85,0.471,14,36,0.389,21,27,0.778,10,40,29,5,3,15,20,42,81,0.519,15,35,0.429,23,24,0.958,7,32,26,8,3,9,20,0.5454545454545454
2023-11-19,1,BRK,PHI,0,99,121,38,81,0.469,11,28,0.393,12,16,0.75,9,45,24,2,8,15,14,44,94,0.468,16,35,0.457,17,18,0.944,10,44,32,8,4,5,18,0.5
2023-11-22,0,BRK,ATL,0,145,147,55,113,0.487,15,35,0.429,20,24,0.833,22,59,28,8,6,16,24,51,116,0.44,18,49,0.367,27,29,0.931,22,58,24,10,8,14,18,0.46153846153846156
2023-11-25,1,BRK,MIA,1,112,97,39,78,0.5,14,36,0.389,20,23,0.87,8,42,27,11,9,13,18,38,87,0.437,11,34,0.324,10,13,0.769,13,44,24,6,3,18,18,0.42857142857142855
2023-11-26,1,BRK,CHI,1,118,109,41,83,0.494,25,53,0.472,11,15,0.733,8,39,29,7,2,11,19,40,83,0.482,12,32,0.375,17,22,0.773,10,40,21,3,2,11,18,0.4666666666666667
2023-11-28,1,BRK,TOR,1,115,103,40,89,0.449,13,38,0.342,22,26,0.846,13,59,26,7,8,15,17,39,101,0.386,13,36,0.361,12,19,0.632,15,46,27,11,3,7,21,0.5
2023-11-30,1,BRK,CHO,0,128,129,52,105,0.495,14,36,0.389,10,15,0.667,22,52,21,6,4,9,11,46,91,0.505,21,36,0.583,16,16,1.0,13,41,30,6,7,9,16,0.5294117647058824
2023-12-02,1,BRK,ORL,1,129,101,46,91,0.505,14,34,0.412,23,31,0.742,14,57,31,4,8,11,21,35,88,0.398,9,29,0.31,22,27,0.815,8,37,24,3,5,11,27,0.5
2023-12-06,0,BRK,ATL,1,114,113,43,94,0.457,11,27,0.407,17,24,0.708,12,45,24,7,6,12,19,42,94,0.447,12,35,0.343,17,18,0.944,11,49,25,5,4,13,23,0.5263157894736842
2023-12-08,1,BRK,WAS,1,124,97,50,104,0.481,10,33,0.303,14,18,0.778,18,55,27,8,8,11,18,38,91,0.418,6,33,0.182,15,21,0.714,12,41,19,4,7,16,19,0.55
2023-12-11,0,BRK,SAC,0,118,131,42,88,0.477,14,29,0.483,20,21,0.952,10,41,24,4,6,13,13,48,94,0.511,25,45,0.556,10,14,0.714,10,43,38,4,3,13,24,0.5714285714285714
2023-12-13,0,BRK,PHO,1,116,112,41,89,0.461,15,41,0.366,19,24,0.792,10,36,24,9,4,7,17,40,84,0.476,9,28,0.321,23,27,0.852,14,49,28,5,4,12,20,0.5454545454545454
2023-12-14,0,BRK,DEN,0,101,124,39,95,0.411,8,30,0.267,15,20,0.75,18,53,28,5,4,16,23,47,99,0.475,12,36,0.333,18,21,0.857,12,48,31,13,6,9,15,0.5652173913043478
2023-12-16,0,BRK,GSW,0,120,124,45,93,0.484,17,43,0.395,13,15,0.867,14,42,31,6,8,16,21,44,91,0.484,17,32,0.531,19,20,0.95,13,42,29,7,5,14,15,0.5416666666666666
2023-12-18,0,BRK,UTA,0,108,125,39,90,0.433,16,39,0.41,14,20,0.7,11,36,25,4,9,14,17,45,91,0.495,14,34,0.412,21,24,0.875,12,51,30,6,8,14,20,0.52
2023-12-20,1,BRK,NYK,0,102,121,37,101,0.366,15,47,0.319,13,17,0.765,17,49,25,6,9,11,20,44,95,0.463,13,33,0.394,20,25,0.8,12,54,24,8,7,11,15,0.5
2023-12-22,1,BRK,DEN,0,117,122,43,89,0.483,13,33,0.394,18,26,0.692,14,45,32,4,7,11,23,45,87,0.517,11,26,0.423,21,25,0.84,8,41,29,6,5,6,19,0.48148148148148145
2023-12-23,1,BRK,DET,1,126,115,45,86,0.523,10,24,0.417,26,32,0.813,7,38,32,10,3,12,22,39,79,0.494,15,35,0.429,22,29,0.759,6,36,26,5,3,14,25,0.4642857142857143
2023-12-26,0,BRK,DET,1,118,112,41,82,0.5,9,22,0.409,27,43,0.628,7,42,22,6,7,9,22,40,90,0.444,9,25,0.36,23,32,0.719,16,52,20,6,4,14,27,0.4827586206896552
2023-12-27,1,BRK,MIL,0,122,144,45,101,0.446,7,32,0.219,25,29,0.862,17,47,29,7,2,9,17,52,89,0.584,23,51,0.451,17,23,0.739,8,41,41,6,8,10,18,0.5
2023-12-29,0,BRK,WAS,0,104,110,39,91,0.429,9,28,0.321,17,27,0.63,18,54,24,5,4,10,13,46,91,0.505,15,38,0.395,3,7,0.429,8,43,28,5,5,7,19,0.4838709677419355
2023-12-31,0,BRK,OKC,0,108,124,38,100,0.38,12,46,0.261,20,31,0.645,17,47,26,9,2,7,21,45,83,0.542,18,33,0.545,16,20,0.8,5,46,31,1,6,15,24,0.46875
2024-01-02,0,BRK,NOP,0,85,112,35,98,0.357,11,43,0.256,4,8,0.5,18,43,26,7,4,15,13,41,88,0.466,16,39,0.41,14,18,0.778,17,53,23,10,9,17,12,0.45454545454545453
2024-01-03,0,BRK,HOU,0,101,112,36,93,0.387,13,44,0.295,16,26,0.615,15,50,25,11,6,10,19,37,76,0.487,19,39,0.487,19,27,0.704,5,48,27,5,4,16,19,0.4411764705882353
2024-01-05,1,BRK,OKC,1,124,115,41,91,0.451,14,39,0.359,28,33,0.848,20,51,25,9,3,15,24,45,84,0.536,9,31,0.29,16,24,0.667,7,36,29,8,5,13,26,0.42857142857142855
2024-01-07,1,BRK,POR,0,127,134,46,91,0.505,14,37,0.378,21,25,0.84,9,44,29,7,7,16,25,45,95,0.474,20,38,0.526,24,30,0.8,9,38,21,5,5,10,20,0.4444444444444444
2024-01-11,0,BRK,CLE,0,102,111,37,82,0.451,8,27,0.296,20,28,0.714,9,41,18,5,4,17,29,32,82,0.39,13,44,0.295,34,43,0.791,12,47,16,11,6,11,24,0.43243243243243246
2024-01-15,1,BRK,MIA,0,95,96,34,99,0.343,12,55,0.218,15,16,0.938,9,50,26,9,9,8,17,33,87,0.379,8,31,0.258,22,25,0.88,6,54,22,6,4,13,16,0.42105263157894735
2024-01-17,0,BRK,POR,0,103,105,35,73,0.479,15,38,0.395,18,27,0.667,6,33,28,9,3,11,14,42,86,0.488,9,27,0.333,12,14,0.857,10,41,21,2,2,13,16,0.41025641025641024
2024-01-19,0,BRK,LAL,1,130,112,50,95,0.526,19,47,0.404,11,14,0.786,8,41,31,10,4,11,17,40,90,0.444,12,33,0.364,20,24,0.833,10,44,31,7,3,14,11,0.4
2024-01-21,0,BRK,LAC,0,114,125,44,90,0.489,14,39,0.359,12,16,0.75,6,36,29,6,5,13,21,42,83,0.506,13,26,0.5,28,33,0.848,8,45,26,6,5,11,18,0.4146341463414634
2024-01-23,1,BRK,NYK,0,103,108,42,95,0.442,15,42,0.357,4,5,0.8,13,40,29,7,5,13,19,40,86,0.465,10,29,0.345,18,19,0.947,11,42,21,8,8,14,13,0.40476190476190477
2024-01-25,1,BRK,MIN,0,94,96,35,77,0.455,10,33,0.303,14,16,0.875,5,32,22,7,3,15,15,37,75,0.493,10,21,0.476,12,16,0.75,5,38,24,6,4,17,17,0.3953488372093023
2024-01-27,1,BRK,HOU,1,106,104,36,74,0.486,12,34,0.353,22,37,0.595,2,40,24,11,6,19,22,37,94,0.394,10,37,0.27,20,23,0.87,15,55,20,6,3,17,29,0.38636363636363635
