Date,Home,Team,Opp,Win,Points Scored,Opp Points Scored,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opp FG,Opp FGA,Opp FG%,Opp 3P,Opp 3PA,Opp 3P%,Opp FT,Opp FTA,Opp FT%,Opp ORB,Opp TRB,Opp AST,Opp STL,Opp BLK,Opp TOV,Opp PF,Win Percentage
2023-10-24,1,DEN,LAL,1,119,107,48,91,0.527,14,34,0.412,9,12,0.75,9,42,29,9,6,12,15,41,90,0.456,10,29,0.345,15,20,0.75,13,44,23,5,4,12,18,0.0
2023-10-27,0,DEN,MEM,1,108,104,41,88,0.466,14,37,0.378,12,18,0.667,6,40,27,11,10,19,18,37,85,0.435,10,33,0.303,20,24,0.833,13,48,22,13,7,21,23,1.0
2023-10-29,0,DEN,OKC,1,128,95,53,88,0.602,11,27,0.407,11,13,0.846,10,48,34,8,5,13,21,37,90,0.411,6,32,0.188,15,18,0.833,7,29,22,8,4,10,14,1.0
2023-10-30,1,DEN,UTA,1,110,102,47,84,0.56,9,28,0.321,7,17,0.412,7,43,32,4,8,13,14,42,98,0.429,11,37,0.297,7,15,0.467,17,51,30,6,2,13,21,1.0
2023-11-01,0,DEN,MIN,0,89,110,38,96,0.396,6,33,0.182,7,10,0.7,12,43,23,6,10,16,22,38,83,0.458,8,21,0.381,26,27,0.963,8,47,20,9,5,14,15,1.0
2023-11-03,1,DEN,DAL,1,125,114,49,93,0.527,13,30,0.433,14,19,0.737,19,51,33,11,6,20,17,41,86,0.477,17,42,0.405,15,17,0.882,10,34,27,12,6,15,19,0.8
2023-11-04,1,DEN,CHI,1,123,101,42,81,0.519,16,36,0.444,23,30,0.767,10,49,31,10,4,12,18,39,86,0.453,7,26,0.269,16,23,0.696,9,37,28,7,3,11,19,0.8333333333333334
2023-11-06,1,DEN,NOP,1,134,116,51,95,0.537,15,39,0.385,17,23,0.739,11,45,37,6,5,10,16,45,90,0.5,13,30,0.433,13,15,0.867,8,38,24,6,2,13,18,0.8571428571428571
2023-11-08,1,DEN,GSW,1,108,105,41,92,0.446,11,35,0.314,15,22,0.682,10,45,24,7,4,6,20,37,86,0.43,11,35,0.314,20,26,0.769,11,49,21,5,0,9,20,0.875
2023-11-12,0,DEN,HOU,0,104,107,42,91,0.462,9,32,0.281,11,14,0.786,12,49,24,3,5,11,20,37,87,0.425,10,32,0.313,23,29,0.793,12,45,20,7,4,9,16,0.8888888888888888
2023-11-14,1,DEN,LAC,1,111,108,39,73,0.534,8,23,0.348,25,32,0.781,6,36,26,4,2,14,19,37,86,0.43,13,29,0.448,21,24,0.875,14,42,21,10,1,11,24,0.8
2023-11-17,0,DEN,NOP,0,110,115,47,96,0.49,10,40,0.25,6,12,0.5,11,51,37,4,3,13,20,46,88,0.523,12,23,0.522,11,21,0.524,4,39,33,8,5,11,13,0.8181818181818182
2023-11-19,0,DEN,CLE,0,109,121,39,82,0.476,14,29,0.483,17,23,0.739,9,33,23,7,5,13,21,45,82,0.549,11,27,0.407,20,26,0.769,11,47,30,6,5,14,18,0.75
2023-11-20,0,DEN,DET,1,107,103,40,87,0.46,11,28,0.393,16,21,0.762,11,43,30,7,8,14,17,36,81,0.444,7,21,0.333,24,26,0.923,11,43,21,7,5,18,24,0.6923076923076923
2023-11-22,0,DEN,ORL,0,119,124,44,93,0.473,15,35,0.429,16,21,0.762,17,42,29,6,2,12,25,44,81,0.543,10,29,0.345,26,30,0.867,11,41,27,9,7,12,21,0.7142857142857143
2023-11-24,0,DEN,HOU,0,86,105,32,94,0.34,7,30,0.233,15,21,0.714,16,46,17,8,4,15,14,40,82,0.488,12,29,0.414,13,15,0.867,6,49,25,9,9,14,21,0.6666666666666666
2023-11-26,1,DEN,SAS,1,132,120,50,89,0.562,12,28,0.429,20,25,0.8,11,45,38,8,3,20,25,42,93,0.452,14,37,0.378,22,26,0.846,10,35,34,10,6,15,22,0.625
2023-11-27,0,DEN,LAC,1,113,104,44,92,0.478,10,22,0.455,15,28,0.536,18,52,28,8,6,11,22,35,85,0.412,6,20,0.3,28,34,0.824,16,49,18,6,9,13,23,0.6470588235294118
2023-11-29,1,DEN,HOU,1,134,124,48,95,0.505,19,43,0.442,19,26,0.731,13,41,37,4,2,4,18,47,86,0.547,16,41,0.39,14,19,0.737,8,35,27,3,5,9,20,0.6666666666666666
2023-12-01,0,DEN,PHO,1,119,111,50,88,0.568,12,32,0.375,7,12,0.583,4,32,38,8,4,9,21,39,84,0.464,9,27,0.333,24,26,0.923,8,43,22,4,9,12,17,0.6842105263157895
2023-12-02,0,DEN,SAC,0,117,123,49,99,0.495,6,25,0.24,13,20,0.65,8,46,35,9,7,11,14,48,99,0.485,16,34,0.471,11,15,0.733,9,47,33,7,5,11,14,0.7
2023-12-06,0,DEN,LAC,0,102,111,41,98,0.418,12,31,0.387,8,9,0.889,14,46,29,7,5,11,20,40,87,0.46,12,27,0.444,19,25,0.76,13,51,21,7,9,11,14,0.6666666666666666
2023-12-08,1,DEN,HOU,0,106,114,38,90,0.422,10,28,0.357,20,27,0.741,12,47,22,4,5,10,24,35,82,0.427,13,39,0.333,31,42,0.738,11,47,21,3,3,10,20,0.6363636363636364
2023-12-11,0,DEN,ATL,1,129,122,47,88,0.534,12,29,0.414,23,29,0.793,14,49,29,9,8,16,19,44,96,0.458,17,44,0.386,17,18,0.944,13,35,25,9,2,10,21,0.6086956521739131
2023-12-12,0,DEN,CHI,1,114,106,39,83,0.47,14,30,0.467,22,32,0.688,15,46,28,4,4,11,20,36,86,0.419,13,40,0.325,21,23,0.913,11,41,26,6,9,14,22,0.625
2023-12-14,1,DEN,BRK,1,124,101,47,99,0.475,12,36,0.333,18,21,0.857,12,48,31,13,6,9,15,39,95,0.411,8,30,0.267,15,20,0.75,18,53,28,5,4,16,23,0.64
2023-12-16,1,DEN,OKC,0,117,118,42,93,0.452,12,32,0.375,21,24,0.875,16,46,30,5,0,9,22,43,84,0.512,7,21,0.333,25,30,0.833,9,40,22,4,9,11,19,0.6538461538461539
2023-12-18,1,DEN,DAL,1,130,104,49,87,0.563,14,26,0.538,18,22,0.818,9,46,29,7,4,9,19,41,92,0.446,13,38,0.342,9,19,0.474,15,43,19,2,0,11,20,0.6296296296296297
2023-12-20,0,DEN,TOR,1,113,104,49,98,0.5,12,33,0.364,3,7,0.429,15,46,29,9,9,9,13,43,90,0.478,9,27,0.333,9,13,0.692,10,41,26,3,5,11,12,0.6428571428571429
2023-12-22,0,DEN,BRK,1,122,117,45,87,0.517,11,26,0.423,21,25,0.84,8,41,29,6,5,6,19,43,89,0.483,13,33,0.394,18,26,0.692,14,45,32,4,7,11,23,0.6551724137931034
2023-12-23,0,DEN,CHO,1,102,95,39,90,0.433,12,30,0.4,12,14,0.857,12,48,25,11,13,17,21,34,88,0.386,8,28,0.286,19,23,0.826,13,47,23,8,11,18,15,0.6666666666666666
2023-12-25,1,DEN,GSW,1,120,114,40,82,0.488,14,34,0.412,26,32,0.813,10,43,25,6,4,14,17,40,87,0.46,14,40,0.35,20,23,0.87,9,39,23,7,3,13,23,0.6774193548387096
2023-12-28,1,DEN,MEM,1,142,105,55,96,0.573,20,41,0.488,12,14,0.857,12,53,43,6,7,12,19,37,89,0.416,13,35,0.371,18,25,0.72,11,36,23,8,5,11,13,0.6875
2023-12-29,1,DEN,OKC,0,93,119,36,85,0.424,10,37,0.27,11,15,0.733,5,36,30,6,5,17,17,46,91,0.505,12,35,0.343,15,16,0.938,10,51,29,10,8,12,20,0.696969696969697
2024-01-01,1,DEN,CHO,1,111,93,41,83,0.494,15,38,0.395,14,18,0.778,4,44,27,9,9,11,15,36,86,0.419,10,26,0.385,11,16,0.688,8,45,24,4,5,14,15,0.6764705882352942
2024-01-04,0,DEN,GSW,1,130,127,48,85,0.565,9,26,0.346,25,29,0.862,11,36,28,7,4,9,15,49,90,0.544,15,36,0.417,14,16,0.875,9,33,35,4,3,10,20,0.6857142857142857
2024-01-05,1,DEN,ORL,0,120,122,48,95,0.505,9,33,0.273,15,19,0.789,9,38,28,8,1,13,23,41,82,0.5,17,36,0.472,23,34,0.676,11,40,25,9,3,15,20,0.6944444444444444
2024-01-07,1,DEN,DET,1,131,114,47,80,0.588,10,27,0.37,27,31,0.871,6,38,35,6,10,14,23,42,89,0.472,9,24,0.375,21,30,0.7,13,37,28,6,0,12,20,0.6756756756756757
2024-01-10,0,DEN,UTA,0,111,124,37,81,0.457,13,33,0.394,24,28,0.857,8,34,26,11,4,16,23,46,83,0.554,13,33,0.394,19,23,0.826,7,40,34,12,8,17,19,0.6842105263157895
2024-01-12,1,DEN,NOP,1,125,113,50,90,0.556,14,33,0.424,11,15,0.733,10,48,30,5,4,17,18,42,89,0.472,13,33,0.394,16,22,0.727,8,35,30,9,3,9,10,0.6666666666666666
2024-01-14,1,DEN,IND,1,117,109,46,71,0.648,10,20,0.5,15,23,0.652,4,40,31,8,3,22,18,43,92,0.467,8,29,0.276,15,22,0.682,14,37,28,11,1,13,21,0.675
2024-01-16,0,DEN,PHI,0,121,126,45,89,0.506,12,29,0.414,19,25,0.76,16,46,23,4,3,11,19,43,76,0.566,15,31,0.484,25,34,0.735,5,32,27,6,7,8,21,0.6829268292682927
2024-01-19,0,DEN,BOS,1,102,100,42,81,0.519,8,31,0.258,10,13,0.769,10,47,20,0,3,11,13,38,89,0.427,14,44,0.318,10,14,0.714,12,38,21,5,2,3,17,0.6666666666666666
2024-01-21,0,DEN,WAS,1,113,104,43,88,0.489,8,22,0.364,19,28,0.679,13,50,29,9,11,14,16,39,91,0.429,8,27,0.296,18,22,0.818,12,40,31,6,9,13,23,0.6744186046511628
2024-01-23,0,DEN,IND,1,114,109,44,88,0.5,11,33,0.333,15,17,0.882,11,42,22,5,9,12,17,43,87,0.494,5,21,0.238,18,21,0.857,7,38,24,4,1,10,16,0.6818181818181818
2024-01-25,0,DEN,NYK,0,84,122,34,84,0.405,5,26,0.192,11,13,0.846,13,40,20,2,2,19,20,45,85,0.529,15,38,0.395,17,20,0.85,12,44,26,12,3,10,14,0.6888888888888889
2024-01-27,1,DEN,PHI,1,111,105,37,82,0.451,13,37,0.351,24,38,0.632,13,44,25,5,3,8,15,43,81,0.531,6,22,0.273,13,16,0.813,6,39,25,5,6,11,29,0.6739130434782609
2024-01-29,1,DEN,MIL,1,113,107,44,91,0.484,4,18,0.222,21,24,0.875,9,47,29,7,4,8,22,36,84,0.429,16,40,0.4,19,25,0.76,7,40,24,3,7,13,22,0.6808510638297872
2024-01-31,0,DEN,OKC,0,100,105,37,93,0.398,15,37,0.405,11,16,0.688,12,47,21,7,9,10,23,37,87,0.425,11,26,0.423,20,25,0.8,15,53,24,2,9,13,14,0.6875
