Date,Home,Team,Opp,Win,Points Scored,Opp Points Scored,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opp FG,Opp FGA,Opp FG%,Opp 3P,Opp 3PA,Opp 3P%,Opp FT,Opp FTA,Opp FT%,Opp ORB,Opp TRB,Opp AST,Opp STL,Opp BLK,Opp TOV,Opp PF,Win Percentage
2023-10-25,1,IND,WAS,1,143,120,56,107,0.523,20,43,0.465,11,12,0.917,10,51,38,10,8,12,23,44,96,0.458,9,24,0.375,23,29,0.793,11,45,28,6,9,14,11,0.0
2023-10-28,0,IND,CLE,1,125,113,48,98,0.49,15,38,0.395,14,17,0.824,11,48,36,3,4,8,20,43,99,0.434,12,31,0.387,15,24,0.625,18,51,29,2,6,7,16,1.0
2023-10-30,1,IND,CHI,0,105,112,36,88,0.409,12,46,0.261,21,25,0.84,11,47,26,7,5,17,24,40,87,0.46,6,17,0.353,26,31,0.839,10,44,19,8,6,13,17,1.0
2023-11-01,0,IND,BOS,0,104,155,46,101,0.455,5,37,0.135,7,12,0.583,8,31,26,6,6,9,20,54,95,0.568,20,35,0.571,27,28,0.964,11,57,27,5,2,13,19,0.6666666666666666
2023-11-03,1,IND,CLE,1,121,116,45,86,0.523,15,31,0.484,16,24,0.667,7,40,28,7,5,19,18,44,84,0.524,8,28,0.286,20,25,0.8,5,35,27,10,9,13,20,0.5
2023-11-04,1,IND,CHO,0,124,125,45,93,0.484,22,45,0.489,12,16,0.75,11,36,31,7,5,15,18,47,88,0.534,8,20,0.4,23,23,1.0,12,41,23,5,10,13,20,0.6
2023-11-06,1,IND,SAS,1,152,111,55,95,0.579,20,38,0.526,22,23,0.957,9,49,38,7,4,15,24,40,94,0.426,8,26,0.308,23,30,0.767,12,36,26,7,5,11,15,0.5
2023-11-08,1,IND,UTA,1,134,118,52,101,0.515,13,41,0.317,17,20,0.85,14,46,26,14,7,12,15,45,96,0.469,11,27,0.407,17,18,0.944,16,47,26,3,5,22,17,0.5714285714285714
2023-11-09,1,IND,MIL,1,126,124,44,92,0.478,20,48,0.417,18,20,0.9,9,40,27,6,6,13,25,46,87,0.529,9,27,0.333,23,26,0.885,5,41,23,6,5,14,19,0.625
2023-11-12,0,IND,PHI,0,126,137,47,90,0.522,16,39,0.41,16,19,0.842,8,32,31,8,9,10,14,53,105,0.505,14,33,0.424,17,20,0.85,23,54,28,5,7,12,15,0.6666666666666666
2023-11-14,0,IND,PHI,1,132,126,48,93,0.516,13,37,0.351,23,33,0.697,10,41,32,7,5,11,28,43,86,0.5,6,22,0.273,34,35,0.971,5,38,22,5,3,16,26,0.6
2023-11-19,1,IND,ORL,0,116,128,42,95,0.442,8,31,0.258,24,31,0.774,11,40,24,10,7,16,32,43,87,0.494,7,20,0.35,35,42,0.833,8,42,21,10,10,15,23,0.6363636363636364
2023-11-21,0,IND,ATL,1,157,152,57,94,0.606,22,45,0.489,21,28,0.75,7,29,35,7,11,14,25,57,95,0.6,15,31,0.484,23,28,0.821,12,39,28,8,4,15,23,0.5833333333333334
2023-11-22,1,IND,TOR,0,131,132,50,91,0.549,18,39,0.462,13,16,0.813,5,31,33,10,6,15,24,48,90,0.533,11,27,0.407,25,30,0.833,13,46,26,7,3,19,15,0.6153846153846154
2023-11-24,1,IND,DET,1,136,113,49,102,0.48,16,38,0.421,22,24,0.917,15,40,24,7,8,9,21,43,90,0.478,7,18,0.389,20,24,0.833,14,43,22,6,11,14,18,0.5714285714285714
2023-11-27,1,IND,POR,0,110,114,42,88,0.477,8,33,0.242,18,24,0.75,10,42,26,10,6,20,24,40,85,0.471,9,18,0.5,25,31,0.806,9,38,20,6,4,16,21,0.6
2023-11-30,0,IND,MIA,0,132,142,50,98,0.51,11,43,0.256,21,32,0.656,10,34,30,11,5,10,31,48,86,0.558,8,21,0.381,38,45,0.844,10,48,25,4,1,14,28,0.5625
