Date,Home,Team,Opp,Win,Points Scored,Opp Points Scored,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opp FG,Opp FGA,Opp FG%,Opp 3P,Opp 3PA,Opp 3P%,Opp FT,Opp FTA,Opp FT%,Opp ORB,Opp TRB,Opp AST,Opp STL,Opp BLK,Opp TOV,Opp PF,Win Percentage
2023-10-25,0,MIN,TOR,0,94,97,34,100,0.34,8,31,0.258,18,22,0.818,16,62,20,8,9,14,14,36,90,0.4,14,35,0.4,11,16,0.688,8,47,27,9,11,14,18,0.0
2023-10-28,1,MIN,MIA,1,106,90,44,86,0.512,12,34,0.353,6,8,0.75,7,47,30,9,3,16,17,35,87,0.402,12,38,0.316,8,14,0.571,9,42,24,6,1,15,12,0.0
2023-10-30,0,MIN,ATL,0,113,127,44,90,0.489,16,33,0.485,9,15,0.6,10,38,24,5,5,14,17,48,86,0.558,14,30,0.467,17,18,0.944,4,36,28,6,7,11,12,0.5
2023-11-01,1,MIN,DEN,1,110,89,38,83,0.458,8,21,0.381,26,27,0.963,8,47,20,9,5,14,15,38,96,0.396,6,33,0.182,7,10,0.7,12,43,23,6,10,16,22,0.3333333333333333
2023-11-04,1,MIN,UTA,1,123,95,45,81,0.556,9,24,0.375,24,31,0.774,9,43,25,10,11,11,23,35,91,0.385,12,43,0.279,13,17,0.765,17,39,20,3,7,18,20,0.5
2023-11-06,1,MIN,BOS,1,114,109,44,85,0.518,13,37,0.351,13,25,0.52,6,45,26,7,5,24,26,36,92,0.391,11,39,0.282,26,34,0.765,11,45,20,13,2,18,26,0.6
2023-11-08,1,MIN,NOP,1,122,101,45,82,0.549,15,37,0.405,17,24,0.708,8,48,30,9,7,18,23,36,93,0.387,8,28,0.286,21,22,0.955,11,40,23,6,1,17,23,0.6666666666666666
2023-11-10,0,MIN,SAS,1,117,110,43,87,0.494,10,27,0.37,21,27,0.778,13,51,23,6,4,18,19,43,92,0.467,12,34,0.353,12,19,0.632,7,38,29,9,8,14,21,0.7142857142857143
2023-11-12,0,MIN,GSW,1,116,110,43,82,0.524,9,27,0.333,21,30,0.7,9,47,27,8,6,14,19,37,96,0.385,12,43,0.279,24,28,0.857,19,51,24,9,0,14,28,0.75
2023-11-14,0,MIN,GSW,1,104,101,36,81,0.444,14,34,0.412,18,21,0.857,9,42,24,9,5,20,19,37,88,0.42,13,39,0.333,14,16,0.875,13,46,28,11,2,20,22,0.7777777777777778
