Date,Home,Team,Opp,Win,Points Scored,Opp Points Scored,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opp FG,Opp FGA,Opp FG%,Opp 3P,Opp 3PA,Opp 3P%,Opp FT,Opp FTA,Opp FT%,Opp ORB,Opp TRB,Opp AST,Opp STL,Opp BLK,Opp TOV,Opp PF,Win Percentage
2023-10-24,0,PHO,GSW,1,108,104,42,95,0.442,11,33,0.333,13,17,0.765,17,60,23,5,7,19,22,36,101,0.356,10,43,0.233,22,28,0.786,18,49,19,11,6,11,23,0.0
2023-10-26,0,PHO,LAL,0,95,100,34,81,0.42,9,31,0.29,18,23,0.783,10,49,16,7,3,24,21,36,84,0.429,5,29,0.172,23,29,0.793,8,42,24,14,7,16,23,1.0
2023-10-28,1,PHO,UTA,1,126,104,45,85,0.529,10,37,0.27,26,28,0.929,7,39,31,10,7,11,19,40,91,0.44,12,37,0.324,12,14,0.857,15,45,26,6,5,19,20,0.5
2023-10-31,1,PHO,SAS,0,114,115,42,83,0.506,18,39,0.462,12,15,0.8,6,43,29,8,7,19,18,43,92,0.467,14,37,0.378,15,20,0.75,8,37,25,10,9,12,17,0.6666666666666666
2023-11-02,1,PHO,SAS,0,121,132,43,80,0.538,16,32,0.5,19,26,0.731,5,34,26,5,4,14,15,51,98,0.52,18,37,0.486,12,13,0.923,9,41,37,7,5,8,21,0.5
2023-11-04,0,PHO,PHI,0,100,112,32,89,0.36,9,35,0.257,27,33,0.818,15,42,22,11,12,11,11,43,90,0.478,11,30,0.367,15,18,0.833,15,51,24,5,6,18,24,0.4
2023-11-05,0,PHO,DET,1,120,106,43,86,0.5,8,21,0.381,26,29,0.897,14,43,29,8,10,18,13,43,87,0.494,8,23,0.348,12,14,0.857,10,33,25,7,6,16,23,0.3333333333333333
2023-11-08,0,PHO,CHI,1,116,115,38,90,0.422,19,48,0.396,21,25,0.84,13,54,32,7,10,22,20,42,96,0.438,14,33,0.424,17,23,0.739,9,39,30,12,7,14,22,0.42857142857142855
2023-11-10,1,PHO,LAL,0,119,122,42,94,0.447,15,37,0.405,20,27,0.741,17,52,22,9,1,13,24,42,84,0.5,12,27,0.444,26,34,0.765,9,43,27,9,7,11,20,0.5
2023-11-12,1,PHO,OKC,0,99,111,32,83,0.386,9,29,0.31,26,31,0.839,16,51,20,4,7,17,19,40,82,0.488,10,27,0.37,21,25,0.84,6,33,23,9,8,9,21,0.4444444444444444
2023-11-15,1,PHO,MIN,1,133,115,51,85,0.6,17,31,0.548,14,15,0.933,5,32,31,1,4,9,21,42,92,0.457,5,27,0.185,26,28,0.929,16,40,18,8,5,6,14,0.4
2023-11-17,0,PHO,UTA,1,131,128,45,86,0.523,18,33,0.545,23,26,0.885,5,36,35,5,4,9,22,43,85,0.506,16,36,0.444,26,31,0.839,10,39,27,3,10,8,23,0.45454545454545453
2023-11-19,0,PHO,UTA,1,140,137,50,102,0.49,18,45,0.4,22,26,0.846,11,44,36,11,13,18,28,48,115,0.417,15,46,0.326,26,32,0.813,27,59,27,11,5,19,27,0.5
2023-11-21,1,PHO,POR,1,120,107,43,76,0.566,7,17,0.412,27,28,0.964,11,38,26,8,8,15,18,38,87,0.437,14,31,0.452,17,20,0.85,12,30,20,8,3,13,20,0.5384615384615384
