Date,Home,Team,Opp,Win,Points Scored,Opp Points Scored,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opp FG,Opp FGA,Opp FG%,Opp 3P,Opp 3PA,Opp 3P%,Opp FT,Opp FTA,Opp FT%,Opp ORB,Opp TRB,Opp AST,Opp STL,Opp BLK,Opp TOV,Opp PF,Win Percentage
2023-10-25,0,POR,LAC,0,111,123,44,93,0.473,10,32,0.313,13,17,0.765,15,40,20,10,4,18,20,47,90,0.522,16,34,0.471,13,16,0.813,14,45,36,11,7,18,20,0.0
2023-10-27,1,POR,ORL,0,97,102,35,88,0.398,9,32,0.281,18,21,0.857,15,47,15,6,1,16,24,36,79,0.456,9,28,0.321,21,32,0.656,10,45,22,10,5,14,16,0.0
2023-10-29,0,POR,PHI,0,98,126,36,94,0.383,7,31,0.226,19,22,0.864,14,42,19,10,9,16,26,40,82,0.488,11,28,0.393,35,40,0.875,11,51,28,10,17,16,20,0.0
2023-10-30,0,POR,TOR,1,99,91,38,85,0.447,11,35,0.314,12,15,0.8,13,51,20,6,7,16,19,38,94,0.404,4,29,0.138,11,15,0.733,14,47,19,10,4,12,17,0.0
2023-11-01,0,POR,DET,1,110,101,38,81,0.469,7,20,0.35,27,33,0.818,7,44,23,10,7,17,15,40,90,0.444,11,29,0.379,10,11,0.909,6,38,24,12,4,18,31,0.25
2023-11-03,1,POR,MEM,1,115,113,39,96,0.406,9,32,0.281,28,36,0.778,15,50,19,12,7,14,15,47,96,0.49,10,35,0.286,9,13,0.692,7,48,29,8,10,17,25,0.4
2023-11-05,1,POR,MEM,0,100,112,37,95,0.389,14,45,0.311,12,15,0.8,16,47,23,11,5,14,21,45,89,0.506,13,32,0.406,9,13,0.692,10,49,27,6,7,17,18,0.5
2023-11-08,0,POR,SAC,0,118,121,44,87,0.506,8,22,0.364,22,29,0.759,7,36,26,10,5,18,29,41,89,0.461,11,37,0.297,28,38,0.737,15,50,32,11,6,21,24,0.42857142857142855
2023-11-12,0,POR,LAL,0,110,116,45,90,0.5,13,37,0.351,7,9,0.778,5,38,29,2,8,16,25,41,84,0.488,4,19,0.211,30,37,0.811,7,41,27,8,4,9,11,0.375
2023-11-14,0,POR,UTA,0,99,115,37,88,0.42,11,35,0.314,14,20,0.7,13,43,23,5,6,17,15,44,95,0.463,13,43,0.302,14,15,0.933,16,52,26,11,6,13,18,0.3333333333333333
2023-11-15,1,POR,CLE,0,95,109,34,91,0.374,13,38,0.342,14,16,0.875,8,30,24,9,3,14,21,42,75,0.56,9,30,0.3,16,21,0.762,7,47,23,5,9,18,16,0.3
2023-11-17,1,POR,LAL,0,95,107,36,89,0.404,10,37,0.27,13,18,0.722,19,48,17,11,2,19,17,40,81,0.494,12,29,0.414,15,22,0.682,11,44,27,11,6,18,16,0.2727272727272727
2023-11-19,1,POR,OKC,0,91,134,34,85,0.4,9,34,0.265,14,21,0.667,13,31,21,10,2,19,15,49,81,0.605,22,36,0.611,14,14,1.0,10,43,28,8,3,18,18,0.25
2023-11-21,0,POR,PHO,0,107,120,38,87,0.437,14,31,0.452,17,20,0.85,12,30,20,8,3,13,20,43,76,0.566,7,17,0.412,27,28,0.964,11,38,26,8,8,15,18,0.23076923076923078
2023-11-22,1,POR,UTA,1,121,105,47,92,0.511,17,39,0.436,10,15,0.667,14,37,31,9,6,14,21,37,79,0.468,10,31,0.323,21,26,0.808,14,44,25,7,3,24,13,0.21428571428571427
2023-11-26,0,POR,MIL,0,102,108,37,91,0.407,13,32,0.406,15,20,0.75,11,40,21,15,4,20,26,35,89,0.393,14,42,0.333,24,32,0.75,18,52,19,13,11,17,20,0.26666666666666666
2023-11-27,0,POR,IND,1,114,110,40,85,0.471,9,18,0.5,25,31,0.806,9,38,20,6,4,16,21,42,88,0.477,8,33,0.242,18,24,0.75,10,42,26,10,6,20,24,0.25
2023-11-30,0,POR,CLE,1,103,95,39,77,0.506,14,35,0.4,11,11,1.0,9,40,29,10,4,23,17,38,89,0.427,7,32,0.219,12,12,1.0,14,35,25,12,2,19,15,0.29411764705882354
2023-12-02,0,POR,UTA,0,113,118,38,95,0.4,13,40,0.325,24,27,0.889,11,40,17,11,5,11,20,46,94,0.489,7,34,0.206,19,24,0.792,16,56,27,5,11,18,21,0.3333333333333333
2023-12-06,0,POR,GSW,0,106,110,39,95,0.411,16,46,0.348,12,16,0.75,11,40,22,8,3,10,30,36,86,0.419,10,34,0.294,28,33,0.848,15,50,20,4,3,17,19,0.3157894736842105
2023-12-08,1,POR,DAL,0,112,125,39,105,0.371,18,53,0.34,16,18,0.889,18,48,20,9,1,15,24,47,91,0.516,12,39,0.308,19,22,0.864,9,42,26,8,5,15,23,0.3
2023-12-11,0,POR,LAC,0,127,132,43,90,0.478,19,40,0.475,22,26,0.846,11,36,25,5,4,12,21,49,89,0.551,13,34,0.382,21,22,0.955,9,35,33,7,9,9,20,0.2857142857142857
2023-12-14,1,POR,UTA,0,114,122,43,103,0.417,16,45,0.356,12,18,0.667,21,49,30,9,4,11,12,49,92,0.533,11,33,0.333,13,14,0.929,13,45,27,9,9,11,14,0.2727272727272727
