Date,Home,Team,Opp,Win,Points Scored,Opp Points Scored,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opp FG,Opp FGA,Opp FG%,Opp 3P,Opp 3PA,Opp 3P%,Opp FT,Opp FTA,Opp FT%,Opp ORB,Opp TRB,Opp AST,Opp STL,Opp BLK,Opp TOV,Opp PF,Win Percentage
2023-10-25,1,SAS,DAL,0,119,126,46,89,0.517,11,35,0.314,16,22,0.727,9,45,33,8,5,19,23,47,99,0.475,15,47,0.319,17,23,0.739,13,48,24,6,3,12,20,0.0
2023-10-27,1,SAS,HOU,1,126,122,46,94,0.489,13,42,0.31,21,28,0.75,12,43,32,11,4,18,17,52,100,0.52,8,32,0.25,10,20,0.5,11,43,30,7,2,18,26,0.0
2023-10-29,0,SAS,LAC,0,83,123,30,80,0.375,11,33,0.333,12,16,0.75,6,37,21,9,6,25,23,47,91,0.516,16,42,0.381,13,21,0.619,9,48,23,15,5,16,16,0.5
2023-10-31,0,SAS,PHO,1,115,114,43,92,0.467,14,37,0.378,15,20,0.75,8,37,25,10,9,12,17,42,83,0.506,18,39,0.462,12,15,0.8,6,43,29,8,7,19,18,0.3333333333333333
2023-11-02,0,SAS,PHO,1,132,121,51,98,0.52,18,37,0.486,12,13,0.923,9,41,37,7,5,8,21,43,80,0.538,16,32,0.5,19,26,0.731,5,34,26,5,4,14,15,0.5
2023-11-05,1,SAS,TOR,0,116,123,48,96,0.5,10,32,0.313,10,13,0.769,9,46,30,7,7,17,21,44,97,0.454,19,48,0.396,16,26,0.615,13,47,29,12,6,15,15,0.6
2023-11-06,0,SAS,IND,0,111,152,40,94,0.426,8,26,0.308,23,30,0.767,12,36,26,7,5,11,15,55,95,0.579,20,38,0.526,22,23,0.957,9,49,38,7,4,15,24,0.5
2023-11-08,0,SAS,NYK,0,105,126,44,90,0.489,9,34,0.265,8,13,0.615,11,46,31,2,7,13,22,46,100,0.46,19,42,0.452,15,22,0.682,13,47,28,7,0,4,14,0.42857142857142855
2023-11-10,1,SAS,MIN,0,110,117,43,92,0.467,12,34,0.353,12,19,0.632,7,38,29,9,8,14,21,43,87,0.494,10,27,0.37,21,27,0.778,13,51,23,6,4,18,19,0.375
2023-11-12,1,SAS,MIA,0,113,118,42,91,0.462,19,44,0.432,10,12,0.833,11,50,35,3,6,17,21,39,89,0.438,12,31,0.387,28,30,0.933,11,41,26,7,3,7,12,0.3333333333333333
2023-11-14,0,SAS,OKC,0,87,123,36,93,0.387,9,30,0.3,6,9,0.667,13,43,24,7,6,25,13,46,89,0.517,15,39,0.385,16,20,0.8,4,40,34,19,6,16,17,0.3
2023-11-17,1,SAS,SAC,0,120,129,43,92,0.467,15,36,0.417,19,23,0.826,6,42,33,7,3,15,21,46,85,0.541,18,42,0.429,19,24,0.792,4,42,31,10,2,14,22,0.2727272727272727
2023-11-18,1,SAS,MEM,0,108,120,36,83,0.434,15,40,0.375,21,26,0.808,12,40,26,5,9,15,28,40,86,0.465,11,33,0.333,29,36,0.806,12,45,23,7,3,14,25,0.25
2023-11-20,1,SAS,LAC,0,99,124,39,90,0.433,10,38,0.263,11,14,0.786,13,49,23,4,7,16,17,45,95,0.474,12,36,0.333,22,25,0.88,10,51,30,15,3,7,10,0.23076923076923078
2023-11-22,1,SAS,LAC,0,102,109,35,91,0.385,11,38,0.289,21,23,0.913,10,44,26,8,6,14,24,39,85,0.459,9,28,0.321,22,29,0.759,11,50,29,10,3,16,23,0.21428571428571427
2023-11-24,0,SAS,GSW,0,112,118,45,100,0.45,12,47,0.255,10,12,0.833,15,46,28,10,3,20,18,40,81,0.494,19,42,0.452,19,24,0.792,7,41,35,7,2,24,21,0.2
2023-11-26,0,SAS,DEN,0,120,132,42,93,0.452,14,37,0.378,22,26,0.846,10,35,34,10,6,15,22,50,89,0.562,12,28,0.429,20,25,0.8,11,45,38,8,3,20,25,0.1875
2023-11-30,1,SAS,ATL,0,135,137,48,89,0.539,18,41,0.439,21,23,0.913,11,47,34,4,7,21,22,49,96,0.51,14,33,0.424,25,29,0.862,8,37,24,14,2,10,25,0.17647058823529413
2023-12-01,0,SAS,NOP,0,106,121,38,83,0.458,16,39,0.41,14,17,0.824,8,39,28,5,5,20,21,42,85,0.494,10,31,0.323,27,29,0.931,10,42,26,8,6,12,15,0.16666666666666666
2023-12-06,0,SAS,MIN,0,94,102,38,101,0.376,8,36,0.222,10,15,0.667,13,49,23,7,4,12,17,36,87,0.414,12,40,0.3,18,21,0.857,11,55,20,4,10,14,16,0.15789473684210525
2023-12-08,1,SAS,CHI,0,112,121,39,83,0.47,17,42,0.405,17,20,0.85,10,44,35,4,9,13,20,47,102,0.461,13,28,0.464,14,24,0.583,24,56,27,9,2,8,19,0.15
2023-12-11,0,SAS,HOU,0,82,93,31,87,0.356,5,41,0.122,15,22,0.682,9,51,20,9,5,17,14,32,93,0.344,12,39,0.308,17,20,0.85,15,60,20,7,2,16,18,0.14285714285714285
2023-12-13,1,SAS,LAL,0,119,122,45,96,0.469,16,37,0.432,13,18,0.722,10,46,28,8,6,17,16,49,91,0.538,14,35,0.4,10,17,0.588,5,46,31,14,4,16,16,0.13636363636363635
2023-12-15,1,SAS,LAL,1,129,115,47,95,0.495,18,42,0.429,17,19,0.895,9,45,35,5,5,9,19,43,89,0.483,11,36,0.306,18,28,0.643,9,43,32,5,5,6,15,0.13043478260869565
2023-12-17,1,SAS,NOP,0,110,146,40,94,0.426,15,42,0.357,15,21,0.714,9,39,29,6,6,13,15,55,98,0.561,22,42,0.524,14,22,0.636,11,51,38,11,3,15,19,0.16666666666666666
2023-12-19,0,SAS,MIL,0,119,132,46,96,0.479,9,30,0.3,18,21,0.857,8,52,27,4,4,16,17,50,106,0.472,18,49,0.367,14,18,0.778,11,47,34,11,7,7,15,0.16
2023-12-21,0,SAS,CHI,0,95,114,37,81,0.457,10,30,0.333,11,16,0.688,9,41,24,6,7,19,11,49,90,0.544,7,28,0.25,9,11,0.818,5,36,24,11,5,12,18,0.15384615384615385
2023-12-23,0,SAS,DAL,0,119,144,44,98,0.449,14,45,0.311,17,24,0.708,8,42,32,9,3,10,16,52,100,0.52,23,45,0.511,17,21,0.81,11,52,26,7,6,13,18,0.14814814814814814
2023-12-26,1,SAS,UTA,0,118,130,44,98,0.449,16,35,0.457,14,21,0.667,13,43,36,8,8,9,18,47,95,0.495,16,43,0.372,20,22,0.909,13,53,34,4,7,14,21,0.14285714285714285
2023-12-28,0,SAS,POR,1,118,105,41,85,0.482,10,36,0.278,26,28,0.929,7,42,33,9,10,11,20,35,101,0.347,11,36,0.306,24,32,0.75,22,57,16,6,4,13,22,0.13793103448275862
2023-12-29,0,SAS,POR,0,128,134,48,94,0.511,14,33,0.424,18,25,0.72,13,42,31,9,3,14,19,48,95,0.505,16,27,0.593,22,27,0.815,16,43,28,8,6,14,19,0.16666666666666666
