Date,Home,Team,Opp,Win,Points Scored,Opp Points Scored,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opp FG,Opp FGA,Opp FG%,Opp 3P,Opp 3PA,Opp 3P%,Opp FT,Opp FTA,Opp FT%,Opp ORB,Opp TRB,Opp AST,Opp STL,Opp BLK,Opp TOV,Opp PF,Win Percentage
2023-10-25,1,TOR,MIN,1,97,94,36,90,0.4,14,35,0.4,11,16,0.688,8,47,27,9,11,14,18,34,100,0.34,8,31,0.258,18,22,0.818,16,62,20,8,9,14,14,0.0
2023-10-27,0,TOR,CHI,0,103,104,39,84,0.464,9,36,0.25,16,25,0.64,8,53,25,5,2,23,29,37,99,0.374,8,39,0.205,22,28,0.786,15,52,18,10,5,17,22,1.0
2023-10-28,1,TOR,PHI,0,107,114,38,87,0.437,17,32,0.531,14,19,0.737,13,41,28,5,5,13,19,43,86,0.5,10,28,0.357,18,21,0.857,9,42,25,8,7,11,18,0.5
2023-10-30,1,TOR,POR,0,91,99,38,94,0.404,4,29,0.138,11,15,0.733,14,47,19,10,4,12,17,38,85,0.447,11,35,0.314,12,15,0.8,13,51,20,6,7,16,19,0.3333333333333333
2023-11-01,1,TOR,MIL,1,130,111,51,91,0.56,15,38,0.395,13,14,0.929,15,50,35,7,6,18,25,35,76,0.461,13,34,0.382,28,38,0.737,7,29,19,9,2,12,17,0.25
2023-11-02,0,TOR,PHI,0,99,114,38,79,0.481,10,28,0.357,13,19,0.684,9,41,30,4,3,19,20,42,92,0.457,9,25,0.36,21,25,0.84,15,46,21,12,3,14,19,0.4
2023-11-05,0,TOR,SAS,1,123,116,44,97,0.454,19,48,0.396,16,26,0.615,13,47,29,12,6,15,15,48,96,0.5,10,32,0.313,10,13,0.769,9,46,30,7,7,17,21,0.3333333333333333
2023-11-08,0,TOR,DAL,1,127,116,49,99,0.495,11,36,0.306,18,27,0.667,15,50,27,10,4,12,25,40,84,0.476,17,41,0.415,19,31,0.613,6,38,25,4,6,16,21,0.42857142857142855
2023-11-11,0,TOR,BOS,0,94,117,35,91,0.385,10,37,0.27,14,16,0.875,7,37,25,8,1,9,14,47,86,0.547,15,44,0.341,8,13,0.615,5,46,30,1,4,13,14,0.5
2023-11-13,1,TOR,WAS,1,111,107,45,90,0.5,4,20,0.2,17,25,0.68,16,48,28,11,4,19,13,43,84,0.512,12,26,0.462,9,12,0.75,8,38,32,11,5,22,22,0.4444444444444444
2023-11-15,1,TOR,MIL,0,112,128,38,96,0.396,9,33,0.273,27,31,0.871,26,55,28,10,8,14,19,44,85,0.518,20,39,0.513,20,21,0.952,9,41,25,8,9,13,25,0.5
2023-11-17,1,TOR,BOS,0,105,108,42,87,0.483,12,33,0.364,9,14,0.643,5,41,29,4,1,13,11,42,92,0.457,16,46,0.348,8,9,0.889,8,44,29,5,4,11,13,0.45454545454545453
2023-11-19,1,TOR,DET,1,142,113,55,102,0.539,14,36,0.389,18,29,0.621,12,47,44,10,5,8,23,39,83,0.47,9,26,0.346,26,35,0.743,7,41,25,3,3,17,23,0.4166666666666667
2023-11-21,0,TOR,ORL,0,107,126,38,75,0.507,14,28,0.5,17,22,0.773,5,38,29,6,6,24,20,50,100,0.5,12,31,0.387,14,20,0.7,15,40,31,12,8,13,19,0.46153846153846156
2023-11-22,0,TOR,IND,1,132,131,48,90,0.533,11,27,0.407,25,30,0.833,13,46,26,7,3,19,15,50,91,0.549,18,39,0.462,13,16,0.813,5,31,33,10,6,15,24,0.42857142857142855
2023-11-24,1,TOR,CHI,1,121,108,44,83,0.53,13,39,0.333,20,27,0.741,13,40,32,8,6,14,14,42,82,0.512,12,27,0.444,12,19,0.632,9,37,20,5,2,13,20,0.4666666666666667
2023-11-26,0,TOR,CLE,0,102,105,37,89,0.416,8,32,0.25,20,29,0.69,17,50,17,9,3,12,11,45,97,0.464,10,31,0.323,5,6,0.833,12,49,29,2,5,14,18,0.5
2023-11-28,0,TOR,BRK,0,103,115,39,101,0.386,13,36,0.361,12,19,0.632,15,46,27,11,3,7,21,40,89,0.449,13,38,0.342,22,26,0.846,13,59,26,7,8,15,17,0.47058823529411764
2023-11-29,1,TOR,PHO,1,112,105,42,93,0.452,10,27,0.37,18,21,0.857,15,49,25,7,5,10,22,38,94,0.404,7,26,0.269,22,23,0.957,12,47,25,3,5,10,15,0.4444444444444444
2023-12-01,1,TOR,NYK,0,106,119,44,100,0.44,6,32,0.188,12,17,0.706,19,48,32,7,6,12,19,45,90,0.5,16,36,0.444,13,16,0.813,11,43,30,6,3,13,15,0.47368421052631576
2023-12-06,1,TOR,MIA,0,103,112,37,86,0.43,14,37,0.378,15,17,0.882,8,46,29,3,8,14,18,41,89,0.461,14,38,0.368,16,19,0.842,8,44,33,5,4,7,18,0.45
2023-12-08,0,TOR,CHO,0,116,119,47,93,0.505,6,32,0.188,16,21,0.762,14,42,32,7,2,14,21,44,79,0.557,13,25,0.52,18,20,0.9,7,31,30,7,4,16,15,0.42857142857142855
2023-12-11,0,TOR,NYK,0,130,136,47,96,0.49,14,39,0.359,22,30,0.733,17,38,32,12,0,10,21,52,86,0.605,17,29,0.586,15,23,0.652,14,42,36,5,3,15,22,0.4090909090909091
2023-12-13,1,TOR,ATL,1,135,128,50,87,0.575,18,34,0.529,17,24,0.708,9,47,39,3,9,15,18,48,100,0.48,18,41,0.439,14,19,0.737,13,42,32,9,8,7,18,0.391304347826087
2023-12-15,1,TOR,ATL,0,104,125,40,77,0.519,10,31,0.323,14,25,0.56,3,32,30,8,6,14,19,52,101,0.515,16,41,0.39,5,6,0.833,16,55,34,4,4,14,19,0.4166666666666667
2023-12-18,1,TOR,CHO,1,114,99,44,86,0.512,8,29,0.276,18,22,0.818,15,51,30,4,4,19,16,39,89,0.438,8,32,0.25,13,13,1.0,10,36,18,8,6,13,19,0.4
2023-12-20,1,TOR,DEN,0,104,113,43,90,0.478,9,27,0.333,9,13,0.692,10,41,26,3,5,11,12,49,98,0.5,12,33,0.364,3,7,0.429,15,46,29,9,9,9,13,0.4230769230769231
2023-12-22,0,TOR,PHI,0,111,121,39,87,0.448,9,33,0.273,24,28,0.857,11,46,30,9,6,12,16,44,83,0.53,14,31,0.452,19,21,0.905,3,38,34,6,6,14,21,0.4074074074074074
2023-12-23,1,TOR,UTA,0,119,126,45,94,0.479,13,32,0.406,16,19,0.842,12,39,35,7,5,11,17,48,91,0.527,17,38,0.447,13,14,0.929,8,41,35,7,5,12,17,0.39285714285714285
2023-12-27,0,TOR,WAS,1,132,102,52,91,0.571,15,38,0.395,13,19,0.684,14,53,43,12,5,20,18,42,90,0.467,8,33,0.242,10,15,0.667,10,34,25,11,3,17,17,0.3793103448275862
2023-12-29,0,TOR,BOS,0,118,120,44,95,0.463,17,44,0.386,13,20,0.65,9,38,29,10,6,5,15,43,88,0.489,17,39,0.436,17,20,0.85,13,52,29,3,6,16,17,0.4
2023-12-30,0,TOR,DET,0,127,129,46,91,0.505,12,24,0.5,23,28,0.821,6,33,26,9,5,8,27,41,82,0.5,12,28,0.429,35,40,0.875,6,41,29,4,4,12,22,0.3870967741935484
2024-01-01,1,TOR,CLE,1,124,121,42,87,0.483,11,30,0.367,29,40,0.725,10,47,25,5,4,11,22,43,89,0.483,12,36,0.333,23,26,0.885,6,43,25,9,2,9,29,0.375
2024-01-03,0,TOR,MEM,1,116,111,41,85,0.482,12,26,0.462,22,27,0.815,7,46,25,5,6,12,20,40,94,0.426,15,42,0.357,16,19,0.842,9,43,25,7,5,10,19,0.3939393939393939
2024-01-05,0,TOR,SAC,0,130,135,47,87,0.54,13,37,0.351,23,27,0.852,8,37,31,5,10,14,20,52,100,0.52,21,38,0.553,10,15,0.667,11,42,35,4,1,15,23,0.4117647058823529
2024-01-07,0,TOR,GSW,1,133,118,55,94,0.585,15,33,0.455,8,14,0.571,9,45,38,7,6,7,14,45,100,0.45,14,46,0.304,14,15,0.933,15,43,30,5,4,11,11,0.4
2024-01-09,0,TOR,LAL,0,131,132,53,94,0.564,17,35,0.486,8,13,0.615,5,37,34,8,4,12,26,44,81,0.543,16,36,0.444,28,36,0.778,5,39,34,6,4,15,16,0.4166666666666667
2024-01-10,0,TOR,LAC,0,120,126,46,84,0.548,12,30,0.4,16,18,0.889,7,37,31,4,2,15,17,49,93,0.527,15,34,0.441,13,13,1.0,11,36,34,6,5,7,17,0.40540540540540543
2024-01-12,0,TOR,UTA,0,113,145,35,81,0.432,17,34,0.5,26,37,0.703,8,31,25,5,8,13,21,52,93,0.559,21,43,0.488,20,26,0.769,14,56,34,7,8,14,23,0.39473684210526316
2024-01-15,1,TOR,BOS,0,96,105,38,95,0.4,4,32,0.125,16,21,0.762,9,52,25,6,2,7,21,33,82,0.402,16,39,0.41,23,25,0.92,5,53,20,3,7,13,16,0.38461538461538464
2024-01-17,1,TOR,MIA,1,121,97,45,88,0.511,20,38,0.526,11,18,0.611,13,45,34,9,4,12,14,41,90,0.456,6,28,0.214,9,12,0.75,12,37,24,4,5,14,13,0.375
2024-01-18,1,TOR,CHI,0,110,116,42,83,0.506,10,38,0.263,16,20,0.8,7,38,31,7,5,14,18,48,91,0.527,6,24,0.25,14,17,0.824,9,42,30,7,5,12,22,0.3902439024390244
2024-01-20,0,TOR,NYK,0,100,126,38,92,0.413,11,34,0.324,13,23,0.565,11,31,29,10,5,10,18,48,88,0.545,14,39,0.359,16,20,0.8,15,61,27,4,7,22,20,0.38095238095238093
2024-01-22,1,TOR,MEM,0,100,108,35,79,0.443,8,23,0.348,22,23,0.957,12,47,31,7,8,17,14,44,95,0.463,13,34,0.382,7,12,0.583,19,47,30,11,8,16,15,0.37209302325581395
2024-01-26,1,TOR,LAC,0,107,127,44,96,0.458,6,32,0.188,13,22,0.591,15,45,26,6,3,11,18,48,95,0.505,9,32,0.281,22,24,0.917,12,50,29,6,7,11,17,0.36363636363636365
2024-01-28,0,TOR,ATL,0,125,126,41,89,0.461,15,31,0.484,28,32,0.875,15,46,29,12,3,14,30,44,95,0.463,6,27,0.222,32,40,0.8,20,51,27,7,4,14,21,0.35555555555555557
2024-01-30,0,TOR,CHI,1,118,107,43,83,0.518,14,29,0.483,18,20,0.9,9,38,34,10,4,20,20,38,75,0.507,11,32,0.344,20,27,0.741,6,33,21,9,9,20,16,0.34782608695652173
