Date,Home,Team,Opp,Win,Points Scored,Opp Points Scored,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opp FG,Opp FGA,Opp FG%,Opp 3P,Opp 3PA,Opp 3P%,Opp FT,Opp FTA,Opp FT%,Opp ORB,Opp TRB,Opp AST,Opp STL,Opp BLK,Opp TOV,Opp PF,Win Percentage
2023-10-25,1,UTA,SAC,0,114,130,41,91,0.451,9,28,0.321,23,31,0.742,16,54,22,6,2,14,20,47,102,0.461,19,51,0.373,17,20,0.85,15,45,29,6,8,12,25,0.0
2023-10-27,1,UTA,LAC,1,120,118,42,96,0.438,16,41,0.39,20,22,0.909,17,45,27,7,4,14,24,41,77,0.532,14,35,0.4,22,28,0.786,6,36,17,8,6,16,22,0.0
2023-10-28,0,UTA,PHO,0,104,126,40,91,0.44,12,37,0.324,12,14,0.857,15,45,26,6,5,19,20,45,85,0.529,10,37,0.27,26,28,0.929,7,39,31,10,7,11,19,0.5
2023-10-30,0,UTA,DEN,0,102,110,42,98,0.429,11,37,0.297,7,15,0.467,17,51,30,6,2,13,21,47,84,0.56,9,28,0.321,7,17,0.412,7,43,32,4,8,13,14,0.3333333333333333
2023-11-01,1,UTA,MEM,1,133,109,47,87,0.54,22,43,0.512,17,24,0.708,10,50,35,7,3,21,22,35,96,0.365,14,54,0.259,25,32,0.781,14,42,25,12,7,16,22,0.25
2023-11-02,1,UTA,ORL,0,113,115,41,89,0.461,12,33,0.364,19,26,0.731,13,48,27,9,7,20,27,39,85,0.459,10,29,0.345,27,36,0.75,10,43,27,17,9,17,25,0.4
2023-11-04,0,UTA,MIN,0,95,123,35,91,0.385,12,43,0.279,13,17,0.765,17,39,20,3,7,18,20,45,81,0.556,9,24,0.375,24,31,0.774,9,43,25,10,11,11,23,0.3333333333333333
2023-11-06,0,UTA,CHI,0,113,130,41,86,0.477,16,43,0.372,15,17,0.882,17,52,32,1,7,23,20,48,93,0.516,18,34,0.529,16,19,0.842,10,36,26,12,3,8,18,0.2857142857142857
2023-11-08,0,UTA,IND,0,118,134,45,96,0.469,11,27,0.407,17,18,0.944,16,47,26,3,5,22,17,52,101,0.515,13,41,0.317,17,20,0.85,14,46,26,14,7,12,15,0.25
2023-11-10,0,UTA,MEM,1,127,121,41,76,0.539,18,37,0.486,27,29,0.931,8,38,28,10,12,21,17,46,101,0.455,19,48,0.396,10,13,0.769,14,37,23,5,5,11,23,0.2222222222222222
2023-11-14,1,UTA,POR,1,115,99,44,95,0.463,13,43,0.302,14,15,0.933,16,52,26,11,6,13,18,37,88,0.42,11,35,0.314,14,20,0.7,13,43,23,5,6,17,15,0.3
2023-11-17,1,UTA,PHO,0,128,131,43,85,0.506,16,36,0.444,26,31,0.839,10,39,27,3,10,8,23,45,86,0.523,18,33,0.545,23,26,0.885,5,36,35,5,4,9,22,0.36363636363636365
2023-11-19,1,UTA,PHO,0,137,140,48,115,0.417,15,46,0.326,26,32,0.813,27,59,27,11,5,19,27,50,102,0.49,18,45,0.4,22,26,0.846,11,44,36,11,13,18,28,0.3333333333333333
2023-11-21,0,UTA,LAL,0,99,131,38,98,0.388,11,44,0.25,12,16,0.75,13,42,25,6,3,14,22,49,86,0.57,11,29,0.379,22,27,0.815,9,52,35,6,5,15,15,0.3076923076923077
2023-11-22,0,UTA,POR,0,105,121,37,79,0.468,10,31,0.323,21,26,0.808,14,44,25,7,3,24,13,47,92,0.511,17,39,0.436,10,15,0.667,14,37,31,9,6,14,21,0.2857142857142857
2023-11-25,1,UTA,NOP,1,105,100,38,87,0.437,15,43,0.349,14,17,0.824,14,52,23,8,6,24,13,39,93,0.419,11,36,0.306,11,18,0.611,13,42,31,15,4,13,17,0.26666666666666666
2023-11-27,1,UTA,NOP,1,114,112,37,88,0.42,17,48,0.354,23,28,0.821,9,43,31,6,4,10,23,44,88,0.5,7,22,0.318,17,25,0.68,11,48,27,5,1,8,25,0.3125
2023-11-29,0,UTA,MEM,0,91,105,34,90,0.378,16,39,0.41,7,12,0.583,12,39,26,8,8,18,14,43,87,0.494,13,39,0.333,6,8,0.75,12,51,26,9,10,17,15,0.35294117647058826
2023-11-30,0,UTA,MIN,0,90,101,33,87,0.379,11,34,0.324,13,14,0.929,13,51,22,6,4,21,19,39,89,0.438,13,35,0.371,10,13,0.769,10,42,29,13,7,12,16,0.3333333333333333
2023-12-02,1,UTA,POR,1,118,113,46,94,0.489,7,34,0.206,19,24,0.792,16,56,27,5,11,18,21,38,95,0.4,13,40,0.325,24,27,0.889,11,40,17,11,5,11,20,0.3157894736842105
2023-12-06,0,UTA,DAL,0,97,147,35,87,0.402,12,33,0.364,15,18,0.833,11,43,22,6,3,19,20,56,101,0.554,22,49,0.449,13,19,0.684,11,47,37,11,5,8,14,0.35
2023-12-08,1,UTA,LAC,0,103,117,38,84,0.452,9,31,0.29,18,24,0.75,8,40,23,10,10,16,17,43,88,0.489,15,34,0.441,16,21,0.762,11,40,23,8,9,14,18,0.3333333333333333
2023-12-11,0,UTA,OKC,0,120,134,44,92,0.478,12,38,0.316,20,21,0.952,9,41,32,9,9,17,21,50,96,0.521,18,38,0.474,16,17,0.941,7,39,35,9,7,12,17,0.3181818181818182
2023-12-13,1,UTA,NYK,1,117,113,43,98,0.439,16,42,0.381,15,21,0.714,15,53,31,5,4,16,27,41,94,0.436,9,39,0.231,22,32,0.688,14,46,21,10,4,11,21,0.30434782608695654
2023-12-14,0,UTA,POR,1,122,114,49,92,0.533,11,33,0.333,13,14,0.929,13,45,27,9,9,11,14,43,103,0.417,16,45,0.356,12,18,0.667,21,49,30,9,4,11,12,0.3333333333333333
2023-12-16,0,UTA,SAC,0,104,125,38,86,0.442,12,37,0.324,16,21,0.762,9,37,28,8,3,13,12,46,85,0.541,22,45,0.489,11,15,0.733,8,45,36,6,2,18,17,0.36
2023-12-18,1,UTA,BRK,1,125,108,45,91,0.495,14,34,0.412,21,24,0.875,12,51,30,6,8,14,20,39,90,0.433,16,39,0.41,14,20,0.7,11,36,25,4,9,14,17,0.34615384615384615
2023-12-20,0,UTA,CLE,0,116,124,40,78,0.513,13,30,0.433,23,28,0.821,6,38,24,5,6,16,22,45,96,0.469,23,51,0.451,11,16,0.688,14,44,34,8,3,12,23,0.37037037037037035
2023-12-21,0,UTA,DET,1,119,111,43,94,0.457,11,30,0.367,22,24,0.917,15,44,26,15,7,13,18,43,86,0.5,9,31,0.29,16,19,0.842,12,41,24,6,9,21,19,0.35714285714285715
2023-12-23,0,UTA,TOR,1,126,119,48,91,0.527,17,38,0.447,13,14,0.929,8,41,35,7,5,12,17,45,94,0.479,13,32,0.406,16,19,0.842,12,39,35,7,5,11,17,0.3793103448275862
2023-12-26,0,UTA,SAS,1,130,118,47,95,0.495,16,43,0.372,20,22,0.909,13,53,34,4,7,14,21,44,98,0.449,16,35,0.457,14,21,0.667,13,43,36,8,8,9,18,0.4
2023-12-28,0,UTA,NOP,0,105,112,36,85,0.424,12,39,0.308,21,25,0.84,17,42,27,5,3,19,15,45,82,0.549,10,27,0.37,12,15,0.8,6,35,27,10,7,15,19,0.41935483870967744
2023-12-30,1,UTA,MIA,1,117,109,43,93,0.462,11,41,0.268,20,28,0.714,9,43,29,8,6,10,25,34,78,0.436,9,31,0.29,32,40,0.8,8,46,20,8,8,16,24,0.40625
2024-01-01,1,UTA,DAL,1,127,90,49,96,0.51,12,44,0.273,17,18,0.944,7,53,37,9,6,13,15,37,93,0.398,11,40,0.275,5,10,0.5,8,41,28,6,5,16,15,0.42424242424242425
2024-01-03,1,UTA,DET,1,154,148,53,103,0.515,16,32,0.5,32,35,0.914,15,43,28,11,8,12,22,56,105,0.533,19,41,0.463,17,22,0.773,16,48,33,5,3,17,27,0.4411764705882353
2024-01-05,0,UTA,BOS,0,97,126,34,94,0.362,6,34,0.176,23,34,0.676,16,57,23,11,2,18,24,39,90,0.433,17,49,0.347,31,36,0.861,9,56,24,9,8,14,23,0.45714285714285713
2024-01-06,0,UTA,PHI,1,120,109,46,80,0.575,8,30,0.267,20,24,0.833,9,48,30,4,4,24,18,42,104,0.404,7,38,0.184,18,23,0.783,15,34,30,12,6,6,20,0.4444444444444444
2024-01-08,0,UTA,MIL,1,132,116,47,90,0.522,20,44,0.455,18,22,0.818,10,47,33,6,8,11,15,42,94,0.447,17,36,0.472,15,19,0.789,11,38,31,6,6,9,20,0.4594594594594595
2024-01-10,1,UTA,DEN,1,124,111,46,83,0.554,13,33,0.394,19,23,0.826,7,40,34,12,8,17,19,37,81,0.457,13,33,0.394,24,28,0.857,8,34,26,11,4,16,23,0.47368421052631576
2024-01-12,1,UTA,TOR,1,145,113,52,93,0.559,21,43,0.488,20,26,0.769,14,56,34,7,8,14,23,35,81,0.432,17,34,0.5,26,37,0.703,8,31,25,5,8,13,21,0.48717948717948717
2024-01-13,1,UTA,LAL,1,132,125,42,93,0.452,12,37,0.324,36,39,0.923,13,52,28,7,5,10,20,46,92,0.5,13,29,0.448,20,24,0.833,7,40,30,6,8,12,23,0.5
2024-01-15,1,UTA,IND,1,132,105,45,81,0.556,11,25,0.44,31,35,0.886,10,46,29,5,8,15,17,38,95,0.4,9,31,0.29,20,25,0.8,18,43,27,9,4,14,31,0.5121951219512195
2024-01-18,1,UTA,OKC,0,129,134,43,89,0.483,13,32,0.406,30,36,0.833,11,38,33,7,4,15,21,48,86,0.558,14,32,0.438,24,28,0.857,7,38,36,8,10,16,29,0.5238095238095238
2024-01-20,0,UTA,HOU,0,126,127,48,105,0.457,13,43,0.302,17,22,0.773,16,59,28,4,8,17,24,50,117,0.427,13,39,0.333,14,22,0.636,23,56,27,11,10,7,22,0.5116279069767442
2024-01-23,0,UTA,NOP,0,124,153,43,92,0.467,12,36,0.333,26,32,0.813,6,38,27,4,8,8,15,60,104,0.577,23,46,0.5,10,15,0.667,12,57,41,5,4,9,24,0.5
2024-01-25,0,UTA,WAS,1,123,108,50,97,0.515,13,31,0.419,10,12,0.833,13,52,34,6,2,16,19,43,88,0.489,7,30,0.233,15,20,0.75,5,35,33,11,7,11,14,0.4888888888888889
2024-01-27,0,UTA,CHO,1,134,122,52,93,0.559,17,41,0.415,13,17,0.765,15,49,38,6,6,14,18,47,92,0.511,13,32,0.406,15,21,0.714,9,35,35,7,6,10,22,0.5
2024-01-29,0,UTA,BRK,0,114,147,39,86,0.453,9,27,0.333,27,34,0.794,12,44,23,3,7,17,14,54,105,0.514,21,45,0.467,18,19,0.947,16,50,41,12,9,9,24,0.5106382978723404
2024-01-30,0,UTA,NYK,0,103,118,39,86,0.453,12,36,0.333,13,17,0.765,15,43,23,3,5,15,16,44,94,0.468,13,34,0.382,17,18,0.944,14,45,29,9,7,6,16,0.5
2024-02-01,1,UTA,PHI,0,124,127,45,87,0.517,12,36,0.333,22,25,0.88,10,43,36,3,9,11,15,47,94,0.5,14,32,0.438,19,21,0.905,10,40,27,6,11,5,22,0.4897959183673469
2024-02-04,1,UTA,MIL,1,123,108,43,89,0.483,17,44,0.386,20,24,0.833,12,52,31,3,3,16,24,39,84,0.464,15,41,0.366,15,25,0.6,7,32,27,8,3,12,21,0.48
2024-02-06,1,UTA,OKC,1,124,117,46,89,0.517,14,35,0.4,18,20,0.9,15,48,29,9,8,17,17,43,90,0.478,19,37,0.514,12,18,0.667,9,32,26,9,9,11,16,0.49019607843137253
2024-02-08,0,UTA,PHO,0,115,129,41,94,0.436,12,35,0.343,21,31,0.677,19,52,28,7,7,15,14,52,88,0.591,14,29,0.483,11,16,0.688,5,37,37,10,7,12,22,0.5
2024-02-12,1,UTA,GSW,0,107,129,41,92,0.446,11,32,0.344,14,16,0.875,9,44,23,8,7,18,17,48,100,0.48,20,44,0.455,13,17,0.765,12,51,31,8,4,13,13,0.49056603773584906
2024-02-14,1,UTA,LAL,0,122,138,49,101,0.485,14,45,0.311,10,13,0.769,15,44,29,5,7,13,21,52,91,0.571,14,31,0.452,20,24,0.833,5,37,34,8,4,10,13,0.48148148148148145
2024-02-15,1,UTA,GSW,0,137,140,43,93,0.462,22,49,0.449,29,32,0.906,17,48,33,10,3,16,22,49,92,0.533,20,42,0.476,22,28,0.786,13,41,42,8,6,13,19,0.4727272727272727
2024-02-22,1,UTA,CHO,0,107,115,37,86,0.43,9,39,0.231,24,27,0.889,15,54,26,3,2,19,21,40,92,0.435,20,42,0.476,15,22,0.682,12,42,28,11,3,10,23,0.4642857142857143
2024-02-25,1,UTA,SAS,1,128,109,46,90,0.511,17,35,0.486,19,22,0.864,5,38,36,13,8,17,17,42,91,0.462,13,31,0.419,12,19,0.632,10,46,34,8,11,20,17,0.45614035087719296
2024-02-27,0,UTA,ATL,0,97,124,35,94,0.372,11,38,0.289,16,19,0.842,12,43,24,11,4,18,15,46,93,0.495,12,32,0.375,20,23,0.87,15,55,27,8,8,18,15,0.46551724137931033
2024-02-29,0,UTA,ORL,0,107,115,34,80,0.425,16,37,0.432,23,28,0.821,7,37,25,8,1,13,22,42,77,0.545,10,30,0.333,21,31,0.677,10,45,27,9,6,15,20,0.4576271186440678
2024-03-02,0,UTA,MIA,0,120,126,42,87,0.483,14,35,0.4,22,26,0.846,12,42,24,3,5,11,19,46,88,0.523,13,34,0.382,21,25,0.84,8,34,33,6,6,6,20,0.45
2024-03-04,1,UTA,WAS,1,127,115,49,101,0.485,16,40,0.4,13,15,0.867,11,51,29,6,9,13,16,40,94,0.426,16,38,0.421,19,23,0.826,10,43,26,6,3,15,15,0.4426229508196721
2024-03-06,1,UTA,CHI,0,117,119,44,96,0.458,15,47,0.319,14,16,0.875,14,45,28,4,7,10,14,45,90,0.5,17,39,0.436,12,15,0.8,7,39,29,7,4,9,13,0.45161290322580644
2024-03-09,0,UTA,DEN,0,121,142,47,94,0.5,8,26,0.308,19,25,0.76,14,36,22,7,2,15,15,55,83,0.663,19,32,0.594,13,16,0.813,5,32,40,8,10,14,22,0.4444444444444444
2024-03-12,1,UTA,BOS,0,107,123,41,86,0.477,15,32,0.469,10,11,0.909,9,38,23,4,7,10,18,43,92,0.467,20,49,0.408,17,19,0.895,14,46,25,5,8,9,14,0.4375
2024-03-15,1,UTA,ATL,1,124,122,46,90,0.511,14,36,0.389,18,20,0.9,10,49,24,6,7,13,21,41,92,0.446,20,39,0.513,20,27,0.741,11,41,32,7,5,9,16,0.4307692307692308
2024-03-16,1,UTA,MIN,0,100,119,38,83,0.458,6,26,0.231,18,21,0.857,10,51,23,4,5,16,14,44,93,0.473,19,41,0.463,12,15,0.8,7,44,31,8,6,9,16,0.4393939393939394
2024-03-18,1,UTA,MIN,0,104,114,39,84,0.464,14,32,0.438,12,14,0.857,14,47,25,6,3,17,13,44,91,0.484,16,41,0.39,10,12,0.833,12,35,27,9,9,9,15,0.43283582089552236
2024-03-20,0,UTA,OKC,0,107,119,40,90,0.444,10,36,0.278,17,18,0.944,11,47,20,6,5,16,22,43,88,0.489,10,34,0.294,23,29,0.793,10,45,29,10,7,10,16,0.4264705882352941
