Date,Home,Team,Opp,Win,Points Scored,Opp Points Scored,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opp FG,Opp FGA,Opp FG%,Opp 3P,Opp 3PA,Opp 3P%,Opp FT,Opp FTA,Opp FT%,Opp ORB,Opp TRB,Opp AST,Opp STL,Opp BLK,Opp TOV,Opp PF,Win Percentage
2024-10-22,1,BOS,NYK,1,132,109,48,95,0.505,29,61,0.475,7,8,0.875,11,40,33,6,3,4,15,43,78,0.551,11,30,0.367,12,16,0.75,5,34,20,2,3,12,12,0.0
2024-10-24,0,BOS,WAS,1,122,102,42,90,0.467,17,45,0.378,21,27,0.778,12,49,21,7,3,14,19,41,95,0.432,7,36,0.194,13,18,0.722,10,40,27,9,6,15,19,1.0
2024-10-26,0,BOS,DET,1,124,118,38,90,0.422,22,48,0.458,26,30,0.867,13,37,19,10,6,10,16,43,88,0.489,14,39,0.359,18,22,0.818,9,44,27,4,7,15,22,1.0
2024-10-28,1,BOS,MIL,1,119,108,43,87,0.494,18,47,0.383,15,19,0.789,4,38,24,5,5,14,18,37,82,0.451,8,31,0.258,26,31,0.839,8,43,18,7,6,17,24,1.0
2024-10-30,0,BOS,IND,0,132,135,44,109,0.404,19,57,0.333,25,31,0.806,18,51,23,11,5,14,19,50,104,0.481,15,38,0.395,20,24,0.833,16,57,33,10,5,19,26,1.0
2024-11-01,0,BOS,CHO,1,124,109,41,86,0.477,13,42,0.31,29,35,0.829,11,41,21,12,5,10,13,42,91,0.462,19,48,0.396,6,12,0.5,12,42,20,5,5,16,26,0.8
2024-11-02,0,BOS,CHO,1,113,103,36,82,0.439,16,52,0.308,25,28,0.893,8,44,23,4,4,15,17,40,91,0.44,17,42,0.405,6,9,0.667,7,34,24,10,1,13,25,0.8333333333333334
2024-11-04,0,BOS,ATL,1,123,93,48,99,0.485,18,55,0.327,9,13,0.692,11,50,27,15,7,13,14,37,89,0.416,6,31,0.194,13,16,0.813,8,43,23,9,3,20,13,0.8571428571428571
2024-11-06,1,BOS,GSW,0,112,118,38,90,0.422,19,54,0.352,17,21,0.81,13,47,22,5,3,12,18,42,91,0.462,14,34,0.412,20,24,0.833,15,53,22,6,5,11,19,0.875
2024-11-08,1,BOS,BRK,1,108,104,39,90,0.433,14,53,0.264,16,19,0.842,4,39,23,7,9,13,15,41,100,0.41,10,38,0.263,12,15,0.8,12,51,24,6,3,13,22,0.7777777777777778
2024-11-10,0,BOS,MIL,1,113,107,35,86,0.407,19,50,0.38,24,27,0.889,8,42,27,5,2,12,16,39,81,0.481,13,32,0.406,16,21,0.762,5,41,21,9,8,13,18,0.8
2024-11-12,1,BOS,ATL,0,116,117,38,75,0.507,18,45,0.4,22,27,0.815,6,34,28,7,5,20,12,50,99,0.505,10,32,0.313,7,13,0.538,19,44,35,16,2,16,17,0.8181818181818182
2024-11-13,0,BOS,BRK,1,139,114,50,93,0.538,22,46,0.478,17,24,0.708,12,45,35,7,6,8,17,40,79,0.506,19,43,0.442,15,18,0.833,3,34,26,4,3,13,20,0.75
2024-11-16,1,BOS,TOR,1,126,123,44,99,0.444,21,61,0.344,17,19,0.895,14,42,30,2,6,9,20,50,98,0.51,9,23,0.391,14,21,0.667,15,46,35,3,2,9,19,0.7692307692307693
2024-11-19,1,BOS,CLE,1,120,117,44,86,0.512,22,41,0.537,10,14,0.714,9,42,32,4,4,13,19,46,93,0.495,10,29,0.345,15,17,0.882,12,41,30,4,3,7,15,0.7857142857142857
2024-11-22,0,BOS,WAS,1,108,96,36,85,0.424,11,46,0.239,25,32,0.781,10,43,22,11,7,12,19,39,90,0.433,7,28,0.25,11,16,0.688,10,48,19,6,4,20,29,0.8
2024-11-24,1,BOS,MIN,1,107,105,37,87,0.425,21,56,0.375,12,15,0.8,8,40,25,5,7,7,23,37,88,0.42,15,41,0.366,16,21,0.762,11,49,19,2,1,8,18,0.8125
2024-11-25,1,BOS,LAC,1,126,94,45,88,0.511,22,51,0.431,14,20,0.7,8,47,33,10,11,11,12,39,90,0.433,7,26,0.269,9,13,0.692,10,44,18,8,3,14,12,0.8235294117647058
2024-11-29,0,BOS,CHI,1,138,129,49,98,0.5,23,54,0.426,17,23,0.739,11,51,24,6,2,9,13,48,93,0.516,20,51,0.392,13,16,0.813,5,43,28,7,2,8,17,0.8333333333333334
2024-12-01,0,BOS,CLE,0,111,115,38,95,0.4,17,49,0.347,18,19,0.947,10,46,17,11,6,11,19,39,80,0.488,17,36,0.472,20,25,0.8,6,44,22,5,7,18,20,0.8421052631578947
2024-12-02,1,BOS,MIA,1,108,89,39,89,0.438,19,55,0.345,11,13,0.846,14,54,25,5,9,17,20,31,87,0.356,8,35,0.229,19,23,0.826,11,44,24,6,1,10,11,0.8
2024-12-04,1,BOS,DET,1,130,120,45,94,0.479,21,53,0.396,19,25,0.76,14,43,30,11,7,16,14,43,84,0.512,20,39,0.513,14,18,0.778,8,34,27,10,5,19,21,0.8095238095238095
2024-12-06,1,BOS,MIL,1,111,105,40,87,0.46,17,53,0.321,14,16,0.875,7,41,27,5,6,6,18,40,94,0.426,11,29,0.379,14,17,0.824,12,51,16,4,2,9,16,0.8181818181818182
2024-12-07,1,BOS,MEM,0,121,127,42,105,0.4,18,60,0.3,19,28,0.679,15,51,26,6,7,13,16,47,94,0.5,15,33,0.455,18,23,0.783,11,52,25,13,7,13,25,0.8260869565217391
2024-12-12,1,BOS,DET,1,123,99,46,90,0.511,20,48,0.417,11,13,0.846,8,51,34,6,4,14,9,42,98,0.429,7,37,0.189,8,10,0.8,9,43,27,8,4,8,12,0.7916666666666666
2024-12-15,0,BOS,WAS,1,112,98,40,93,0.43,18,46,0.391,14,24,0.583,16,56,26,11,5,18,15,40,99,0.404,13,40,0.325,5,8,0.625,17,51,22,10,7,16,25,0.8
2024-12-19,1,BOS,CHI,0,108,117,38,97,0.392,14,56,0.25,18,21,0.857,11,45,21,6,8,4,13,42,94,0.447,19,52,0.365,14,16,0.875,11,56,23,2,2,12,19,0.8076923076923077
2024-12-21,0,BOS,CHI,1,123,98,48,100,0.48,15,45,0.333,12,14,0.857,17,59,27,8,4,12,12,37,98,0.378,14,41,0.341,10,11,0.909,10,43,28,8,4,13,14,0.7777777777777778
2024-12-23,0,BOS,ORL,0,104,108,37,84,0.44,8,33,0.242,22,27,0.815,8,41,13,13,5,19,16,37,83,0.446,13,33,0.394,21,21,1.0,7,42,26,11,9,20,24,0.7857142857142857
2024-12-25,1,BOS,PHI,0,114,118,43,95,0.453,20,49,0.408,8,13,0.615,13,51,24,3,4,13,18,41,88,0.466,17,40,0.425,19,19,1.0,5,39,28,10,5,6,17,0.7586206896551724
2024-12-27,1,BOS,IND,1,142,105,47,92,0.511,23,56,0.411,25,29,0.862,18,52,31,9,6,10,19,38,91,0.418,11,39,0.282,18,25,0.72,13,39,27,5,3,12,20,0.7333333333333333
2024-12-29,1,BOS,IND,0,114,123,43,93,0.462,16,54,0.296,12,19,0.632,8,41,26,6,6,8,22,46,87,0.529,9,23,0.391,22,27,0.815,11,50,27,6,2,9,17,0.7419354838709677
