Date,Home,Team,Opp,Win,Points Scored,Opp Points Scored,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opp FG,Opp FGA,Opp FG%,Opp 3P,Opp 3PA,Opp 3P%,Opp FT,Opp FTA,Opp FT%,Opp ORB,Opp TRB,Opp AST,Opp STL,Opp BLK,Opp TOV,Opp PF,Win Percentage
2024-10-23,0,CHO,HOU,1,110,105,38,85,0.447,15,39,0.385,19,24,0.792,15,56,20,6,10,17,21,38,103,0.369,13,43,0.302,16,20,0.8,16,43,19,8,4,8,18,0.0
2024-10-25,0,CHO,ATL,0,120,125,37,96,0.385,21,51,0.412,25,31,0.806,22,53,22,7,4,18,28,39,81,0.481,14,38,0.368,33,38,0.868,7,39,25,11,9,14,28,1.0
2024-10-26,1,CHO,MIA,0,106,114,39,89,0.438,13,41,0.317,15,21,0.714,15,46,20,6,5,20,24,40,86,0.465,14,34,0.412,20,28,0.714,13,43,33,8,6,14,19,0.5
2024-10-30,1,CHO,TOR,1,138,133,49,94,0.521,20,45,0.444,20,25,0.8,14,38,31,9,8,16,24,52,91,0.571,9,28,0.321,20,30,0.667,13,41,37,9,5,14,25,0.3333333333333333
2024-11-01,1,CHO,BOS,0,109,124,42,91,0.462,19,48,0.396,6,12,0.5,12,42,20,5,5,16,26,41,86,0.477,13,42,0.31,29,35,0.829,11,41,21,12,5,10,13,0.5
2024-11-02,1,CHO,BOS,0,103,113,40,91,0.44,17,42,0.405,6,9,0.667,7,34,24,10,1,13,25,36,82,0.439,16,52,0.308,25,28,0.893,8,44,23,4,4,15,17,0.4
2024-11-04,0,CHO,MIN,0,93,114,35,88,0.398,10,42,0.238,13,16,0.813,9,38,19,10,1,14,22,39,79,0.494,18,38,0.474,18,26,0.692,9,45,23,7,8,15,19,0.3333333333333333
2024-11-06,1,CHO,DET,1,108,107,39,90,0.433,14,44,0.318,16,16,1.0,8,47,22,5,4,12,16,46,94,0.489,10,32,0.313,5,9,0.556,6,46,34,5,4,11,20,0.2857142857142857
2024-11-08,1,CHO,IND,1,103,83,38,90,0.422,17,50,0.34,10,12,0.833,13,56,23,6,7,15,16,33,83,0.398,9,29,0.31,8,14,0.571,7,37,24,10,4,14,16,0.375
2024-11-10,0,CHO,PHI,0,105,107,36,95,0.379,14,54,0.259,19,22,0.864,12,50,22,10,5,21,22,39,84,0.464,9,33,0.273,20,26,0.769,8,40,24,8,1,17,23,0.4444444444444444
2024-11-12,0,CHO,ORL,0,89,114,34,84,0.405,13,38,0.342,8,14,0.571,8,48,22,7,3,22,18,43,93,0.462,13,44,0.295,15,19,0.789,8,43,25,12,7,11,21,0.4
2024-11-16,1,CHO,MIL,1,115,114,41,93,0.441,15,42,0.357,18,21,0.857,16,53,25,7,4,10,16,47,92,0.511,15,36,0.417,5,11,0.455,8,40,31,6,6,9,18,0.36363636363636365
2024-11-17,0,CHO,CLE,0,114,128,42,103,0.408,20,52,0.385,10,12,0.833,17,40,34,12,6,10,23,44,77,0.571,13,30,0.433,27,28,0.964,9,48,26,3,4,20,15,0.4166666666666667
2024-11-19,0,CHO,BRK,0,115,116,38,82,0.463,20,37,0.541,19,22,0.864,13,44,25,6,8,23,20,42,85,0.494,18,41,0.439,14,19,0.737,10,36,31,8,8,15,19,0.38461538461538464
2024-11-21,1,CHO,DET,1,123,121,44,93,0.473,20,44,0.455,15,21,0.714,11,43,23,12,5,16,22,42,99,0.424,17,48,0.354,20,25,0.8,21,56,30,8,3,19,23,0.35714285714285715
2024-11-23,0,CHO,MIL,0,119,125,41,100,0.41,19,47,0.404,18,21,0.857,14,48,22,6,5,10,21,43,89,0.483,18,37,0.486,21,26,0.808,10,51,20,3,9,14,22,0.4
2024-11-25,1,CHO,ORL,0,84,95,31,75,0.413,7,32,0.219,15,19,0.789,13,52,14,6,5,27,20,37,94,0.394,12,46,0.261,9,17,0.529,13,39,21,12,6,8,21,0.375
2024-11-27,1,CHO,MIA,0,94,98,37,98,0.378,17,51,0.333,3,8,0.375,16,43,22,10,5,13,19,33,73,0.452,14,37,0.378,18,22,0.818,4,44,21,6,5,22,9,0.35294117647058826
2024-11-29,1,CHO,NYK,0,98,99,36,89,0.404,15,47,0.319,11,15,0.733,14,39,25,8,6,15,19,36,81,0.444,12,32,0.375,15,19,0.789,12,44,20,7,5,21,19,0.3333333333333333
2024-11-30,1,CHO,ATL,0,104,107,35,94,0.372,18,48,0.375,16,19,0.842,18,45,23,13,6,15,23,38,78,0.487,10,33,0.303,21,27,0.778,14,49,27,8,7,22,15,0.3157894736842105
2024-12-03,1,CHO,PHI,0,104,110,34,77,0.442,13,34,0.382,23,28,0.821,15,47,22,5,3,19,17,38,82,0.463,16,40,0.4,18,20,0.9,8,31,26,9,3,12,22,0.3
2024-12-05,0,CHO,NYK,0,101,125,40,89,0.449,15,39,0.385,6,10,0.6,10,40,27,3,4,11,22,41,76,0.539,18,33,0.545,25,32,0.781,6,43,29,7,4,9,13,0.2857142857142857
2024-12-07,1,CHO,CLE,0,102,116,37,86,0.43,11,39,0.282,17,19,0.895,10,37,21,6,5,11,27,42,84,0.5,14,38,0.368,18,24,0.75,14,47,28,6,6,12,20,0.2727272727272727
2024-12-08,0,CHO,IND,1,113,109,40,78,0.513,14,29,0.483,19,26,0.731,10,45,24,11,3,25,18,42,82,0.512,12,36,0.333,13,15,0.867,3,29,23,9,7,17,19,0.2608695652173913
