Date,Home,Team,Opp,Win,Points Scored,Opp Points Scored,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opp FG,Opp FGA,Opp FG%,Opp 3P,Opp 3PA,Opp 3P%,Opp FT,Opp FTA,Opp FT%,Opp ORB,Opp TRB,Opp AST,Opp STL,Opp BLK,Opp TOV,Opp PF,Win Percentage
2024-10-23,0,GSW,POR,1,140,104,48,93,0.516,20,48,0.417,24,30,0.8,15,57,38,13,5,18,27,36,92,0.391,8,34,0.235,24,30,0.8,13,42,21,10,4,18,22,0.0
2024-10-25,0,GSW,UTA,1,127,86,51,106,0.481,20,50,0.4,5,6,0.833,19,60,35,15,6,15,25,29,92,0.315,9,42,0.214,19,26,0.731,14,45,18,8,5,22,11,1.0
2024-10-27,1,GSW,LAC,0,104,112,38,88,0.432,14,43,0.326,14,22,0.636,14,47,19,10,5,21,22,42,90,0.467,10,32,0.313,18,23,0.783,14,48,27,11,2,18,21,1.0
2024-10-29,1,GSW,NOP,1,124,106,46,97,0.474,21,46,0.457,11,13,0.846,11,34,34,15,9,8,20,40,74,0.541,9,22,0.409,17,24,0.708,9,44,23,4,6,24,13,0.6666666666666666
2024-10-30,1,GSW,NOP,1,104,89,41,87,0.471,13,38,0.342,9,13,0.692,13,42,32,5,9,14,22,33,90,0.367,11,36,0.306,12,20,0.6,18,49,24,7,6,15,17,0.75
2024-11-02,0,GSW,HOU,1,127,121,40,78,0.513,15,32,0.469,32,50,0.64,9,47,26,5,4,14,22,44,107,0.411,15,45,0.333,18,24,0.75,18,49,27,10,6,11,32,0.8
2024-11-04,0,GSW,WAS,1,125,112,44,97,0.454,12,37,0.324,25,34,0.735,16,56,29,5,7,7,20,42,96,0.438,10,43,0.233,18,21,0.857,8,47,29,4,8,10,23,0.8333333333333334
2024-11-06,0,GSW,BOS,1,118,112,42,91,0.462,14,34,0.412,20,24,0.833,15,53,22,6,5,11,19,38,90,0.422,19,54,0.352,17,21,0.81,13,47,22,5,3,12,18,0.8571428571428571
2024-11-08,0,GSW,CLE,0,117,136,47,98,0.48,13,42,0.31,10,14,0.714,11,40,32,14,4,17,24,46,85,0.541,20,42,0.476,24,28,0.857,9,43,33,7,7,20,12,0.875
2024-11-10,0,GSW,OKC,1,127,116,45,89,0.506,21,43,0.488,16,23,0.696,13,46,35,8,3,15,26,42,94,0.447,11,33,0.333,21,26,0.808,14,41,25,4,6,11,18,0.7777777777777778
2024-11-12,1,GSW,DAL,1,120,117,45,94,0.479,14,41,0.341,16,27,0.593,18,50,29,13,7,13,18,44,84,0.524,11,34,0.324,18,24,0.75,8,40,26,6,1,18,23,0.8
2024-11-15,1,GSW,MEM,1,123,118,43,98,0.439,19,46,0.413,18,25,0.72,14,56,33,9,5,19,28,42,103,0.408,7,42,0.167,27,33,0.818,18,54,22,8,11,15,21,0.8181818181818182
2024-11-18,0,GSW,LAC,0,99,102,37,84,0.44,16,44,0.364,9,19,0.474,9,45,27,12,4,19,14,35,82,0.427,16,34,0.471,16,18,0.889,5,44,29,10,6,20,13,0.8333333333333334
2024-11-20,1,GSW,ATL,1,120,97,47,101,0.465,14,40,0.35,12,18,0.667,9,54,36,10,7,15,17,35,105,0.333,12,45,0.267,15,24,0.625,21,65,27,9,5,17,17,0.7692307692307693
2024-11-22,0,GSW,NOP,1,112,108,39,87,0.448,12,37,0.324,22,29,0.759,14,52,27,5,5,17,19,41,92,0.446,12,39,0.308,14,22,0.636,13,43,28,10,9,10,25,0.7857142857142857
2024-11-23,0,GSW,SAS,0,94,104,36,95,0.379,14,44,0.318,8,13,0.615,17,49,29,4,3,10,21,38,85,0.447,13,47,0.277,15,19,0.789,9,48,29,5,9,9,16,0.8
2024-11-25,1,GSW,BRK,0,120,128,45,93,0.484,19,46,0.413,11,17,0.647,11,43,32,8,5,13,21,41,83,0.494,20,45,0.444,26,30,0.867,7,42,23,6,3,12,18,0.75
2024-11-27,1,GSW,OKC,0,101,105,35,98,0.357,16,50,0.32,15,21,0.714,18,57,25,7,6,16,21,39,85,0.459,11,37,0.297,16,26,0.615,8,48,26,10,9,14,21,0.7058823529411765
2024-11-30,0,GSW,PHO,0,105,113,38,92,0.413,14,40,0.35,15,18,0.833,9,43,28,8,5,9,17,38,79,0.481,18,35,0.514,19,22,0.864,6,45,31,4,9,14,13,0.6666666666666666
2024-12-03,0,GSW,DEN,0,115,119,44,95,0.463,12,38,0.316,15,21,0.714,11,48,36,12,3,15,25,40,79,0.506,11,24,0.458,28,35,0.8,4,38,32,9,5,15,15,0.631578947368421
2024-12-05,1,GSW,HOU,1,99,93,36,86,0.419,9,28,0.321,18,27,0.667,11,54,19,5,3,10,16,35,93,0.376,10,38,0.263,13,17,0.765,11,45,20,9,9,8,20,0.6
2024-12-06,1,GSW,MIN,0,90,107,32,82,0.39,11,39,0.282,15,17,0.882,10,41,21,9,4,22,11,40,88,0.455,14,42,0.333,13,14,0.929,9,48,32,12,6,21,14,0.6190476190476191
2024-12-08,1,GSW,MIN,1,114,106,42,90,0.467,16,41,0.39,14,20,0.7,14,45,28,8,6,13,20,36,79,0.456,19,42,0.452,15,20,0.75,7,39,22,6,8,16,18,0.5909090909090909
2024-12-11,0,GSW,HOU,0,90,91,37,84,0.44,12,38,0.316,4,9,0.444,11,39,22,13,8,22,11,38,83,0.458,6,27,0.222,9,10,0.9,7,36,23,10,5,17,14,0.6086956521739131
2024-12-15,1,GSW,DAL,0,133,143,49,103,0.476,27,54,0.5,8,11,0.727,15,37,39,8,2,10,17,52,87,0.598,21,41,0.512,18,25,0.72,10,47,36,8,5,16,12,0.5833333333333334
2024-12-19,0,GSW,MEM,0,93,144,32,90,0.356,12,36,0.333,17,24,0.708,10,36,20,11,5,18,16,53,98,0.541,27,48,0.563,11,15,0.733,15,60,38,11,8,17,19,0.56
2024-12-21,0,GSW,MIN,1,113,103,40,87,0.46,16,42,0.381,17,23,0.739,11,45,30,9,6,11,23,36,86,0.419,14,38,0.368,17,25,0.68,11,45,27,5,2,15,18,0.5384615384615384
2024-12-23,1,GSW,IND,0,105,111,39,90,0.433,12,38,0.316,15,21,0.714,11,44,29,7,7,11,13,45,92,0.489,11,35,0.314,10,11,0.909,8,43,26,7,4,12,16,0.5555555555555556
2024-12-25,1,GSW,LAL,0,113,115,41,89,0.461,18,45,0.4,13,17,0.765,12,44,26,2,8,13,18,41,91,0.451,15,42,0.357,18,18,1.0,11,41,30,6,4,9,14,0.5357142857142857
2024-12-27,0,GSW,LAC,0,92,102,35,95,0.368,7,38,0.184,15,20,0.75,19,47,24,14,2,14,16,40,75,0.533,10,32,0.313,12,15,0.8,6,39,19,6,10,23,19,0.5172413793103449
2024-12-28,1,GSW,PHO,1,109,105,41,98,0.418,12,45,0.267,15,19,0.789,18,49,26,8,7,12,17,39,92,0.424,9,35,0.257,18,22,0.818,14,46,21,7,12,14,13,0.5
2024-12-30,1,GSW,CLE,0,95,113,33,99,0.333,9,38,0.237,20,26,0.769,14,55,20,5,8,15,14,44,96,0.458,18,47,0.383,7,10,0.7,11,54,25,10,6,16,25,0.5161290322580645
