Date,Home,Team,Opp,Win,Points Scored,Opp Points Scored,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opp FG,Opp FGA,Opp FG%,Opp 3P,Opp 3PA,Opp 3P%,Opp FT,Opp FTA,Opp FT%,Opp ORB,Opp TRB,Opp AST,Opp STL,Opp BLK,Opp TOV,Opp PF,Win Percentage
2024-10-23,1,LAC,PHO,0,113,116,42,92,0.457,8,29,0.276,21,30,0.7,13,51,27,9,1,22,29,38,78,0.487,15,38,0.395,25,34,0.735,4,42,25,12,9,22,23,0.0
2024-10-26,0,LAC,DEN,1,109,104,40,82,0.488,12,33,0.364,17,21,0.81,11,44,30,4,5,17,24,35,87,0.402,14,35,0.4,20,24,0.833,10,37,20,13,4,10,22,0.0
2024-10-27,0,LAC,GSW,1,112,104,42,90,0.467,10,32,0.313,18,23,0.783,14,48,27,11,2,18,21,38,88,0.432,14,43,0.326,14,22,0.636,14,47,19,10,5,21,22,0.5
2024-10-30,1,LAC,POR,0,105,106,41,90,0.456,13,36,0.361,10,18,0.556,13,49,26,10,5,14,19,41,92,0.446,14,33,0.424,10,12,0.833,12,47,19,9,6,13,18,0.6666666666666666
2024-10-31,1,LAC,PHO,0,119,125,45,93,0.484,12,35,0.343,17,21,0.81,15,48,27,8,8,14,22,42,82,0.512,18,39,0.462,23,28,0.821,8,39,29,12,4,12,20,0.5
2024-11-02,1,LAC,OKC,0,92,105,32,79,0.405,11,35,0.314,17,26,0.654,10,50,23,10,7,22,17,36,84,0.429,16,39,0.41,17,19,0.895,3,41,25,11,3,12,22,0.4
2024-11-04,1,LAC,SAS,1,113,104,41,90,0.456,19,37,0.514,12,17,0.706,16,44,25,6,7,11,21,38,86,0.442,11,41,0.268,17,19,0.895,12,45,22,9,10,14,16,0.3333333333333333
2024-11-06,1,LAC,PHI,1,110,98,41,72,0.569,12,28,0.429,16,19,0.842,8,29,27,12,1,19,16,40,73,0.548,7,25,0.28,11,19,0.579,10,32,19,10,2,20,22,0.42857142857142855
2024-11-08,0,LAC,SAC,1,107,98,36,81,0.444,14,30,0.467,21,23,0.913,12,48,20,7,2,21,21,37,78,0.474,3,26,0.115,21,24,0.875,5,35,19,6,3,14,19,0.5
2024-11-09,1,LAC,TOR,1,105,103,35,76,0.461,10,26,0.385,25,32,0.781,7,47,18,6,8,14,20,40,95,0.421,11,37,0.297,12,21,0.571,12,44,26,8,5,10,23,0.5555555555555556
2024-11-11,0,LAC,OKC,0,128,134,44,80,0.55,20,37,0.541,20,29,0.69,15,47,31,5,5,24,22,47,91,0.516,18,46,0.391,22,23,0.957,9,29,31,16,5,11,23,0.6
2024-11-13,0,LAC,HOU,0,103,111,38,96,0.396,14,38,0.368,13,16,0.813,10,42,27,10,3,12,16,42,97,0.433,15,40,0.375,12,17,0.706,18,59,28,8,11,14,17,0.5454545454545454
2024-11-15,0,LAC,HOU,0,104,125,34,90,0.378,10,40,0.25,26,33,0.788,13,51,12,6,6,15,15,46,95,0.484,19,44,0.432,14,18,0.778,9,48,31,11,3,12,25,0.5
2024-11-17,1,LAC,UTA,1,116,105,46,94,0.489,11,40,0.275,13,17,0.765,14,41,30,11,5,9,11,39,79,0.494,12,40,0.3,15,18,0.833,9,41,24,7,1,19,14,0.46153846153846156
2024-11-18,1,LAC,GSW,1,102,99,35,82,0.427,16,34,0.471,16,18,0.889,5,44,29,10,6,20,13,37,84,0.44,16,44,0.364,9,19,0.474,9,45,27,12,4,19,14,0.5
2024-11-20,1,LAC,ORL,1,104,93,38,77,0.494,11,22,0.5,17,21,0.81,15,49,22,10,1,25,22,33,75,0.44,8,35,0.229,19,24,0.792,2,24,21,11,7,14,17,0.5333333333333333
2024-11-22,1,LAC,SAC,1,104,88,39,94,0.415,10,42,0.238,16,16,1.0,11,54,27,13,3,12,24,32,83,0.386,7,35,0.2,17,24,0.708,8,48,19,5,8,15,13,0.5625
2024-11-24,0,LAC,PHI,1,125,99,47,81,0.58,12,30,0.4,19,25,0.76,10,44,31,9,5,17,22,34,86,0.395,9,39,0.231,22,26,0.846,13,33,22,8,5,14,17,0.5882352941176471
2024-11-25,0,LAC,BOS,0,94,126,39,90,0.433,7,26,0.269,9,13,0.692,10,44,18,8,3,14,12,45,88,0.511,22,51,0.431,14,20,0.7,8,47,33,10,11,11,12,0.6111111111111112
2024-11-27,0,LAC,WAS,1,121,96,45,89,0.506,12,33,0.364,19,25,0.76,13,47,27,18,4,16,19,35,85,0.412,8,33,0.242,18,22,0.818,11,40,21,9,4,20,18,0.5789473684210527
2024-11-29,0,LAC,MIN,0,92,93,36,84,0.429,10,31,0.323,10,13,0.769,8,39,20,17,3,15,16,31,75,0.413,15,39,0.385,16,20,0.8,11,49,25,8,5,22,14,0.6
2024-12-01,1,LAC,DEN,1,126,122,43,90,0.478,18,39,0.462,22,27,0.815,13,42,28,8,4,14,16,51,88,0.58,10,24,0.417,10,19,0.526,8,39,37,7,3,14,17,0.5714285714285714
2024-12-03,1,LAC,POR,1,127,105,47,85,0.553,19,37,0.514,14,17,0.824,11,35,29,8,8,14,14,41,80,0.513,10,29,0.345,13,16,0.813,11,29,25,6,4,18,15,0.5909090909090909
2024-12-04,1,LAC,MIN,0,80,108,29,83,0.349,11,40,0.275,11,13,0.846,10,46,13,7,2,23,16,41,85,0.482,16,44,0.364,10,18,0.556,7,50,31,15,5,15,16,0.6086956521739131
2024-12-08,1,LAC,HOU,0,106,117,41,92,0.446,11,34,0.324,13,16,0.813,7,33,21,11,3,8,24,40,82,0.488,15,41,0.366,22,26,0.846,12,50,23,4,4,15,16,0.5833333333333334
2024-12-13,0,LAC,DEN,0,98,120,37,83,0.446,14,41,0.341,10,18,0.556,5,31,24,18,2,19,22,42,77,0.545,10,29,0.345,26,32,0.813,5,46,23,15,2,22,16,0.56
2024-12-16,1,LAC,UTA,1,144,107,49,82,0.598,21,39,0.538,25,32,0.781,7,41,28,13,6,16,20,36,80,0.45,13,39,0.333,22,30,0.733,10,35,22,8,3,23,20,0.5384615384615384
2024-12-19,0,LAC,DAL,1,118,95,44,85,0.518,14,33,0.424,16,17,0.941,8,47,30,9,3,15,20,34,86,0.395,7,30,0.233,20,28,0.714,8,40,21,9,5,13,13,0.5555555555555556
2024-12-21,0,LAC,DAL,0,97,113,34,81,0.42,10,37,0.27,19,22,0.864,8,40,18,8,7,17,14,40,88,0.455,14,35,0.4,19,22,0.864,11,43,25,12,5,13,18,0.5714285714285714
2024-12-23,0,LAC,MEM,1,114,110,42,96,0.438,9,27,0.333,21,26,0.808,15,53,22,15,6,17,28,38,99,0.384,16,42,0.381,18,26,0.692,19,56,26,8,6,20,18,0.5517241379310345
2024-12-27,1,LAC,GSW,1,102,92,40,75,0.533,10,32,0.313,12,15,0.8,6,39,19,6,10,23,19,35,95,0.368,7,38,0.184,15,20,0.75,19,47,24,14,2,14,16,0.5666666666666667
2024-12-30,0,LAC,NOP,1,116,113,41,86,0.477,13,37,0.351,21,27,0.778,14,40,24,11,2,17,14,42,82,0.512,18,37,0.486,11,14,0.786,6,35,30,13,5,16,22,0.5806451612903226
2024-12-31,0,LAC,SAS,0,86,122,30,87,0.345,11,41,0.268,15,18,0.833,10,41,17,7,3,14,15,48,98,0.49,9,40,0.225,17,19,0.895,15,58,37,10,7,9,15,0.59375
