Date,Home,Team,Opp,Win,Points Scored,Opp Points Scored,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opp FG,Opp FGA,Opp FG%,Opp 3P,Opp 3PA,Opp 3P%,Opp FT,Opp FTA,Opp FT%,Opp ORB,Opp TRB,Opp AST,Opp STL,Opp BLK,Opp TOV,Opp PF,Win Percentage
2024-10-23,0,MEM,UTA,1,126,124,43,91,0.473,17,45,0.378,23,32,0.719,13,41,28,7,5,13,35,40,85,0.471,10,26,0.385,34,45,0.756,14,49,21,7,9,17,24,0.0
2024-10-25,0,MEM,HOU,0,108,128,38,91,0.418,10,28,0.357,22,36,0.611,14,43,24,8,8,19,25,43,98,0.439,17,43,0.395,25,36,0.694,23,64,20,10,4,19,32,1.0
2024-10-26,1,MEM,ORL,1,124,111,46,86,0.535,13,34,0.382,19,24,0.792,6,42,38,10,5,18,24,37,87,0.425,17,48,0.354,20,28,0.714,12,41,21,10,6,19,20,0.5
2024-10-28,1,MEM,CHI,0,123,126,51,111,0.459,14,43,0.326,7,13,0.538,18,60,37,5,9,10,21,45,100,0.45,25,53,0.472,11,17,0.647,11,50,36,5,6,9,15,0.6666666666666666
2024-10-30,1,MEM,BRK,0,106,119,38,81,0.469,8,27,0.296,22,29,0.759,12,38,27,9,3,22,21,41,80,0.513,15,41,0.366,22,25,0.88,8,34,27,10,2,19,25,0.5
2024-10-31,1,MEM,MIL,1,122,99,43,82,0.524,8,28,0.286,28,31,0.903,7,56,26,6,3,17,21,41,96,0.427,9,42,0.214,8,19,0.421,9,38,20,10,4,10,27,0.4
2024-11-02,0,MEM,PHI,1,124,107,48,87,0.552,12,27,0.444,16,21,0.762,11,52,35,9,6,17,22,36,89,0.404,19,46,0.413,16,20,0.8,8,33,22,11,5,14,19,0.5
2024-11-04,0,MEM,BRK,0,104,106,43,91,0.473,8,30,0.267,10,13,0.769,13,44,29,5,8,15,16,40,84,0.476,13,36,0.361,13,18,0.722,12,37,28,7,1,14,22,0.5714285714285714
2024-11-06,1,MEM,LAL,1,131,114,48,93,0.516,17,34,0.5,18,23,0.783,12,50,28,5,6,18,17,41,93,0.441,15,48,0.313,17,21,0.81,9,37,23,10,1,11,18,0.5
2024-11-08,1,MEM,WAS,1,128,104,46,97,0.474,14,43,0.326,22,25,0.88,13,50,30,10,10,19,19,38,93,0.409,9,35,0.257,19,23,0.826,11,41,27,14,8,18,27,0.5555555555555556
