Date,Home,Team,Opp,Win,Points Scored,Opp Points Scored,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opp FG,Opp FGA,Opp FG%,Opp 3P,Opp 3PA,Opp 3P%,Opp FT,Opp FTA,Opp FT%,Opp ORB,Opp TRB,Opp AST,Opp STL,Opp BLK,Opp TOV,Opp PF,Win Percentage
2024-10-23,1,MIA,ORL,0,97,116,32,82,0.39,11,34,0.324,22,29,0.759,9,41,24,5,8,11,19,41,96,0.427,18,49,0.367,16,22,0.727,18,57,28,8,8,14,21,0.0
2024-10-26,0,MIA,CHO,1,114,106,40,86,0.465,14,34,0.412,20,28,0.714,13,43,33,8,6,14,19,39,89,0.438,13,41,0.317,15,21,0.714,15,46,20,6,5,20,24,0.0
2024-10-28,1,MIA,DET,1,106,98,38,88,0.432,15,47,0.319,15,20,0.75,10,44,24,14,3,12,14,35,91,0.385,14,38,0.368,14,17,0.824,19,54,14,6,6,17,19,0.5
2024-10-30,1,MIA,NYK,0,107,116,37,81,0.457,17,40,0.425,16,24,0.667,7,39,27,6,3,10,17,40,82,0.488,18,40,0.45,18,20,0.9,7,42,30,8,4,11,16,0.6666666666666666
2024-11-02,0,MIA,WAS,1,118,98,43,102,0.422,15,37,0.405,17,24,0.708,21,65,19,6,3,14,18,38,91,0.418,7,35,0.2,15,21,0.714,8,44,23,12,10,12,22,0.5
2024-11-04,1,MIA,SAC,0,110,111,37,85,0.435,15,36,0.417,21,30,0.7,8,36,24,9,6,11,15,44,86,0.512,10,27,0.37,13,15,0.867,11,39,23,5,4,14,28,0.6
2024-11-06,0,MIA,PHO,0,112,115,40,92,0.435,13,34,0.382,19,20,0.95,13,43,27,12,3,10,16,42,84,0.5,18,43,0.419,13,18,0.722,10,46,29,5,6,16,14,0.5
2024-11-08,0,MIA,DEN,0,122,135,46,94,0.489,20,43,0.465,10,13,0.769,9,33,33,11,1,14,19,50,81,0.617,18,35,0.514,17,19,0.895,6,39,37,5,5,18,13,0.42857142857142855
2024-11-10,0,MIA,MIN,1,95,94,34,77,0.442,11,31,0.355,16,22,0.727,6,43,18,14,9,23,20,35,88,0.398,13,45,0.289,11,13,0.846,16,47,22,13,5,20,20,0.375
2024-11-12,0,MIA,DET,0,121,123,47,101,0.465,17,45,0.378,10,13,0.769,12,43,25,14,3,12,22,43,92,0.467,13,36,0.361,24,28,0.857,15,56,32,4,4,19,19,0.4444444444444444
2024-11-15,0,MIA,IND,1,124,111,45,87,0.517,15,42,0.357,19,23,0.826,4,36,27,16,1,10,12,44,86,0.512,14,35,0.4,9,11,0.818,8,39,28,8,4,20,15,0.4
2024-11-17,0,MIA,IND,0,110,119,36,90,0.4,19,43,0.442,19,20,0.95,15,38,21,4,1,11,13,44,85,0.518,13,29,0.448,18,20,0.9,10,45,30,6,6,11,16,0.45454545454545453
2024-11-18,1,MIA,PHI,1,106,89,36,87,0.414,13,44,0.295,21,23,0.913,9,53,26,10,2,15,13,35,84,0.417,10,41,0.244,9,12,0.75,2,42,25,10,3,15,17,0.4166666666666667
2024-11-24,1,MIA,DAL,1,123,118,46,107,0.43,14,41,0.341,17,27,0.63,12,57,27,6,6,9,22,44,105,0.419,10,40,0.25,20,25,0.8,15,59,29,6,9,14,24,0.46153846153846156
2024-11-26,1,MIA,MIL,0,103,106,35,77,0.455,10,29,0.345,23,30,0.767,9,38,26,6,2,8,14,36,77,0.468,20,42,0.476,14,17,0.824,9,41,23,5,7,13,19,0.5
