Date,Home,Team,Opp,Win,Points Scored,Opp Points Scored,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opp FG,Opp FGA,Opp FG%,Opp 3P,Opp 3PA,Opp 3P%,Opp FT,Opp FTA,Opp FT%,Opp ORB,Opp TRB,Opp AST,Opp STL,Opp BLK,Opp TOV,Opp PF,Win Percentage
2024-10-22,0,NYK,BOS,0,109,132,43,78,0.551,11,30,0.367,12,16,0.75,5,34,20,2,3,12,12,48,95,0.505,29,61,0.475,7,8,0.875,11,40,33,6,3,4,15,0.0
2024-10-25,1,NYK,IND,1,123,98,44,84,0.524,12,27,0.444,23,29,0.793,11,43,19,5,4,12,18,41,83,0.494,3,30,0.1,13,20,0.65,9,33,28,8,6,16,24,0.0
2024-10-28,1,NYK,CLE,0,104,110,40,90,0.444,9,28,0.321,15,18,0.833,13,43,22,8,3,16,21,39,82,0.476,12,36,0.333,20,24,0.833,9,41,21,10,5,14,20,0.5
2024-10-30,0,NYK,MIA,1,116,107,40,82,0.488,18,40,0.45,18,20,0.9,7,42,30,8,4,11,16,37,81,0.457,17,40,0.425,16,24,0.667,7,39,27,6,3,10,17,0.3333333333333333
2024-11-01,0,NYK,DET,1,128,98,52,101,0.515,18,38,0.474,6,10,0.6,12,45,31,16,3,10,14,41,81,0.506,11,34,0.324,5,7,0.714,6,38,23,6,9,22,12,0.5
2024-11-04,0,NYK,HOU,0,97,109,34,88,0.386,11,28,0.393,18,21,0.857,13,39,20,6,4,10,18,43,88,0.489,8,33,0.242,15,18,0.833,11,50,21,4,6,11,20,0.6
2024-11-06,0,NYK,ATL,0,116,121,41,84,0.488,22,47,0.468,12,15,0.8,7,41,29,5,5,16,18,45,100,0.45,15,38,0.395,16,22,0.727,16,48,31,12,4,8,14,0.5
2024-11-08,1,NYK,MIL,1,116,94,43,91,0.473,14,46,0.304,16,19,0.842,14,48,35,7,3,11,20,36,83,0.434,7,30,0.233,15,23,0.652,11,41,20,1,5,12,16,0.42857142857142855
2024-11-10,0,NYK,IND,0,121,132,46,83,0.554,7,25,0.28,22,27,0.815,8,39,23,5,3,14,20,45,88,0.511,21,46,0.457,21,25,0.84,5,32,27,6,4,10,22,0.5
2024-11-12,0,NYK,PHI,1,111,99,44,89,0.494,9,31,0.29,14,15,0.933,8,47,31,8,5,15,15,31,83,0.373,14,42,0.333,23,24,0.958,9,40,19,10,6,15,20,0.4444444444444444
2024-11-13,1,NYK,CHI,0,123,124,48,94,0.511,15,37,0.405,12,18,0.667,10,40,31,7,3,15,17,44,82,0.537,14,36,0.389,22,27,0.815,7,40,31,10,6,18,17,0.5
2024-11-15,1,NYK,BRK,1,124,122,44,83,0.53,13,38,0.342,23,28,0.821,8,45,25,7,6,13,21,39,89,0.438,19,46,0.413,25,28,0.893,10,37,27,8,2,9,22,0.45454545454545453
2024-11-17,1,NYK,BRK,1,114,104,43,88,0.489,13,40,0.325,15,19,0.789,10,47,33,4,5,8,23,32,76,0.421,17,41,0.415,23,30,0.767,7,35,31,1,3,9,19,0.5
2024-11-18,1,NYK,WAS,1,134,106,51,91,0.56,20,40,0.5,12,13,0.923,7,41,37,4,1,8,12,43,91,0.473,11,33,0.333,9,16,0.563,12,41,23,5,3,10,19,0.5384615384615384
2024-11-20,0,NYK,PHO,1,138,122,50,86,0.581,19,39,0.487,19,21,0.905,10,41,30,10,0,15,15,45,92,0.489,19,50,0.38,13,17,0.765,11,34,30,9,2,14,16,0.5714285714285714
2024-11-23,0,NYK,UTA,0,106,121,39,100,0.39,17,51,0.333,11,12,0.917,11,40,25,10,10,9,19,44,87,0.506,19,34,0.559,14,19,0.737,9,52,30,4,4,18,19,0.6
2024-11-25,0,NYK,DEN,1,145,118,56,92,0.609,19,36,0.528,14,16,0.875,8,43,45,5,4,11,23,41,92,0.446,11,33,0.333,25,27,0.926,10,33,23,5,3,11,18,0.5625
2024-11-27,0,NYK,DAL,0,114,129,40,86,0.465,7,29,0.241,27,30,0.9,7,33,20,9,3,9,19,48,85,0.565,17,33,0.515,16,21,0.762,10,43,27,6,4,13,25,0.5882352941176471
2024-11-29,0,NYK,CHO,1,99,98,36,81,0.444,12,32,0.375,15,19,0.789,12,44,20,7,5,21,19,36,89,0.404,15,47,0.319,11,15,0.733,14,39,25,8,6,15,19,0.5555555555555556
2024-12-01,1,NYK,NOP,1,118,85,42,92,0.457,20,45,0.444,14,16,0.875,14,60,30,10,9,17,14,35,94,0.372,4,27,0.148,11,17,0.647,13,42,20,14,9,14,19,0.5789473684210527
2024-12-03,1,NYK,ORL,1,121,106,43,85,0.506,15,35,0.429,20,20,1.0,5,39,30,6,4,19,25,38,87,0.437,9,39,0.231,21,25,0.84,9,38,20,9,4,16,19,0.6
2024-12-05,1,NYK,CHO,1,125,101,41,76,0.539,18,33,0.545,25,32,0.781,6,43,29,7,4,9,13,40,89,0.449,15,39,0.385,6,10,0.6,10,40,27,3,4,11,22,0.6190476190476191
2024-12-07,1,NYK,DET,0,111,120,42,79,0.532,11,34,0.324,16,27,0.593,4,31,27,11,5,15,12,43,83,0.518,18,36,0.5,16,19,0.842,9,43,28,7,0,19,20,0.6363636363636364
2024-12-09,0,NYK,TOR,1,113,108,42,82,0.512,17,40,0.425,12,19,0.632,6,40,32,7,7,10,13,43,96,0.448,13,35,0.371,9,11,0.818,17,51,23,4,4,13,16,0.6086956521739131
2024-12-11,1,NYK,ATL,0,100,108,40,93,0.43,11,42,0.262,9,15,0.6,12,49,27,8,11,15,14,43,104,0.413,9,31,0.29,13,20,0.65,22,58,27,5,7,11,13,0.625
2024-12-15,0,NYK,ORL,1,100,91,33,71,0.465,10,24,0.417,24,30,0.8,7,45,20,8,3,19,16,36,86,0.419,9,30,0.3,10,13,0.769,10,39,24,8,10,15,26,0.6
2024-12-19,0,NYK,MIN,1,133,107,50,97,0.515,20,45,0.444,13,16,0.813,16,57,39,10,2,15,12,41,89,0.461,17,42,0.405,8,13,0.615,6,37,29,10,5,13,15,0.6153846153846154
2024-12-21,0,NYK,NOP,1,104,93,38,87,0.437,15,37,0.405,13,15,0.867,15,42,24,11,3,17,18,34,83,0.41,12,34,0.353,13,19,0.684,16,45,23,8,5,19,20,0.6296296296296297
2024-12-23,1,NYK,TOR,1,139,125,51,86,0.593,17,37,0.459,20,29,0.69,8,35,34,9,1,17,27,42,77,0.545,11,28,0.393,30,37,0.811,4,30,28,6,3,15,25,0.6428571428571429
2024-12-25,1,NYK,SAS,1,117,114,45,100,0.45,13,39,0.333,14,16,0.875,17,47,26,7,3,5,17,42,83,0.506,16,38,0.421,14,17,0.824,8,45,33,3,6,15,15,0.6551724137931034
2024-12-27,0,NYK,ORL,1,108,85,40,75,0.533,4,15,0.267,24,34,0.706,12,44,18,10,3,18,20,32,87,0.368,10,33,0.303,11,12,0.917,11,33,20,7,3,17,23,0.6666666666666666
2024-12-28,0,NYK,WAS,1,136,132,51,97,0.526,10,40,0.25,24,26,0.923,10,43,26,7,3,15,14,51,99,0.515,17,38,0.447,13,15,0.867,11,44,32,7,4,17,22,0.6774193548387096
2024-12-30,0,NYK,WAS,1,126,106,45,98,0.459,15,44,0.341,21,25,0.84,15,54,34,9,2,8,19,39,92,0.424,12,43,0.279,16,22,0.727,12,46,25,6,8,13,23,0.6875
