Date,Home,Team,Opp,Win,Points Scored,Opp Points Scored,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opp FG,Opp FGA,Opp FG%,Opp 3P,Opp 3PA,Opp 3P%,Opp FT,Opp FTA,Opp FT%,Opp ORB,Opp TRB,Opp AST,Opp STL,Opp BLK,Opp TOV,Opp PF,Win Percentage
2024-10-23,0,ORL,MIA,1,116,97,41,96,0.427,18,49,0.367,16,22,0.727,18,57,28,8,8,14,21,32,82,0.39,11,34,0.324,22,29,0.759,9,41,24,5,8,11,19,0.0
2024-10-25,1,ORL,BRK,1,116,101,39,75,0.52,15,30,0.5,23,33,0.697,5,39,28,10,7,13,19,35,83,0.422,14,37,0.378,17,21,0.81,8,37,22,7,3,19,31,1.0
2024-10-26,0,ORL,MEM,0,111,124,37,87,0.425,17,48,0.354,20,28,0.714,12,41,21,10,6,19,20,46,86,0.535,13,34,0.382,19,24,0.792,6,42,38,10,5,18,24,1.0
2024-10-28,1,ORL,IND,1,119,115,39,83,0.47,13,41,0.317,28,38,0.737,11,46,26,7,6,15,25,41,88,0.466,13,29,0.448,20,30,0.667,15,44,25,7,4,13,28,0.6666666666666666
2024-10-30,0,ORL,CHI,0,99,102,35,86,0.407,11,46,0.239,18,20,0.9,6,42,25,9,8,12,19,36,84,0.429,13,34,0.382,17,25,0.68,9,54,23,6,2,15,16,0.75
2024-11-01,0,ORL,CLE,0,109,120,41,90,0.456,11,33,0.333,16,24,0.667,7,39,26,10,4,14,17,44,87,0.506,15,38,0.395,17,20,0.85,7,49,25,6,4,13,21,0.6
2024-11-03,0,ORL,DAL,0,85,108,31,93,0.333,8,41,0.195,15,19,0.789,13,43,19,8,4,15,22,42,85,0.494,10,32,0.313,14,23,0.609,12,53,25,8,5,19,22,0.5
2024-11-04,0,ORL,OKC,0,86,102,29,82,0.354,5,34,0.147,23,27,0.852,7,41,20,12,5,19,16,39,85,0.459,12,31,0.387,12,16,0.75,5,42,23,12,4,17,21,0.42857142857142855
2024-11-06,0,ORL,IND,0,111,118,42,82,0.512,7,25,0.28,20,26,0.769,10,38,26,6,5,16,22,41,76,0.539,12,26,0.462,24,26,0.923,4,36,21,7,3,11,24,0.375
2024-11-08,1,ORL,NOP,1,115,88,45,86,0.523,8,32,0.25,17,21,0.81,11,43,28,9,8,15,14,32,84,0.381,10,31,0.323,14,17,0.824,6,31,18,10,1,16,19,0.3333333333333333
